k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[19.94449069350958, 2.1838243901729584, 2.261119782924652, 1.8440252840518951, 0.5472976088523864]|3625.6406250000000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      2.00000000|[61, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      1.00000000|[91, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.50000000|[120, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       6|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.25000000|[149, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       7|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.12500000|[178, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       8|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.06250000|[207, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       9|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.03125000|[236, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      10|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.01562500|[265, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      11|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00781250|[294, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      12|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00390625|[323, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      13|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00195312|[352, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      14|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00097656|[381, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      15|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00048828|[410, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      16|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00024414|[439, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      17|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00012207|[468, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      18|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00006104|[497, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      19|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00003052|[526, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      20|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00001526|[556, 38, 1, 39]                                                           |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=1
      21|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00000763|[585, 40, 1, 41]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      22|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00000381|[614, 42, 1, 43]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      23|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00000191|[643, 44, 1, 45]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      24|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00000095|[672, 46, 1, 47]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      25|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00000048|[701, 48, 1, 49]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      26|[18.91016175597906, -1.4972082674503326, 3.1162631511688232, 1.0571529567241669, 0.3748885065317153]|-100000002004087734272.0000000000000000|      0.00000024|[730, 50, 1, 51]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
