k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8]|27015.8467613624197838|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.8381180793046952, 1.1587948098778724, -1.2435508266091346, 0.7547801688313485, -0.8462740510702134, 1.1532276019454002, -1.2467708967626094, 1.2184250831604004, -0.845478492975235, 1.155714177340269, -1.242789913713932, 0.7589666649699212, -0.8390561446547509, 1.1631040282547473, -1.2345880426466465, 0.7678347408771515, -0.8296582691371441, 1.172904484719038, -1.2245032962411642, 0.778094169870019, -0.8193253215402365, 1.1832179881632328, -1.2142942499369382, 0.7881214499473572, -0.8095496522262693, 1.1926794189959764, -1.2052027138881385, 0.7967941644135863, -0.8013382033212111, 1.200393394002458, -1.1980164268054068, 0.8034282966516912, -0.7952751896344126, 1.2058715837076306, -2.090330970287323, 0.8077155311591924, -0.7915847955271602, 1.2089700166136026, -1.1906163699924945, 0.8096605643630028, -0.790193865261972, 1.209826386347413, -1.1902719622477889, 0.8095184165984393, -0.7907945962622762, 1.2087973633781075, -1.1916969127953052, 0.8077317361719907, -0.792907227948308, 1.2063959006220102, -1.1943489897996187, 0.804868108779192, -0.7959427346475423, 1.2032285458873957, -1.1976080460473895, 0.8015573683194817, -0.7992655167588965, 1.1999327458572224, -1.2008387044654227, 0.7984289025887847, -0.8022560930810869, 1.1971141568385064, -1.203453051438555, 0.7960489636287094, -0.8043737911619246, 1.195283953845501, -1.2049733282066881, 0.7948579762130976, -0.8052194399759174, 1.1947961368598043, -1.2050946241244673, 0.7951078435406089, -0.8045980592258275, 1.1957848424091935, -1.2037475635763257, 0.7967992613092065, -0.802581553766504, 1.1981016494566574, -1.201161003485322, 0.7996190196543467, -0.7995714035467245, 1.2012528883526101, -1.197924720402807, 0.8028773166704923, -0.7963613548316062, 1.2043369508348405, -1.1950521029531955, 0.8054450640454889, -0.794200112298131, 1.2059815971180796, -1.1940428440459072, 0.8056911977007986, -0.7948540311306715, 1.2042812642641365, -1.1969456340186297, 0.8014199841534719, -0.8006698058568873, 1.196734376065433, -1.2064208470284938, 0.7898083303123713]|25759.0859375000000000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[-0.7774804748594761, 0.9821674719452858, -1.3335280612111091, 0.5179957702755928, -0.9357916370034218, 1.0898874670267105, -1.318389617651701, 1.2207009836100042, -0.7934505112469197, 1.121891875565052, -1.3074931919574737, 0.8164643302559853, -0.8636904314160347, 1.0950043730437755, -1.2798721872270107, 0.6597893491387368, -0.8878494903445244, 1.29189148619771, -1.175654175505042, 0.7089803639799357, -0.6248323109000922, 1.4329662032425403, -1.1973316490650177, 1.023380208015442, -0.8085565587505699, 1.1989164038561284, -1.334460452478379, 0.8370578097645194, -0.871452406118624, 1.1963275306799914, -1.1915102664381265, 0.8171705908142031, -0.9734354994259775, 1.1536500023677945, -2.0498433232307436, 0.896275441814214, -0.6174914298579097, 1.1557582829147577, -1.1601498078554868, 0.6819090351462365, -0.778204089216888, 1.1186322260648012, -1.2576476966962218, 0.7585443083196879, -0.7225409971550107, 1.274359537102282, -1.237826843559742, 0.9249360595829785, -0.6999608773738146, 1.1759861640632152, -1.106785735860467, 0.6916023410856724, -0.7629784007556737, 1.3882795847486704, -1.425440646521747, 1.0035388085059822, -0.8397211896488443, 1.0106279619169072, -1.2888107568607665, 0.7993388787843287, -1.0580407834611834, 1.2601291633211076, -1.2313993578311055, 0.9643848633393646, -0.7171675913967193, 1.1944994308170862, -1.1895945894531905, 0.7441751074045897, -0.8484623974189163, 1.146786789689213, -1.1747200375422835, 0.8295814452692867, -0.8044875691601192, 1.2723967859521508, -1.230870517482981, 0.6505787262693048, -0.7587853050325066, 1.2106837699422612, -1.1946857318282127, 0.7844591500877869, -0.8483191107050516, 1.4980002450058236, -1.250666173454374, 0.8572460957337171, -0.871608925703913, 1.093052106257528, -1.2165901612490415, 0.7282404491677881, -0.815744399279356, 1.364893421344459, -1.0968073432333767, 0.800948884524405, -0.79911542609334, 1.2250393082387745, -1.182567414175719, 0.8578850771998987, -0.7410362304770388, 1.1700462846085429, -1.2049629304558038, 0.7467841479927302]|24925.9042968750000000|      4.00000000|[41, 6, 0, 3]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       3|[3.175562270730734, 0.8372308507561683, -1.4847492918372154, 0.6418237045407296, -1.091854478418827, 0.934730914235115, -1.4707563452422618, 1.0727736844681204, -0.9355095095932484, 0.9869222089648246, -1.4343477308750152, 0.6985677510499955, -0.9719572693109513, 0.9968797050416469, -1.3674903072416782, 0.5829051390290261, -0.9538987457752228, 1.2366623289883136, -1.220183926448226, 0.6749332781881094, -0.6487000688910485, 1.4188969925045967, -1.2020516975782811, 1.0274998538196087, -0.7961585542187095, 1.2189874614588916, -1.3073580249212682, 0.870520822191611, -0.8323217333061621, 1.2404174514987971, -1.1431786481291055, 0.869023238029331, -0.9187798990868032, 1.2103984894230961, -1.9916989214718344, 0.9551366639323533, -0.5585701374337078, 1.214109393581748, -1.1029687847942113, 0.7373539350926877, -0.7250242440029979, 1.1690580759197473, -1.2104221729561686, 0.8021680537611247, -0.6828736366704107, 1.3097644278779625, -1.2069406516849994, 0.9510982182808221, -0.6786764666438103, 1.1922911375761032, -1.095509758964181, 0.6978516752831638, -0.7617019642610103, 1.384687419096008, -1.4337477160617709, 0.9096992674283684, -0.8568069802829996, 0.9895686015617684, -1.3135101114050485, 0.7713720758445561, -1.0888665343634785, 1.2268855816684663, -1.2665906777139753, 0.9277409112080932, -0.7547483273781836, 1.1565139271435327, -1.2274415868334472, 0.707015958800912, -0.8843838108703495, 1.112647704128176, -1.206543624214828, 0.8005886359140277, -0.8301589730152046, 1.250505687482655, -1.2485615336801856, 0.637460745126009, -0.7670121383387596, 1.2076030305353924, -1.1924372371751815, 0.7921392616524827, -0.8351950200856664, 1.5164810804883018, -1.2270253117196261, 0.8857305817771703, -0.8387274124659598, 1.129743034299463, -1.1768295902758836, 0.770167295075953, -0.7727300144731999, 1.4077291710302233, -1.0556162160821259, 0.8388168850913644, -0.7664745815098286, 1.2503101316280663, -1.1670619615353643, 0.8609633916756139, -0.7533274998539128, 1.1391477396711707, -1.2580165665596723, 0.6677022773772479]|24850.2675781250000000|      8.00000000|[79, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       4|[3.175562270730734, 0.8372308507561683, -1.4847492918372154, 0.6418237045407296, -1.091854478418827, 0.934730914235115, -1.4707563452422618, 1.0727736844681204, -0.9355095095932484, 0.9869222089648246, -1.4343477308750152, 0.6985677510499955, -0.9719572693109513, 0.9968797050416469, -1.3674903072416782, 0.5829051390290261, -0.9538987457752228, 1.2366623289883136, -1.220183926448226, 0.6749332781881094, -0.6487000688910485, 1.4188969925045967, -1.2020516975782811, 1.0274998538196087, -0.7961585542187095, 1.2189874614588916, -1.3073580249212682, 0.870520822191611, -0.8323217333061621, 1.2404174514987971, -1.1431786481291055, 0.869023238029331, -0.9187798990868032, 1.2103984894230961, -1.9916989214718344, 0.9551366639323533, -0.5585701374337078, 1.214109393581748, -1.1029687847942113, 0.7373539350926877, -0.7250242440029979, 1.1690580759197473, -1.2104221729561686, 0.8021680537611247, -0.6828736366704107, 1.3097644278779625, -1.2069406516849994, 0.9510982182808221, -0.6786764666438103, 1.1922911375761032, -1.095509758964181, 0.6978516752831638, -0.7617019642610103, 1.384687419096008, -1.4337477160617709, 0.9096992674283684, -0.8568069802829996, 0.9895686015617684, -1.3135101114050485, 0.7713720758445561, -1.0888665343634785, 1.2268855816684663, -1.2665906777139753, 0.9277409112080932, -0.7547483273781836, 1.1565139271435327, -1.2274415868334472, 0.707015958800912, -0.8843838108703495, 1.112647704128176, -1.206543624214828, 0.8005886359140277, -0.8301589730152046, 1.250505687482655, -1.2485615336801856, 0.637460745126009, -0.7670121383387596, 1.2076030305353924, -1.1924372371751815, 0.7921392616524827, -0.8351950200856664, 1.5164810804883018, -1.2270253117196261, 0.8857305817771703, -0.8387274124659598, 1.129743034299463, -1.1768295902758836, 0.770167295075953, -0.7727300144731999, 1.4077291710302233, -1.0556162160821259, 0.8388168850913644, -0.7664745815098286, 1.2503101316280663, -1.1670619615353643, 0.8609633916756139, -0.7533274998539128, 1.1391477396711707, -1.2580165665596723, 0.6677022773772479]|24850.2675781250000000|      4.00000000|[194, 30, 0, 15]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 77 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 90 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 103 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[3.0858881220847514, 0.9364275779644345, -1.3794421300774578, 0.752263183907363, -1.2162325040620336, -0.9963573722231944, -1.5892179203941645, 1.1806442602377554, -1.0343660036614812, 1.0920512100821436, -1.527978907950974, 0.563096556449793, -0.8845661732754605, 1.0743516690637076, -1.2959105103621535, 0.4989714869183973, -0.8961995368075273, 1.286144554896714, -1.1788499144332891, 0.5731833421110791, -0.6278889260072684, 1.4099141529665022, -1.1974584468597647, 1.0209542153363085, -0.805368614303203, 1.197335149883559, -1.279316900606141, 0.799840969070185, -0.878838065522115, 1.1947057485920332, -1.1539495882842032, 0.8160577591550949, -0.9876964008359771, 1.1363154286434796, -2.019946359026199, 0.8709284400690296, -0.6405012351126467, 1.1261225918781004, -1.1900353897111628, 0.6448418847386999, -0.8176927894785453, 1.1425519239694337, -1.2565605384119234, 0.7055325278478424, 1.0207653709462756, 1.2171845238382513, -1.275833401268327, 0.7940324596673117, -0.7648291817035014, 1.1085655770726823, -1.2486007054392059, 0.5810038861753691, -0.831687492244974, 1.3192814939993778, -1.4980253741649814, 0.85070735470895, -0.9135492246867244, 0.9409134727423012, -1.4879443227230482, 0.7411267324625976, -1.1168121134802351, 1.2046035066341991, -1.411066639557685, 0.9182399617087946, -0.758902260079664, -1.8155890271061466, -1.3135198341452037, 0.7231235026070177, -0.8619599570213866, 1.0422725607348708, -1.1751914002899877, 0.8372177269350326, -0.9405795663809551, 1.2963649321490083, -1.3334231816908346, 0.6908852966477772, -0.7076174507290335, 1.269465489227108, -1.2361269060366058, 0.8580594490914288, -0.7696996723147268, 1.517831126312336, -1.163333370269093, 0.9519296642915098, -0.7757134660467897, 1.1414069632219297, -1.121350685938051, 0.8201308754279657, -0.7081083481742043, 1.4475439589523393, -1.0207463239583898, 0.785916637840522, -0.7181043181510626, 1.2541834501035338, -1.1745764755917585, 0.7625891771706872, -0.7854353010731245, 1.0901468257554658, -1.3227232209754134, 0.5848499786383803]|24466.5253906250000000|      8.00000000|[245, 38, 0, 19]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       6|[3.0858881220847514, 0.9364275779644345, -1.3794421300774578, 0.752263183907363, -1.2162325040620336, -0.9963573722231944, -1.5892179203941645, 1.1806442602377554, -1.0343660036614812, 1.0920512100821436, -1.527978907950974, 0.563096556449793, -0.8845661732754605, 1.0743516690637076, -1.2959105103621535, 0.4989714869183973, -0.8961995368075273, 1.286144554896714, -1.1788499144332891, 0.5731833421110791, -0.6278889260072684, 1.4099141529665022, -1.1974584468597647, 1.0209542153363085, -0.805368614303203, 1.197335149883559, -1.279316900606141, 0.799840969070185, -0.878838065522115, 1.1947057485920332, -1.1539495882842032, 0.8160577591550949, -0.9876964008359771, 1.1363154286434796, -2.019946359026199, 0.8709284400690296, -0.6405012351126467, 1.1261225918781004, -1.1900353897111628, 0.6448418847386999, -0.8176927894785453, 1.1425519239694337, -1.2565605384119234, 0.7055325278478424, 1.0207653709462756, 1.2171845238382513, -1.275833401268327, 0.7940324596673117, -0.7648291817035014, 1.1085655770726823, -1.2486007054392059, 0.5810038861753691, -0.831687492244974, 1.3192814939993778, -1.4980253741649814, 0.85070735470895, -0.9135492246867244, 0.9409134727423012, -1.4879443227230482, 0.7411267324625976, -1.1168121134802351, 1.2046035066341991, -1.411066639557685, 0.9182399617087946, -0.758902260079664, -1.8155890271061466, -1.3135198341452037, 0.7231235026070177, -0.8619599570213866, 1.0422725607348708, -1.1751914002899877, 0.8372177269350326, -0.9405795663809551, 1.2963649321490083, -1.3334231816908346, 0.6908852966477772, -0.7076174507290335, 1.269465489227108, -1.2361269060366058, 0.8580594490914288, -0.7696996723147268, 1.517831126312336, -1.163333370269093, 0.9519296642915098, -0.7757134660467897, 1.1414069632219297, -1.121350685938051, 0.8201308754279657, -0.7081083481742043, 1.4475439589523393, -1.0207463239583898, 0.785916637840522, -0.7181043181510626, 1.2541834501035338, -1.1745764755917585, 0.7625891771706872, -0.7854353010731245, 1.0901468257554658, -1.3227232209754134, 0.5848499786383803]|24466.5253906250000000|      4.00000000|[358, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 41 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 66 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 78 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 90 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 102 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[3.0861151809586125, 0.9357782497372796, -1.3810809708450127, 0.7495669426552387, -1.2200130948979924, -1.0012124825332125, -1.5951049649878564, 1.1737967398788949, -1.042077415580926, 1.083594008549124, -1.5370457457907563, 0.5535709519037229, -0.8943881516731279, 1.0644041809792721, -1.3058070942173057, 0.4893049984124974, -0.9054566093903682, 1.2774738532513994, -1.1867620249705797, 0.5661950826130492, -0.6337971204709685, 1.405231240009579, -1.2007836698511716, 1.019104609052368, -0.8056406941106763, 1.198725092597572, -1.2761991120231007, 0.8047326337912567, -0.8721472699887559, 1.2031993098896883, -1.1436719537976472, 0.8280778804836276, -0.973998700260983, 1.151602181597605, -2.003182845118409, 0.8890326356638172, -0.7852904391140734, 1.1464055328171692, -1.1689607836054776, 0.6664795498465461, -0.7957424570306588, 1.1645435605735044, -1.2348189842708788, 0.7267136791187088, 1.0410580982229585, 1.236244463148206, -1.2583654405530331, 0.8095360617697106, -0.7516737306590612, 1.1189795962997102, -1.2413288302775283, 0.5847276677312602, -0.8319206568696342, 1.3146820997226396, -1.507398103041751, 0.8361591126168174, -0.9336673420191829, 0.9148419503574192, -1.520338772880929, 0.7020571283339985, -1.1628883553608904, 1.1512134656405086, -1.4720496193917647, 0.8494168029677973, -0.8357769706991136, -1.9006866455071971, -1.406967444881097, 0.621247504527241, -0.9722895179568839, 0.9235221822453765, -1.3022671469454519, 0.7019797798286712, -1.0837437689518703, 1.1455884564810548, -1.4914145909925924, 0.7717598887135884, -0.8784853408485861, 1.093130929309658, 2.6743545469052887, 0.6732662450222913, -0.9572540019484396, 1.328658873299679, -1.352849005640301, 0.763483172334799, -0.9615335538372789, 0.9599221596645338, -1.2966326725322512, 0.653085058648829, -0.8647115056944985, 1.303770552208336, -1.1491147761497427, 0.6757242718961365, -0.8071457449289022, 1.1894795683629638, -1.2115363286150491, 0.7570079975369506, -0.7557665936725642, 1.1591817523487695, -1.2099519259643698, 0.7459904205329115]|24131.2441406250000000|      8.00000000|[421, 66, 0, 33]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       8|[3.0861151809586125, 0.9357782497372796, -1.3810809708450127, 0.7495669426552387, -1.2200130948979924, -1.0012124825332125, -1.5951049649878564, 1.1737967398788949, -1.042077415580926, 1.083594008549124, -1.5370457457907563, 0.5535709519037229, -0.8943881516731279, 1.0644041809792721, -1.3058070942173057, 0.4893049984124974, -0.9054566093903682, 1.2774738532513994, -1.1867620249705797, 0.5661950826130492, -0.6337971204709685, 1.405231240009579, -1.2007836698511716, 1.019104609052368, -0.8056406941106763, 1.198725092597572, -1.2761991120231007, 0.8047326337912567, -0.8721472699887559, 1.2031993098896883, -1.1436719537976472, 0.8280778804836276, -0.973998700260983, 1.151602181597605, -2.003182845118409, 0.8890326356638172, -0.7852904391140734, 1.1464055328171692, -1.1689607836054776, 0.6664795498465461, -0.7957424570306588, 1.1645435605735044, -1.2348189842708788, 0.7267136791187088, 1.0410580982229585, 1.236244463148206, -1.2583654405530331, 0.8095360617697106, -0.7516737306590612, 1.1189795962997102, -1.2413288302775283, 0.5847276677312602, -0.8319206568696342, 1.3146820997226396, -1.507398103041751, 0.8361591126168174, -0.9336673420191829, 0.9148419503574192, -1.520338772880929, 0.7020571283339985, -1.1628883553608904, 1.1512134656405086, -1.4720496193917647, 0.8494168029677973, -0.8357769706991136, -1.9006866455071971, -1.406967444881097, 0.621247504527241, -0.9722895179568839, 0.9235221822453765, -1.3022671469454519, 0.7019797798286712, -1.0837437689518703, 1.1455884564810548, -1.4914145909925924, 0.7717598887135884, -0.8784853408485861, 1.093130929309658, 2.6743545469052887, 0.6732662450222913, -0.9572540019484396, 1.328658873299679, -1.352849005640301, 0.763483172334799, -0.9615335538372789, 0.9599221596645338, -1.2966326725322512, 0.653085058648829, -0.8647115056944985, 1.303770552208336, -1.1491147761497427, 0.6757242718961365, -0.8071457449289022, 1.1894795683629638, -1.2115363286150491, 0.7570079975369506, -0.7557665936725642, 1.1591817523487695, -1.2099519259643698, 0.7459904205329115]|24131.2441406250000000|      4.00000000|[533, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 77 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 89 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 101 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[3.0861151809586125, 0.9357782497372796, -1.3810809708450127, 0.7495669426552387, -1.2200130948979924, -1.0012124825332125, -1.5951049649878564, 1.1737967398788949, -1.042077415580926, 1.083594008549124, -1.5370457457907563, 0.5535709519037229, -0.8943881516731279, 1.0644041809792721, -1.3058070942173057, 0.4893049984124974, -0.9054566093903682, 1.2774738532513994, -1.1867620249705797, 0.5661950826130492, -0.6337971204709685, 1.405231240009579, -1.2007836698511716, 1.019104609052368, -0.8056406941106763, 1.198725092597572, -1.2761991120231007, 0.8047326337912567, -0.8721472699887559, 1.2031993098896883, -1.1436719537976472, 0.8280778804836276, -0.973998700260983, 1.151602181597605, -2.003182845118409, 0.8890326356638172, -0.7852904391140734, 1.1464055328171692, -1.1689607836054776, 0.6664795498465461, -0.7957424570306588, 1.1645435605735044, -1.2348189842708788, 0.7267136791187088, 1.0410580982229585, 1.236244463148206, -1.2583654405530331, 0.8095360617697106, -0.7516737306590612, 1.1189795962997102, -1.2413288302775283, 0.5847276677312602, -0.8319206568696342, 1.3146820997226396, -1.507398103041751, 0.8361591126168174, -0.9336673420191829, 0.9148419503574192, -1.520338772880929, 0.7020571283339985, -1.1628883553608904, 1.1512134656405086, -1.4720496193917647, 0.8494168029677973, -0.8357769706991136, -1.9006866455071971, -1.406967444881097, 0.621247504527241, -0.9722895179568839, 0.9235221822453765, -1.3022671469454519, 0.7019797798286712, -1.0837437689518703, 1.1455884564810548, -1.4914145909925924, 0.7717598887135884, -0.8784853408485861, 1.093130929309658, 2.6743545469052887, 0.6732662450222913, -0.9572540019484396, 1.328658873299679, -1.352849005640301, 0.763483172334799, -0.9615335538372789, 0.9599221596645338, -1.2966326725322512, 0.653085058648829, -0.8647115056944985, 1.303770552208336, -1.1491147761497427, 0.6757242718961365, -0.8071457449289022, 1.1894795683629638, -1.2115363286150491, 0.7570079975369506, -0.7557665936725642, 1.1591817523487695, -1.2099519259643698, 0.7459904205329115]|24131.2441406250000000|      2.00000000|[647, 102, 0, 51]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 78 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 90 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 102 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[3.160044937838419, 0.7974681153264215, -1.4100094947282362, 0.6478375496498676, -1.4170919338424275, -1.0862645778868159, -1.5257549011870446, 1.217105690839531, -1.0066810370935775, 0.9731200553616584, -1.611609196902073, 0.4506256837495786, -0.8046208669817941, 1.1019962343926633, -1.314681939908331, 0.5662518306521251, -0.7327177145701549, 1.2670990715757626, -1.2963564743714815, 0.6973671286783797, -0.6539948230427182, 1.3669031809919208, -1.0767922698477383, 0.9092182310025176, -0.6680350418975797, 1.046078849025337, -1.3722056023132656, 0.7198677268245705, -0.9030446209705875, 1.0679817177695177, -1.2449200467470376, 0.9237665886101726, -0.9542824281303744, 1.3135998574932959, -1.921493830087548, 0.8741911368567445, -0.8461940106601511, 1.153485801863297, -1.075836542968652, 0.6251515220021171, -0.8833755303605844, 1.0250676934212903, -1.2138993204392872, 0.8602011421161453, 1.0381726192085916, 1.0312551043654377, -1.3907070489581463, 0.7964963899537788, -0.837650308954292, 1.1210156411394798, -1.1599026195760627, 0.8494122852506388, -0.7696445766188942, 1.3936270286667505, -1.5507669082416125, 0.7722274090493125, -1.0121029120207852, 0.9199295262326419, -1.3194699576972895, 0.6962869800902434, -1.117250017629529, 1.1768132172619934, -1.519834946230258, 0.881672281171094, -0.7876397752907693, -1.8345362484448955, -1.3728730255507384, 0.5003333209702074, -1.0236425217866016, 0.7864138562871246, -1.465332565546488, 0.7384627509902751, -1.0424773536836875, 1.046461759894446, -1.6337376379152762, 0.7913778578838011, -0.8103125507384749, 1.1207794117813625, 2.649225504339466, 0.6574621367900315, -1.2355648075075978, 1.4062558953562585, -1.2753005837209552, 0.8545197975412695, -1.013854701010922, 0.8326510736869794, -1.3905982178289202, 0.7326128018095537, -0.8975641963614125, 1.416885520150574, -1.1550692242834497, 0.7182222346093781, -0.691539951035565, 1.4164517608888274, -1.2380268176359928, 0.8640889190676742, -0.9208455912845637, 1.0902894224175104, -1.2089787644215817, 0.8360060703284438]|23833.2714843750000000|      4.00000000|[673, 106, 0, 53]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
      11|[3.0164770479096013, 1.0320906832184962, -1.6175520482722807, 0.3988904060951801, -1.3708180280585358, -0.9047753784868677, -1.53508024157725, 1.2721804720189591, -0.9925358611671902, 1.1447031863173545, -1.8877738180168038, 0.780901010716818, -0.8578766559637087, 0.9622522059436047, -1.6293735132897549, 0.6628775535968616, -0.5860522606593273, 1.4124304841295499, -0.961372976513434, 0.5265585153780562, -0.7672357132476246, 1.3122356373720496, -1.0829547028014537, 0.9292298702250203, -0.5616581406286206, 1.0666006201880853, -1.5043459407341335, 0.3823083844402321, -0.8129393779433772, 1.2382242806595705, -1.0950688288810937, 1.2257084006485943, -1.0873456848709444, 1.0994228748520758, -1.8130480963019187, 1.042917104263971, -1.0893434402198587, 1.1952823929961762, -1.2108172662304852, 0.5142555008744163, -0.8815006752231542, 1.0721689079493741, -1.523869043663927, 0.8582720890107314, 1.2668530212490732, 1.0762267045403415, -1.8308481009658215, 0.719219482092546, -0.7416859964008863, 1.2252947718367302, -0.7888995878454108, 0.4933083285512675, -0.4947538855769478, 1.5869078298437753, -1.242606215788228, 0.8786422486746711, -1.2735361855746334, 0.9959952304591357, -1.1845480344175272, 1.1366846896983214, -1.1160679860446254, 1.0988052509820099, -1.774028758838977, 0.6690441252243624, -1.007849358930868, -1.58498252332149, -1.5296840095662032, 0.948911321038872, -1.2026106384276463, 1.1528780241204528, -1.2177929260735265, 0.9672572810243404, -1.2586120806848777, 0.77951213607128, -1.7591753595253454, 0.6039619004329344, -0.7559997404366942, 1.132256829093925, 2.3300755333311653, 0.4439306575505677, -1.5485925768347615, 1.6459708754816857, -1.104852593422684, 0.9453004282490103, -1.1909173465654646, 0.878973955862425, -1.415848945139697, 0.7257748191251798, -0.8552800057066579, 1.905853385856064, -1.3000877273533273, 0.6851634981360561, -0.6130532029958425, 1.3760697965927249, -1.0810572107596195, 1.0028672926667266, -0.9298009703012611, 1.1070666900970825, -1.2548125942119355, 0.9242852580077345]|21553.2089843750000000|      8.00000000|[699, 110, 0, 55]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
