k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      | 14.2031250000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1500823348760605, 0.0883858799934387]                                        |  3.6113035678863525|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[1.1500823348760605, 0.0883858799934387]                                        |  3.6113035678863525|      1.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.722422942519188, -0.0740494430065155]                                        |  1.2242528200149536|      2.00000000|[11, 3, 1, 4]                                                              | | GPS sucess | actual_k=1
       4|[1.722422942519188, -0.0740494430065155]                                        |  1.2242528200149536|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[1.722422942519188, -0.0740494430065155]                                        |  1.2242528200149536|      0.50000000|[18, 5, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[2.214591473746335, 0.0140989368408341]                                         |  0.6367173295749838|      1.00000000|[22, 6, 4, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[2.214591473746335, 0.0140989368408341]                                         |  0.6367173295749838|      0.50000000|[26, 7, 5, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[2.214591473746335, 0.0140989368408341]                                         |  0.6367173295749838|      0.25000000|[30, 8, 6, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[2.1573836136937494, 0.1236630847304482]                                        |  0.3908391892910004|      0.50000000|[34, 9, 6, 15]                                                             | | GPS sucess | actual_k=1
      10|[2.1573836136937494, 0.1236630847304482]                                        |  0.3908391892910004|      0.25000000|[37, 10, 7, 17]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[2.2646831576109285, 0.1925686841457505]                                        |  0.2545082569122314|      0.50000000|[41, 11, 7, 18]                                                            | | GPS sucess | actual_k=1
      12|[2.2646831576109285, 0.1925686841457505]                                        |  0.2545082569122314|      0.25000000|[44, 12, 8, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
