k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8377916067838669, 0.6119778156280518, 0.7851987928152084, 0.5699197351932526, 0.5683523416519165, 1.190328374505043, 1.0515540018677711, 1.0025164890103042, 1.0231763403862715, 0.9728886019438505, 1.2674362063407898, 0.6773701012134552, 0.724871963262558, 1.0934448763728142, 1.0647654831409454, 1.1648557931184769, 0.9848501421511173, 0.8602435886859894, 1.0185017995536327, 1.059079360216856, 1.1020142957568169, 0.8131877034902573]|  1.3590104579925537|      2.00000000|[245, 35, 0, 18]                                                           | | GPS sucess | actual_k=2
       2|[0.3165873140096664, 0.399391233921051, 0.8188706263899803, 0.467860996723175, 0.2861942946910858, 0.8570004850625992, 0.3900300040841103, 0.9650379600934684, 0.9290737193077803, 1.134722901508212, 1.539249211549759, -0.3901139199733734, 0.1194188892841339, 0.7444353029131889, 0.9578856378793716, 1.721724584698677, 0.5033757127821445, 0.8964511454105377, 0.6454495005309582, 1.4843235425651073, 1.3272120282053947, 1.07162706553936]|  1.0328139066696167|      4.00000000|[489, 70, 0, 36]                                                           | | GPS sucess | actual_k=2
       3|[-0.2101854830980301, 1.101325511932373, 0.3134924992918968, 0.0452568233013153, -0.0405594408512115, 0.874609962105751, 0.1910809054970741, 0.5337791028432548, 1.2585312109440565, 0.4495009314268827, 2.471448987722397, -2.7505174577236176, 0.7261845171451569, 1.0306419357657433, 1.3195980340242386, 1.4164824336767197, 0.6861808337271214, -0.8197167813777924, 1.2383455447852612, 1.1359697990119457, 1.4805214032530785, 2.126445934176445]|  0.7173532843589783|      8.00000000|[734, 104, 0, 54]                                                          | | GPS sucess | actual_k=2
       4|[-0.806959941983223, -1.2640044689178467, -0.1625014021992683, -1.6212139427661896, 0.3058699369430542, -0.5650142282247543, -1.1117868646979332, -0.2122756657190621, -1.98402345366776, -0.2212602365761995, 2.0882717072963715, -4.436594694852829, -0.2606401145458221, 0.2081403955817223, 0.5318703800439835, 2.508941277861595, -0.1709589920938015, -4.1984401643276215, 3.108984988182783, 0.2729927711188793, -1.1361666098237038, -0.883162334561348]|  0.4842850565910339|     16.00000000|[977, 140, 0, 72]                                                          | | GPS sucess | actual_k=2
       5|[-0.806959941983223, -1.2640044689178467, -0.1625014021992683, -1.6212139427661896, 0.3058699369430542, -0.5650142282247543, -1.1117868646979332, -0.2122756657190621, -1.98402345366776, -0.2212602365761995, 2.0882717072963715, -4.436594694852829, -0.2606401145458221, 0.2081403955817223, 0.5318703800439835, 2.508941277861595, -0.1709589920938015, -4.1984401643276215, 3.108984988182783, 0.2729927711188793, -1.1361666098237038, -0.883162334561348]|  0.4842850565910339|      8.00000000|[1222, 174, 0, 90]                                                         |  | used quadratic model with 280 points | actual_k=2
       6|[-2.2852263003587723, -0.2623680830001831, -0.4917367175221443, 0.1683180034160614, 0.3007793403230608, -1.3655592650175095, -0.4683265909552574, 1.0633233371190727, -0.9667243976145983, -2.8900832403451204, 1.3524949252605438, -4.427365682087839, -2.7265062034130096, -0.9517825618386269, -2.9101230949163437, -0.6558555513620377, -0.1181780584156513, -2.792959064245224, 0.3468041829764843, 2.5008236579596996, -0.4960190430283546, 0.1068765968084335]|  0.4715506434440613|     16.00000000|[1465, 210, 0, 108]                                                        | | GPS sucess | actual_k=2
       7|[-2.2852263003587723, -0.2623680830001831, -0.4917367175221443, 0.1683180034160614, 0.3007793403230608, -1.3655592650175095, -0.4683265909552574, 1.0633233371190727, -0.9667243976145983, -2.8900832403451204, 1.3524949252605438, -4.427365682087839, -2.7265062034130096, -0.9517825618386269, -2.9101230949163437, -0.6558555513620377, -0.1181780584156513, -2.792959064245224, 0.3468041829764843, 2.5008236579596996, -0.4960190430283546, 0.1068765968084335]|  0.4715506434440613|      8.00000000|[1710, 244, 0, 126]                                                        |  | used quadratic model with 280 points | actual_k=2
       8|[-2.2852263003587723, -0.2623680830001831, -0.4917367175221443, 0.1683180034160614, 0.3007793403230608, -1.3655592650175095, -0.4683265909552574, 1.0633233371190727, -0.9667243976145983, -2.8900832403451204, 1.3524949252605438, -4.427365682087839, -2.7265062034130096, -0.9517825618386269, -2.9101230949163437, -0.6558555513620377, -0.1181780584156513, -2.792959064245224, 0.3468041829764843, 2.5008236579596996, -0.4960190430283546, 0.1068765968084335]|  0.4715506434440613|      4.00000000|[1954, 279, 0, 144]                                                        |  | used quadratic model with 280 points | actual_k=2
       9|[-1.4826907068490982, 0.2416815161705017, -0.9659377411007881, 0.3460080176591873, -0.5484417700208724, -1.9595309346914291, -1.2758999094367027, 0.3352829995565116, -0.4552531857043505, -2.227429972961545, 1.064211517572403, -5.018433175049722, -1.8285074532032013, -2.9964288249611855, -4.0601457208395, -0.0169875770807266, 0.113309558480978, -4.393679231405258, 0.2553171329200268, 2.914516966789961, -1.7426557913422585, 0.6813075393438339]|  0.4441609978675842|      8.00000000|[2199, 313, 0, 162]                                                        | | GPS sucess | actual_k=2
      10|[-1.4826907068490982, 0.2416815161705017, -0.9659377411007881, 0.3460080176591873, -0.5484417700208724, -1.9595309346914291, -1.2758999094367027, 0.3352829995565116, -0.4552531857043505, -2.227429972961545, 1.064211517572403, -5.018433175049722, -1.8285074532032013, -2.9964288249611855, -4.0601457208395, -0.0169875770807266, 0.113309558480978, -4.393679231405258, 0.2553171329200268, 2.914516966789961, -1.7426557913422585, 0.6813075393438339]|  0.4441609978675842|      4.00000000|[2443, 348, 0, 180]                                                        |  | used quadratic model with 280 points | actual_k=2
      11|[-0.8912904411554337, 0.0088237822055817, -1.4343010261654854, -0.7663091868162155, -0.8724323832429945, -2.0659050196409225, -0.32767304033041, 0.3579766727052629, 0.9848744254559278, -0.7966108191758394, 1.3521482050418854, -5.801331779919565, -0.5848130285739899, -2.8060992434620857, -3.5378111451864243, -0.592184379696846, -0.7562488354742527, -5.324349254369736, 0.1858143769204617, 2.8760740011930466, 0.0271181687712669, 0.5441683083772659]|  0.4249948859214783|      8.00000000|[2687, 383, 0, 198]                                                        | | GPS sucess | actual_k=2
      12|[-0.8912904411554337, 0.0088237822055817, -1.4343010261654854, -0.7663091868162155, -0.8724323832429945, -2.0659050196409225, -0.32767304033041, 0.3579766727052629, 0.9848744254559278, -0.7966108191758394, 1.3521482050418854, -5.801331779919565, -0.5848130285739899, -2.8060992434620857, -3.5378111451864243, -0.592184379696846, -0.7562488354742527, -5.324349254369736, 0.1858143769204617, 2.8760740011930466, 0.0271181687712669, 0.5441683083772659]|  0.4249948859214783|      4.00000000|[2930, 419, 0, 216]                                                        |  | used quadratic model with 280 points | actual_k=2
      13|[-0.8417836241424084, -0.2249577194452286, -2.164268024265766, -0.7912324853241444, -1.672538133803755, -1.720305159687996, -0.8259690627455711, 1.03191834455356, -0.2016541380435228, -0.7551596816629171, 0.5726635158061981, -6.531327567063272, -0.8818813264369965, -0.1527324393391609, -3.7450340539216995, -1.1504216343164444, 0.1697099171578884, -6.197844952344894, -0.4488666690886021, 2.1930192559957504, 0.495181642472744, 0.6593473106622696]|  0.4028135836124420|      8.00000000|[3173, 455, 0, 234]                                                        | | GPS sucess | actual_k=2
