k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 2.0]                                                                      |  2.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.657223245854012, 1.2463040366904459]                                         | -0.6271214762798858|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[0.657223245854012, 1.2463040366904459]                                         | -0.6271214762798858|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.657223245854012, 1.2463040366904459]                                         | -0.6271214762798858|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.1336091753220074, 1.0944605442223325]                                        | -0.9351378579949310|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[1.1336091753220074, 1.0944605442223325]                                        | -0.9351378579949310|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.0451022457456105, 1.0150680812535062]                                        | -0.9935785531997681|      1.00000000|[24, 6, 5, 11]                                                             | | GPS sucess | actual_k=1
       7|[1.0451022457456105, 1.0150680812535062]                                        | -0.9935785531997681|      0.50000000|[27, 7, 6, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[1.0451022457456105, 1.0150680812535062]                                        | -0.9935785531997681|      0.25000000|[31, 8, 7, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[1.0451022457456105, 1.0150680812535062]                                        | -0.9935785531997681|      0.12500000|[35, 9, 8, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[1.0292363107329123, 0.9679025719401613]                                        | -0.9963805079460144|      0.25000000|[39, 10, 8, 18]                                                            | | GPS sucess | actual_k=1
      11|[0.966742859793257, 1.0172900232014432]                                         | -0.9964197278022766|      0.50000000|[42, 11, 8, 19]                                                            | | GPS sucess | actual_k=1
      12|[0.966742859793257, 1.0172900232014432]                                         | -0.9964197278022766|      0.25000000|[45, 12, 9, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
