k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.721861839294434, 1.5313697457313538, 2.0582194067537785, 1.6774395406246185, 0.5897005021572113]|5798.6899414062500000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[19.89513248205185, 2.5104073882102966, 3.4271163679659367, 2.3727371394634247, 0.6158998448401689]|3676.1386718750000000|      4.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       3|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      8.00000000|[43, 6, 0, 3]                                                              | | GPS sucess | actual_k=2
       4|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      4.00000000|[70, 10, 0, 5]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      2.00000000|[97, 14, 0, 7]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      1.00000000|[123, 18, 0, 9]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.50000000|[148, 22, 0, 11]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       8|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.25000000|[173, 26, 0, 13]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       9|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.12500000|[198, 30, 0, 15]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      10|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.06250000|[223, 34, 0, 17]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      11|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.03125000|[248, 38, 0, 19]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      12|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.01562500|[273, 42, 0, 21]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00781250|[299, 46, 0, 23]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      14|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00390625|[324, 50, 0, 25]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      15|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00195312|[349, 54, 0, 27]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      16|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00097656|[374, 58, 0, 29]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      17|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00048828|[400, 62, 0, 31]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
