k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6050993204116821, -0.2040047347545624, -0.095682866871357, 0.1558360010385513, -0.0116788167506456, -0.1333062350749969, -0.1812138706445694, -0.0464823395013809, -0.2118305116891861, -0.0701871439814568, -0.0593429729342461, 0.1449368894100189, -0.0572158060967922, 0.0079787475988269, 0.053744874894619, 0.0170572567731142, -0.0071873110719025, 0.3468151688575745, -0.0282187908887863, -0.1313029825687408, -0.1075290441513062, -0.0386640205979347]| 14.0199031829833984|      2.00000000|[65, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[0.7713702470064163, -0.1256180182099342, 0.0637991204857826, 0.9810202866792679, 0.9366805534809828, -0.3676744550466537, -0.5688716620206833, 0.5358326286077499, -0.2900638058781624, -0.3603914901614189, -0.1349122673273087, 0.2547138631343842, 0.2417402900755405, -0.3353116111829877, -0.5964513197541237, -0.5220368336886168, 0.2147612827830017, 0.6815675497055054, -0.0104303602129221, 0.5075335800647736, -0.3658231496810913, -0.4181555882096291]| 12.8512964248657227|      4.00000000|[129, 0, 0, 2]                                                             | | GPS sucess | actual_k=0
       3|[0.6317267566919327, -0.3501183614134789, 1.2048730626702309, 2.438843324780464, 1.8568572383373976, -0.8947717398405075, -1.4592639058828354, 1.204419419169426, 0.5555820390582085, -1.3383570834994316, 0.6745160073041916, 0.3655944317579269, 0.2695146799087524, 0.5235823197290301, 0.0405582413077354, 0.1930614877492189, 0.1319203856401145, 1.2244616746902466, -1.3434750083833933, -0.220441609621048, 0.7923293113708496, -1.7906524315476418]| 12.1425809860229492|      8.00000000|[193, 0, 0, 3]                                                             | | GPS sucess | actual_k=0
       4|[-1.4631240218877792, -2.635751448571682, 1.6512218192219734, 4.105517104268074, 0.438585577532649, -2.106007382273674, -1.8257069140672684, -0.0081260949373245, 2.3383114263415337, -3.247207634150982, -0.9978268891572952, -0.6260742694139481, 1.0396243333816528, 0.3635147763416171, 1.6779993996024132, 3.119988577440381, 0.1122452742420137, 2.538720726966858, -1.0989256147295237, -1.704255372285843, 1.3293445110321045, 1.0394380912184715]| 12.1378278732299805|     16.00000000|[257, 0, 0, 4]                                                             | | GPS sucess | actual_k=0
       5|[-4.682451948523521, -2.5348871126770973, 5.382691211998463, 5.943135812878609, 2.2603155951946974, -1.8426527827978134, -1.5663957446813583, -3.897744968533516, 1.9421549662947655, -1.5311859771609306, -4.671003893017769, 3.5296087712049484, 1.006253857165575, 10.914930219762027, 5.631806753575802, 0.8635674882680178, 1.0167493945918977, 0.889519453048706, 3.006789183244109, -0.9343099296092987, 1.7781615257263184, -2.662117637693882]| 12.1314849853515625|     32.00000000|[321, 0, 0, 5]                                                             | | GPS sucess | actual_k=0
       6|[-2.487631306052208, -6.957413949072361, 14.268470592796803, 3.0034645348787308, -6.1875670570880175, 4.491981521248817, 1.5000925213098526, -0.6812990456819534, 13.792931638658047, 1.8002971485257149, -6.354138806462288, -9.148757889866829, 7.573784966021776, 2.3333319379016757, 13.747127912938595, -8.38680730573833, 5.177471650298685, 1.9533671140670776, 4.738835429772735, -0.5414291024208069, 2.3110459446907043, 5.868265472352505]| 12.1306829452514648|     64.00000000|[385, 0, 0, 6]                                                             | | GPS sucess | actual_k=0
       7|[-2.487631306052208, -6.957413949072361, 14.268470592796803, 3.0034645348787308, -6.1875670570880175, 4.491981521248817, 1.5000925213098526, -0.6812990456819534, 13.792931638658047, 1.8002971485257149, -6.354138806462288, -9.148757889866829, 7.573784966021776, 2.3333319379016757, 13.747127912938595, -8.38680730573833, 5.177471650298685, 1.9533671140670776, 4.738835429772735, -0.5414291024208069, 2.3110459446907043, 5.868265472352505]| 12.1306829452514648|     32.00000000|[449, 0, 0, 7]                                                             |  | used linear model with 65 points | actual_k=0
       8|[-3.1505844444036484, -3.9671903029084206, 7.7486389353871346, 4.532393053174019, 2.0827013831585646, -3.1037239879369736, 0.9972527772188187, -3.812897279858589, 7.482314191758633, 0.4069135263562202, 1.190804049372673, -18.687797501683235, 25.356011528521776, 6.1120673371478915, 16.477761410176754, -11.558377606794238, 5.671906930860132, 4.490953326225281, 2.11595163308084, 6.293984830379486, 14.25702029466629, -2.857200302183628]| 12.1295280456542969|     64.00000000|[513, 0, 0, 8]                                                             | | GPS sucess | actual_k=0
       9|[-3.1505844444036484, -3.9671903029084206, 7.7486389353871346, 4.532393053174019, 2.0827013831585646, -3.1037239879369736, 0.9972527772188187, -3.812897279858589, 7.482314191758633, 0.4069135263562202, 1.190804049372673, -18.687797501683235, 25.356011528521776, 6.1120673371478915, 16.477761410176754, -11.558377606794238, 5.671906930860132, 4.490953326225281, 2.11595163308084, 6.293984830379486, 14.25702029466629, -2.857200302183628]| 12.1295280456542969|     32.00000000|[577, 0, 0, 9]                                                             |  | used linear model with 65 points | actual_k=0
      10|[-3.1505844444036484, -3.9671903029084206, 7.7486389353871346, 4.532393053174019, 2.0827013831585646, -3.1037239879369736, 0.9972527772188187, -3.812897279858589, 7.482314191758633, 0.4069135263562202, 1.190804049372673, -18.687797501683235, 25.356011528521776, 6.1120673371478915, 16.477761410176754, -11.558377606794238, 5.671906930860132, 4.490953326225281, 2.11595163308084, 6.293984830379486, 14.25702029466629, -2.857200302183628]| 12.1295280456542969|     16.00000000|[641, 0, 0, 10]                                                            |  | used linear model with 65 points | actual_k=0
      11|[-4.496477469801903, -7.526256121695042, 3.1932261660695076, 6.607240274548531, 1.052488623186946, -5.172412857413292, 0.9602599889039993, -2.5412464886903763, 3.8431249484419823, 6.234337575733662, 2.2391952723264694, -18.398484095931053, 30.627304691821337, 4.352594370953739, 15.234752915799618, -11.878871185705066, 6.167201442178339, 3.5102691650390625, -1.8953656200319529, 7.960520088672638, 10.459608614444733, -10.685932792723179]| 12.1246175765991211|     32.00000000|[705, 0, 0, 11]                                                            | | GPS sucess | actual_k=0
