k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 1.0]                                                                      |217.3621226801203932|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2793562412261963, -0.0195024013519287]                                       | 88.7191390991210938|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[1.2793562412261963, -0.0195024013519287]                                       | 88.7191390991210938|      1.00000000|[8, 2, 1, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.40655517578125, -0.5075786113739014]                                         | 72.9786224365234375|      2.00000000|[12, 3, 1, 5]                                                              | | GPS sucess | actual_k=1
       4|[0.40655517578125, -0.5075786113739014]                                         | 72.9786224365234375|      1.00000000|[15, 5, 2, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.40655517578125, -0.5075786113739014]                                         | 72.9786224365234375|      0.50000000|[20, 6, 3, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.0904244184494019, -0.120201051235199]                                        | 22.8242778778076172|      1.00000000|[24, 7, 3, 12]                                                             | | GPS sucess | actual_k=1
       7|[0.0904244184494019, -0.120201051235199]                                        | 22.8242778778076172|      0.50000000|[28, 8, 4, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.0904244184494019, -0.120201051235199]                                        | 22.8242778778076172|      0.25000000|[33, 9, 5, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.0904244184494019, -0.120201051235199]                                        | 22.8242778778076172|      0.12500000|[38, 10, 6, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
