k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |149.7192190771219771|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4285364747047424, 5.820627450942993]                                         | 16.8633384704589844|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[0.4285364747047424, 5.820627450942993]                                         | 16.8633384704589844|      1.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.4285364747047424, 5.820627450942993]                                         | 16.8633384704589844|      0.50000000|[11, 3, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.2734147310256958, 5.345298886299133]                                         |  9.6201229095458984|      1.00000000|[15, 4, 2, 6]                                                              | | GPS sucess | actual_k=1
       5|[0.2734147310256958, 5.345298886299133]                                         |  9.6201229095458984|      0.50000000|[18, 5, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.2734147310256958, 5.345298886299133]                                         |  9.6201229095458984|      0.25000000|[22, 6, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.3576525151729584, 5.580679401755333]                                         |  1.1893922090530396|      0.50000000|[26, 7, 4, 11]                                                             | | GPS sucess | actual_k=1
       8|[0.4656603336334229, 5.092484459280968]                                         |  1.0807864665985107|      1.00000000|[29, 8, 4, 12]                                                             | | GPS sucess | actual_k=1
       9|[0.4656603336334229, 5.092484459280968]                                         |  1.0807864665985107|      0.50000000|[32, 9, 5, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.5869235172867775, 4.607412055134773]                                         |  0.8197874426841736|      1.00000000|[36, 10, 5, 15]                                                            | | GPS sucess | actual_k=1
      11|[0.5869235172867775, 4.607412055134773]                                         |  0.8197874426841736|      0.50000000|[39, 11, 6, 17]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.5869235172867775, 4.607412055134773]                                         |  0.8197874426841736|      0.25000000|[43, 12, 7, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.5869235172867775, 4.607412055134773]                                         |  0.8197874426841736|      0.12500000|[47, 13, 8, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
