k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9811914078891277, 0.5266053676605225]                                        |  3.6563379764556885|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[1.5554233948026124, -1.3891862768575842]                                       |  0.7305437288328681|      4.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       3|[1.5554233948026124, -1.3891862768575842]                                       |  0.7305437288328681|      2.00000000|[14, 0, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[1.5554233948026124, -1.3891862768575842]                                       |  0.7305437288328681|      1.00000000|[19, 0, 3, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[1.7426481852565232, -1.6590306300565894]                                       |  0.6828415393829346|      2.00000000|[24, 0, 3, 8]                                                              | | GPS sucess | actual_k=0
       6|[2.1443439731631697, -0.539519383375376]                                        |  0.2389423102140427|      4.00000000|[28, 0, 3, 9]                                                              | | GPS sucess | actual_k=0
       7|[2.1443439731631697, -0.539519383375376]                                        |  0.2389423102140427|      2.00000000|[32, 0, 4, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[2.1443439731631697, -0.539519383375376]                                        |  0.2389423102140427|      1.00000000|[37, 0, 5, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[2.1443439731631697, -0.539519383375376]                                        |  0.2389423102140427|      0.50000000|[42, 0, 6, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[2.074011840883297, -0.6125265348598654]                                        |  0.1576686352491379|      1.00000000|[47, 0, 6, 16]                                                             | | GPS sucess | actual_k=0
      11|[1.776640811029476, -1.0755004275486166]                                        |  0.1132966876029968|      2.00000000|[51, 0, 6, 17]                                                             | | GPS sucess | actual_k=0
      12|[1.776640811029476, -1.0755004275486166]                                        |  0.1132966876029968|      1.00000000|[55, 0, 7, 19]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[1.776640811029476, -1.0755004275486166]                                        |  0.1132966876029968|      0.50000000|[60, 0, 8, 21]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
