k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-500.0, -700.0]                                                                |  6.5525197919342713|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-499.6578545868397, -699.8901206925511]                                        |  6.5523533821105957|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-499.59553356841207, -698.1002345755696]                                       |  6.5497946739196777|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-499.2185666747391, -696.0736640170217]                                        |  6.5472226142883301|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[-502.0301613993943, -691.3122876361012]                                        |  6.5401062965393066|     16.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[-496.6324801631272, -676.9828274920583]                                        |  6.5191407203674316|     32.00000000|[21, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[-515.857984084636, -666.5433171465993]                                         |  6.5039143562316895|     64.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       7|[-520.6788978762925, -632.9212086871266]                                        |  6.4519782066345215|    128.00000000|[29, 0, 0, 7]                                                              | | GPS sucess | actual_k=0
       8|[-417.6640587039292, -579.5338032916188]                                        |  6.3641009330749512|    256.00000000|[33, 0, 0, 8]                                                              | | GPS sucess | actual_k=0
       9|[-450.1483421511948, -483.17653400450945]                                       |  6.1824498176574707|    512.00000000|[37, 0, 0, 9]                                                              | | GPS sucess | actual_k=0
      10|[-450.1483421511948, -483.17653400450945]                                       |  6.1824498176574707|    256.00000000|[41, 0, 0, 10]                                                             |  | used linear model with 5 points | actual_k=0
      11|[-385.78968431428075, -404.436925239861]                                        |  6.0054855346679688|    512.00000000|[45, 0, 0, 11]                                                             | | GPS sucess | actual_k=0
      12|[-385.78968431428075, -404.436925239861]                                        |  6.0054855346679688|    256.00000000|[49, 0, 0, 12]                                                             |  | used linear model with 5 points | actual_k=0
      13|[-385.78968431428075, -404.436925239861]                                        |  6.0054855346679688|    128.00000000|[53, 0, 0, 13]                                                             |  | used linear model with 5 points | actual_k=0
      14|[-282.05840684846044, -329.82308704406023]                                      |  5.8024010658264160|    256.00000000|[57, 0, 0, 14]                                                             | | GPS sucess | actual_k=0
      15|[-121.73138048127294, -284.1219723895192]                                       |  5.6533794403076172|    512.00000000|[61, 0, 0, 15]                                                             | | GPS sucess | actual_k=0
      16|[-62.14542772248387, -22.65026218444109]                                        |  4.6312637329101562|   1024.00000000|[65, 0, 0, 16]                                                             | | GPS sucess | actual_k=0
      17|[-62.14542772248387, -22.65026218444109]                                        |  4.6312637329101562|    512.00000000|[69, 0, 0, 17]                                                             |  | used linear model with 5 points | actual_k=0
      18|[-62.14542772248387, -22.65026218444109]                                        |  4.6312637329101562|    256.00000000|[73, 0, 0, 18]                                                             |  | used linear model with 5 points | actual_k=0
      19|[-62.14542772248387, -22.65026218444109]                                        |  4.6312637329101562|    128.00000000|[77, 0, 0, 19]                                                             |  | used linear model with 5 points | actual_k=0
      20|[-9.348316211253405, 17.935957603156567]                                        |  3.6299352645874023|    256.00000000|[81, 0, 0, 20]                                                             | | GPS sucess | actual_k=0
