k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     | 24.1999999999999957|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.1653415344655513, 1.358874350786209]                                        |  4.6887769699096680|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-1.1653415344655513, 1.358874350786209]                                        |  4.6887769699096680|      1.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[-1.1653415344655513, 1.358874350786209]                                        |  4.6887769699096680|      0.50000000|[11, 3, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[-0.9993848733603954, 0.9423624575138092]                                       |  4.3157224655151367|      1.00000000|[15, 4, 2, 6]                                                              | | GPS sucess | actual_k=1
       5|[-0.9993848733603954, 0.9423624575138092]                                       |  4.3157224655151367|      0.50000000|[18, 5, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-0.9993848733603954, 0.9423624575138092]                                       |  4.3157224655151367|      0.25000000|[22, 6, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[-0.9993848733603954, 0.9423624575138092]                                       |  4.3157224655151367|      0.12500000|[26, 7, 5, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-1.0339148238301277, 1.0332215949892998]                                       |  4.2646746635437012|      0.25000000|[30, 8, 5, 13]                                                             | | GPS sucess | actual_k=1
       9|[-0.9543954104185104, 0.9079303368926048]                                       |  3.8205258846282959|      0.50000000|[33, 9, 5, 14]                                                             | | GPS sucess | actual_k=1
      10|[-0.9543954104185104, 0.9079303368926048]                                       |  3.8205258846282959|      0.25000000|[36, 10, 6, 16]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[-0.918532957136631, 0.8105432391166687]                                        |  3.7907242774963379|      0.50000000|[40, 11, 6, 17]                                                            | | GPS sucess | actual_k=1
      12|[-0.918532957136631, 0.8105432391166687]                                        |  3.7907242774963379|      0.25000000|[43, 12, 7, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[-0.8495637968182563, 0.7588008269667625]                                       |  3.5580985546112061|      0.50000000|[47, 13, 7, 20]                                                            | | GPS sucess | actual_k=1
