k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[500.0, 0.0001]                                                                 |10780.1901639097268344|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[500.0, 0.0001]                                                                 |10780.1901639097268344|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[500.0, 0.0001]                                                                 |10780.1901639097268344|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[500.0, 0.0001]                                                                 |10780.1901639097268344|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[500.0, 0.0001]                                                                 |10780.1901639097268344|      0.06250000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[500.0, 0.0001]                                                                 |10780.1901639097268344|      0.03125000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[500.0, 0.0001]                                                                 |10780.1901639097268344|      0.01562500|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[500.0, 0.0001]                                                                 |10780.1901639097268344|      0.00781250|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[500.0, 0.0001]                                                                 |10780.1901639097268344|      0.00390625|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[499.99870436580386, 0.0003525981399231]                                        |5652.0742187500000000|      0.00781250|[36, 9, 8, 17]                                                             | | GPS sucess | actual_k=1
      10|[499.99870436580386, 0.0003525981399231]                                        |5652.0742187500000000|      0.00390625|[39, 10, 9, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[499.99870436580386, 0.0003525981399231]                                        |5652.0742187500000000|      0.00195312|[43, 11, 10, 21]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
