k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2504075169563293, 9.3890700340271, 499.7452931404114]                        |  0.7012447118759155|      2.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       2|[-0.1282219290733337, 8.192393183708191, 498.18817913532257]                    |  0.7002631425857544|      4.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       3|[0.0451552271842957, 12.024925589561462, 499.32027208805084]                    |  0.6997128129005432|      8.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       4|[0.0451552271842957, 12.024925589561462, 499.32027208805084]                    |  0.6997128129005432|      4.00000000|[33, 0, 0, 8]                                                              |  | used linear model with 5 points | actual_k=0
       5|[0.1239686608314514, 15.631999611854553, 497.5931923389435]                     |  0.6992084980010986|      8.00000000|[41, 0, 0, 10]                                                             | | GPS sucess | actual_k=0
       6|[0.1239686608314514, 15.631999611854553, 497.5931923389435]                     |  0.6992084980010986|      4.00000000|[49, 0, 0, 12]                                                             |  | used linear model with 5 points | actual_k=0
       7|[0.5859644412994385, 18.75029194355011, 495.1309144496918]                      |  0.6921901106834412|      8.00000000|[57, 0, 0, 14]                                                             | | GPS sucess | actual_k=0
       8|[0.5859644412994385, 18.75029194355011, 495.1309144496918]                      |  0.6921901106834412|      4.00000000|[65, 0, 0, 16]                                                             |  | used linear model with 5 points | actual_k=0
       9|[1.6283501386642456, 21.62321150302887, 497.71156644821167]                     |  0.6850783228874207|      8.00000000|[73, 0, 0, 18]                                                             | | GPS sucess | actual_k=0
      10|[2.0358112156391144, 26.690116047859192, 491.534152507782]                      |  0.6166594624519348|     16.00000000|[81, 0, 0, 20]                                                             | | GPS sucess | actual_k=0
      11|[2.850733369588852, 42.08805191516876, 487.26338243484497]                      |  0.5278414487838745|     32.00000000|[89, 0, 0, 22]                                                             | | GPS sucess | actual_k=0
      12|[2.850733369588852, 42.08805191516876, 487.26338243484497]                      |  0.5278414487838745|     16.00000000|[97, 0, 0, 24]                                                             |  | used linear model with 5 points | actual_k=0
      13|[4.193808048963547, 36.54947865009308, 481.6490831375122]                       |  0.4928449988365173|     32.00000000|[105, 0, 0, 26]                                                            | | GPS sucess | actual_k=0
      14|[4.193808048963547, 36.54947865009308, 481.6490831375122]                       |  0.4928449988365173|     16.00000000|[113, 0, 0, 28]                                                            |  | used linear model with 5 points | actual_k=0
      15|[5.008730202913284, 42.694618344306946, 466.8987226486206]                      |  0.4615846574306488|     32.00000000|[121, 0, 0, 30]                                                            | | GPS sucess | actual_k=0
