k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0089445002377033, -0.2006188035011292, 0.1510715186595917, 0.6297642588615417, 0.0102002723142505, 0.0057946476154029, -0.0838735550642014, 0.2483396232128143, 0.2120102494955063, -0.0997557938098907, -0.3868984580039978, -0.0900107771158218, -0.0605899281799793, 0.0855033099651337, -0.2509652674198151, -0.0715050101280212, 0.1239776015281677, -0.027799304574728, 0.225798711180687, 0.2633311450481415, -0.0623745732009411, 0.055861659348011]| 13.9459905624389648|      2.00000000|[260, 17, 0, 18]                                                           | | GPS sucess | actual_k=1
       2|[0.7799610979855061, -0.2370444983243942, -0.0186953246593475, 1.3847214579582214, 0.2045315904542804, 0.3279892834834754, -0.2640954852104187, 0.3419364094734192, 0.1627475135028362, -0.6033407151699066, -0.3262106776237488, -0.4007890075445175, -0.4031696803867817, -0.723360687494278, 0.0983954071998596, 0.3700242638587952, -0.4011631011962891, -0.4580862484872341, 0.067102387547493, 0.1009747087955475, 0.3619362898170948, 0.2922690287232399]| 12.5445766448974609|      4.00000000|[519, 34, 0, 36]                                                           | | GPS sucess | actual_k=1
       3|[0.3476408906280994, -1.2936907261610031, 1.3119254410266876, 2.7433387637138367, -0.067942519672215, 1.6818077000789344, 0.2784959077835083, -0.1669434309005737, -0.0836523212492466, -1.1497486531734467, 0.3030883073806763, 0.0899469703435898, -0.4422410912811756, 0.0831374228000641, -1.5060368180274963, 1.462556540966034, -0.0229514837265015, 0.0442695654928684, 0.3863966912031174, 0.6307735741138458, -0.2614235691726208, 0.8752926960587502]| 12.1406974792480469|      8.00000000|[778, 51, 0, 54]                                                           | | GPS sucess | actual_k=1
       4|[-0.9390262179076672, -2.2140514701604843, 1.9589419662952423, 3.7548040747642517, -2.915131230838597, 2.998222533147782, -2.1942721605300903, 2.2050522565841675, -1.4624711908400059, -2.3343962132930756, 2.735610604286194, 0.67585389316082, 1.003382783383131, 0.8166788518428802, 0.8201276659965515, 2.6300938725471497, 0.3559547960758209, 1.973098162561655, 0.2747315093874931, 1.3927715122699738, -2.4861399941146374, -2.200013242661953]| 12.1375160217285156|     16.00000000|[1037, 68, 0, 72]                                                          | | GPS sucess | actual_k=1
       5|[-5.766802649945021, 3.2504179626703262, 7.097300559282303, 6.205445468425751, 3.600169043056667, 4.498719516675919, -2.5501495003700256, 1.5965378284454346, -6.090488139539957, -2.96457102894783, 3.0752730071544647, -4.0626047402620316, 0.4212056212127209, -1.5169300138950348, -3.3709409832954407, 1.9632661938667297, 1.2199307978153229, -0.011792179197073, 2.1324218437075615, 5.078522711992264, 2.053338784724474, -3.2257227525115013]| 12.1285133361816406|     32.00000000|[1296, 85, 0, 90]                                                          | | GPS sucess | actual_k=1
       6|[-19.827391486614943, 2.9594492465257645, 9.799414426088333, 16.730603396892548, -3.968717713840306, 5.487995448987931, -6.6372180581092834, -4.002619504928589, -15.37638920918107, -7.440445452928543, -5.468127757310867, 2.257051631808281, 1.1437952928245068, -2.8305661976337433, -8.21067363023758, 5.544438898563385, 7.49661985039711, -3.2267451249063015, 8.87247883528471, 11.932239085435867, 10.190800447016954, -3.2327209152281284]| 12.0953884124755859|     64.00000000|[1554, 103, 0, 108]                                                        | | GPS sucess | actual_k=1
       7|[-24.502396445721388, -6.158858820796013, 21.345890790224075, 19.089769065380096, -3.8027581023052335, 5.027730736415833, 27.1417698264122, -8.212101697921753, 2.867923077195883, -11.959087878465652, -18.923114329576492, -18.995155170559883, 4.7508786134421825, 2.2051770389080048, -30.731633484363556, 12.361859858036041, 9.635115534067154, -9.844624515622854, 7.90059607475996, 18.767503291368484, 17.545573491603136, -0.6139910854399204]| 12.0750398635864258|    128.00000000|[1813, 120, 0, 126]                                                        | | GPS sucess | actual_k=1
       8|[-24.502396445721388, -6.158858820796013, 21.345890790224075, 19.089769065380096, -3.8027581023052335, 5.027730736415833, 27.1417698264122, -8.212101697921753, 2.867923077195883, -11.959087878465652, -18.923114329576492, -18.995155170559883, 4.7508786134421825, 2.2051770389080048, -30.731633484363556, 12.361859858036041, 9.635115534067154, -9.844624515622854, 7.90059607475996, 18.767503291368484, 17.545573491603136, -0.6139910854399204]| 12.0750398635864258|     64.00000000|[2072, 137, 0, 144]                                                        |  | used quadratic model with 277 points | actual_k=1
       9|[-32.24721608683467, -12.7341318577528, 28.817055493593216, 24.288951098918915, 15.401057357899845, 25.39156511751935, 19.909541070461273, -15.309011220932007, 4.043944176286459, 0.5666556060314178, -14.586009532213211, 4.154464885592461, 11.06808976456523, 12.281419485807419, -24.178732693195343, 9.490728914737701, 9.955327838659286, -26.877575870603323, -11.96960885077715, 10.837928801774979, 8.019528646022081, -23.818155590444803]| 12.0509023666381836|    128.00000000|[2331, 154, 0, 162]                                                        | | GPS sucess | actual_k=1
      10|[-32.24721608683467, -12.7341318577528, 28.817055493593216, 24.288951098918915, 15.401057357899845, 25.39156511751935, 19.909541070461273, -15.309011220932007, 4.043944176286459, 0.5666556060314178, -14.586009532213211, 4.154464885592461, 11.06808976456523, 12.281419485807419, -24.178732693195343, 9.490728914737701, 9.955327838659286, -26.877575870603323, -11.96960885077715, 10.837928801774979, 8.019528646022081, -23.818155590444803]| 12.0509023666381836|     64.00000000|[2590, 171, 0, 180]                                                        |  | used quadratic model with 277 points | actual_k=1
      11|[-40.558963637799025, -24.67869572341442, 27.80482330918312, 31.575895488262177, 38.85063087474555, 31.933914932888, 22.19530314207077, 12.411463022232056, 1.682242926210165, -8.45383408665657, -32.02817299962044, -7.41633303463459, 9.736652057617903, 22.318157881498337, -26.397399723529816, 23.239953577518463, -18.395925670862198, -38.383742328733206, -14.032450266182423, 12.702633529901505, 17.4948017783463, -20.18400365486741]| 12.0338068008422852|    128.00000000|[2849, 188, 0, 198]                                                        | | GPS sucess | actual_k=1
