k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.03619996085763, 1.9546851702034473, 2.0603362545371056, 1.5121560096740723, 0.6198368787765502]|4536.5834960937500000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[19.161575946956873, 3.167147595435381, 1.4249451979994774, 1.422269344329834, 0.3699614524841308]|4238.4658203125000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      4.00000000|[74, 5, 0, 5]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      2.00000000|[102, 7, 0, 7]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      1.00000000|[130, 9, 0, 9]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.50000000|[159, 11, 0, 11]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.25000000|[187, 13, 0, 13]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.12500000|[214, 15, 0, 15]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      10|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.06250000|[242, 17, 0, 17]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      11|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.03125000|[269, 19, 0, 19]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      12|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.01562500|[296, 21, 0, 21]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      13|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00781250|[323, 23, 0, 23]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      14|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00390625|[350, 25, 0, 25]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      15|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00195312|[377, 27, 0, 27]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      16|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00097656|[404, 29, 0, 29]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      17|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00048828|[431, 31, 0, 31]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      18|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00024414|[459, 33, 0, 33]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      19|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00012207|[486, 35, 0, 35]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      20|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00006104|[514, 37, 0, 37]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      21|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00003052|[541, 39, 0, 39]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      22|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00001526|[568, 41, 0, 41]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      23|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00000763|[595, 43, 0, 43]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      24|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00000381|[622, 45, 0, 45]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      25|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00000191|[649, 47, 0, 47]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      26|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00000095|[676, 49, 0, 49]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      27|[18.39038697257638, -0.1561186723411083, -0.0327053442597389, 1.5418452247977257, -1.1083932399749756]|-100000002004087734272.0000000000000000|      0.00000048|[703, 51, 0, 51]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
