k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.7074766159057617, -0.6691318392753601]                                       | 36.3913536071777344|      2.00000000|[3, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[2.211038827896118, -1.494686448574066]                                         | 15.2258052825927734|      4.00000000|[5, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[2.211038827896118, -1.494686448574066]                                         | 15.2258052825927734|      2.00000000|[7, 3, 1, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       4|[2.211038827896118, -1.494686448574066]                                         | 15.2258052825927734|      1.00000000|[11, 3, 2, 6]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       5|[1.2523424287791414, -1.210255060854387]                                        |  3.3290025043486389|      2.00000000|[14, 4, 3, 8]                                                              |  | used linear model with 4 points | iterate success | actual_k=1
       6|[1.2523424287791414, -1.210255060854387]                                        |  3.3290025043486389|      1.00000000|[17, 5, 4, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       7|[0.9603872557635469, -1.3853679788736817]                                       |  2.9888482093811035|      2.00000000|[20, 6, 4, 11]                                                             | | GPS sucess | actual_k=1
       8|[0.9603872557635469, -1.3853679788736817]                                       |  2.9888482093811035|      1.00000000|[22, 7, 5, 13]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       9|[0.6692911644931001, -1.353872031482887]                                        |  2.3212916851043701|      2.00000000|[25, 8, 5, 14]                                                             | | GPS sucess | actual_k=1
      10|[0.855778004741208, -1.1381071364013668]                                        |  1.8562064170837402|      4.00000000|[27, 9, 5, 15]                                                             | | GPS sucess | actual_k=1
      11|[0.855778004741208, -1.1381071364013668]                                        |  1.8562064170837402|      2.00000000|[29, 10, 6, 17]                                                            |  | used linear model with 4 points | iterate failure | actual_k=1
      12|[0.855778004741208, -1.1381071364013668]                                        |  1.8562064170837402|      1.00000000|[32, 11, 7, 19]                                                            |  | used linear model with 4 points | iterate failure | actual_k=1
      13|[0.7375991975422067, -0.7492520963279721]                                       |  1.2939580678939819|      2.00000000|[35, 12, 7, 20]                                                            | | GPS sucess | actual_k=1
