k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 2.0]                                                                      |  2.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9607943296432495, 1.7227377891540527]                                        | -0.4730990827083588|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-2.661436438560486, 3.419630527496338]                                         | -4.0126824378967285|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-5.691355586051941, 6.031064987182617]                                         |-140.9660186767578125|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[-14.577001452445984, -7.274772644042969]                                       |-2984.2492675781250000|     16.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[-26.67164409160614, 22.3515625]                                                |-18436.6796875000000000|     32.00000000|[21, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[-56.81010615825653, 33.10670280456543]                                         |-182146.0000000000000000|     64.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       7|[-140.01528346538544, -64.16045570373535]                                       |-2740231.7500000000000000|    128.00000000|[29, 0, 0, 7]                                                              | | GPS sucess | actual_k=0
       8|[-244.96796596050262, 9.11256217956543]                                         |-14699556.0000000000000000|    256.00000000|[33, 0, 0, 8]                                                              | | GPS sucess | actual_k=0
       9|[-490.6298922300339, 81.1280345916748]                                          |-118095400.0000000000000000|    512.00000000|[37, 0, 0, 9]                                                              | | GPS sucess | actual_k=0
      10|[-1333.7005099058151, 662.340497970581]                                         |-2371887872.0000000000000000|   1024.00000000|[41, 0, 0, 10]                                                             | | GPS sucess | actual_k=0
      11|[-2325.3349093198776, 917.7565441131592]                                        |-12572662784.0000000000000000|   2048.00000000|[45, 0, 0, 11]                                                             | | GPS sucess | actual_k=0
      12|[-4290.034616351128, 1495.9080333709717]                                        |-78953250816.0000000000000000|   4096.00000000|[49, 0, 0, 12]                                                             | | GPS sucess | actual_k=0
      13|[-9112.182077288628, 8118.276197433472]                                         |-756535525376.0000000000000000|   8192.00000000|[53, 0, 0, 13]                                                             | | GPS sucess | actual_k=0
      14|[-16095.673288226128, 22939.42072868347]                                        |-4169391144960.0000000000000000|  16384.00000000|[57, 0, 0, 14]                                                             | | GPS sucess | actual_k=0
      15|[-32427.825631976128, 21637.02912712097]                                        |-34099460833280.0000000000000000|  32768.00000000|[61, 0, 0, 15]                                                             | | GPS sucess | actual_k=0
      16|[-71329.42328822613, -31104.15837287903]                                        |-362915039281152.0000000000000000|  65536.00000000|[65, 0, 0, 16]                                                             | | GPS sucess | actual_k=0
      17|[-128795.72406947613, -62609.58220100403]                                       |-2136503161454592.0000000000000000| 131072.00000000|[69, 0, 0, 17]                                                             | | GPS sucess | actual_k=0
      18|[-205121.20063197613, -169166.10563850403]                                      |-8630385667735552.0000000000000000| 262144.00000000|[73, 0, 0, 18]                                                             | | GPS sucess | actual_k=0
      19|[-709414.9193819761, -312573.746263504]                                         |-357026818701656064.0000000000000000| 524288.00000000|[77, 0, 0, 19]                                                             | | GPS sucess | actual_k=0
      20|[-1306447.7318819761, 549437.503736496]                                         |-2229852049766350848.0000000000000000|1048576.00000000|[81, 0, 0, 20]                                                             | | GPS sucess | actual_k=0
