k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.19300049543381, 149.42056196928024, -101.72054326534271, 1.151291474699974, 2.1727566570043564]|84712.5078125000000000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[46.719840466976166, 148.89188426733017, -104.39336955547333, 2.6157035678625107, 2.734429344534874]|76162.6171875000000000|      4.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       3|[44.23596614599228, 150.37288564443588, -106.88468730449677, 1.6728426069021225, 3.4701955765485764]|68412.9453125000000000|      8.00000000|[43, 6, 0, 3]                                                              | | GPS sucess | actual_k=2
       4|[33.55658382177353, 160.1764468550682, -106.6044505238533, 0.6554895490407944, 10.15805272758007]|42166.5273437500000000|     16.00000000|[57, 8, 0, 4]                                                              | | GPS sucess | actual_k=2
       5|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|     32.00000000|[71, 10, 0, 5]                                                             | | GPS sucess | actual_k=2
       6|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|     16.00000000|[98, 14, 0, 7]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      8.00000000|[124, 18, 0, 9]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      4.00000000|[150, 22, 0, 11]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      2.00000000|[176, 26, 0, 13]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      1.00000000|[202, 30, 0, 15]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.50000000|[228, 34, 0, 17]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.25000000|[253, 38, 0, 19]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.12500000|[278, 42, 0, 21]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      14|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.06250000|[304, 46, 0, 23]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      15|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.03125000|[329, 50, 0, 25]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      16|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.01562500|[354, 54, 0, 27]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      17|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.00781250|[379, 58, 0, 29]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      18|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.00390625|[405, 62, 0, 31]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      19|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.00195312|[430, 66, 0, 33]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      20|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.00097656|[455, 70, 0, 35]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      21|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.00048828|[480, 74, 0, 37]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      22|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.00024414|[505, 78, 0, 39]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      23|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.00012207|[530, 82, 0, 41]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      24|[35.57466524839401, 185.10162538290024, -106.13656362891197, -2.658495083451271, -9.525987342000008]|-100000002004087734272.0000000000000000|      0.00006104|[555, 86, 0, 43]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
