k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.1, 0.1]                                                                      |48401.1000000000858563|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1, 0.1]                                                                      |48401.1000000000858563|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[1.0156939163804055, 0.0902518512681127]                                        |1583.4266357421875000|      1.00000000|[8, 2, 1, 3]                                                               | | GPS sucess | actual_k=1
       3|[1.0156939163804055, 0.0902518512681127]                                        |1583.4266357421875000|      0.50000000|[11, 3, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.0156939163804055, 0.0902518512681127]                                        |1583.4266357421875000|      0.25000000|[15, 4, 3, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[1.0156939163804055, 0.0902518512681127]                                        |1583.4266357421875000|      0.12500000|[19, 5, 4, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.0156939163804055, 0.0902518512681127]                                        |1583.4266357421875000|      0.06250000|[23, 6, 5, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[1.0103157948702575, 0.1135841304436326]                                        |1132.6168212890625000|      0.12500000|[27, 7, 5, 12]                                                             | | GPS sucess | actual_k=1
       8|[0.992020557075739, 0.2217313567176461]                                         |1107.8569335937500000|      0.25000000|[30, 8, 5, 13]                                                             | | GPS sucess | actual_k=1
       9|[0.992020557075739, 0.2217313567176461]                                         |1107.8569335937500000|      0.12500000|[33, 9, 6, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.973309750109911, 0.2309114098548889]                                         |  1.3983470201492310|      0.25000000|[37, 10, 6, 16]                                                            | | GPS sucess | actual_k=1
      11|[0.973309750109911, 0.2309114098548889]                                         |  1.3983470201492310|      0.12500000|[40, 11, 7, 18]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.973309750109911, 0.2309114098548889]                                         |  1.3983470201492310|      0.06250000|[44, 12, 8, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
