k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[19.686373502016068, 1.4961149096488953, 1.5046062171459198, 1.57985520362854, 0.6751858413219451]|6820.9990234375000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[19.686373502016068, 1.4961149096488953, 1.5046062171459198, 1.57985520362854, 0.6751858413219451]|6820.9990234375000000|      1.00000000|[44, 3, 0, 3]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[20.069606453180313, 1.7811616957187653, 1.5788448825478554, 1.4862675666809082, 0.7624258667230606]|6503.1640625000000000|      2.00000000|[59, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       4|[20.069606453180313, 1.7811616957187653, 1.5788448825478554, 1.4862675666809082, 0.7624258667230606]|6503.1640625000000000|      1.00000000|[87, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[19.855173408985138, 1.6721626967191696, 1.752427227795124, 1.8111458718776703, 0.5248107731342315]|5905.2954101562500000|      2.00000000|[102, 7, 0, 7]                                                             | | GPS sucess | actual_k=1
       6|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      4.00000000|[117, 8, 0, 8]                                                             | | GPS sucess | actual_k=1
       7|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      2.00000000|[145, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      1.00000000|[173, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.50000000|[201, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.25000000|[229, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.12500000|[257, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.06250000|[284, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      13|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.03125000|[311, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      14|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.01562500|[338, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      15|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.00781250|[365, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      16|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.00390625|[393, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      17|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.00195312|[420, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      18|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.00097656|[448, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      19|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.00048828|[476, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      20|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.00024414|[503, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      21|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.00012207|[531, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      22|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.00006104|[558, 40, 0, 40]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      23|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.00003052|[585, 42, 0, 42]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      24|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.00001526|[612, 44, 0, 44]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      25|[19.68990533053875, -0.2692631036043167, 2.48787010461092, 4.494029849767685, -1.5881989181041718]|-100000002004087734272.0000000000000000|      0.00000763|[639, 46, 0, 46]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
