k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-5.0, -7.0]                                                                    |700.8468104237188072|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-5.571463525295258, -6.179372549057007]                                        |634.4119262695312500|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-3.5715394616127014, -6.196787295863032]                                       |620.3605957031250000|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-1.809227168560028, -2.6059300284832716]                                       |261.6886291503906250|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[-1.809227168560028, -2.6059300284832716]                                       |261.6886291503906250|      4.00000000|[17, 0, 1, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.7970514893531799, 0.4284251350909472]                                        |130.8347930908203125|      8.00000000|[22, 0, 1, 6]                                                              | | GPS sucess | actual_k=0
       6|[0.7970514893531799, 0.4284251350909472]                                        |130.8347930908203125|      4.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.7970514893531799, 0.4284251350909472]                                        |130.8347930908203125|      2.00000000|[31, 0, 3, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.7970514893531799, 0.4284251350909472]                                        |130.8347930908203125|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[-0.187477171421051, 0.6036483962088823]                                        |107.1274490356445312|      2.00000000|[41, 0, 4, 13]                                                             | | GPS sucess | actual_k=0
      10|[-0.187477171421051, 0.6036483962088823]                                        |107.1274490356445312|      1.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.4095154404640198, -0.1985983531922102]                                       |103.8543014526367188|      2.00000000|[50, 0, 5, 16]                                                             | | GPS sucess | actual_k=0
      12|[0.4095154404640198, -0.1985983531922102]                                       |103.8543014526367188|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[-0.5798912644386292, -0.343768460676074]                                       | 94.8962173461914062|      2.00000000|[59, 0, 6, 19]                                                             | | GPS sucess | actual_k=0
      14|[-0.5798912644386292, -0.343768460676074]                                       | 94.8962173461914062|      1.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
