k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.3, 0.4]                                                                      |4171.3061619604923180|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.6619743824005127, 0.1268602848052979]                                       |1416.9283447265625000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-0.6619743824005127, 0.1268602848052979]                                       |1416.9283447265625000|      1.00000000|[8, 2, 1, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[-0.6619743824005127, 0.1268602848052979]                                       |1416.9283447265625000|      0.50000000|[13, 3, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[-0.6619743824005127, 0.1268602848052979]                                       |1416.9283447265625000|      0.25000000|[18, 4, 3, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[-0.4981389313936233, 0.3156933873891831]                                       |275.9831848144531250|      0.50000000|[22, 5, 3, 11]                                                             | | GPS sucess | actual_k=1
       6|[-0.4981389313936233, 0.3156933873891831]                                       |275.9831848144531250|      0.25000000|[25, 7, 4, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[-0.4981389313936233, 0.3156933873891831]                                       |275.9831848144531250|      0.12500000|[30, 8, 5, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-0.3735037565231323, 0.325236564129591]                                        |246.7071838378906250|      0.25000000|[34, 9, 5, 18]                                                             | | GPS sucess | actual_k=1
       9|[-0.3735037565231323, 0.325236564129591]                                        |246.7071838378906250|      0.12500000|[38, 10, 6, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
