k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2567014396190643, -0.2381791025400162, 0.0775000751018524, 0.5635694265365601, 0.1181929185986519, 0.1289749145507812, 0.047802671790123, -0.0286942943930626, -0.0770518854260445, 0.1147418394684792, -0.2199789434671402, 0.2921493649482727, 0.081522524356842, -0.1399807035923004, -0.1958563774824142, -0.0959752574563026, 0.1172711998224258, -0.2612333595752716, 0.1476252824068069, -0.1484391987323761, -0.0638501420617104, 0.1255245506763458]| 13.7883796691894531|      2.00000000|[211, 69, 0, 18]                                                           | | GPS sucess | actual_k=4
       2|[0.4973001927137375, -0.3532483205199242, 0.8384785354137421, 1.6656653881072998, -0.197416178882122, -0.1781815588474274, -0.1352006644010544, 0.0929372608661652, 0.2871183082461357, 0.070706345140934, 0.1617525368928909, 0.2789638042449951, -0.2724094092845917, 0.1156398952007294, -0.4265018999576569, -0.2440376058220863, 0.411826029419899, -0.5342230200767517, -0.2967539876699448, -0.3650302290916443, -0.4435009434819221, 0.0769207552075386]| 12.4192895889282227|      4.00000000|[419, 140, 0, 36]                                                          | | GPS sucess | actual_k=4
       3|[-0.0554766803979874, -0.9768206104636192, 0.6574476063251495, 3.140458583831787, -0.258131742477417, -0.4760178327560425, 0.938473179936409, -0.178284078836441, 1.3372716829180717, -0.5287607535719872, -0.4650899618864059, 0.4914661198854446, -0.3931852802634239, 1.8979624211788177, -0.8522756695747375, -0.2708311975002289, 0.2876499965786934, 0.8063240647315979, -0.3787883594632149, -0.6867588758468628, 1.2731632515788078, 0.4811104908585548]| 12.1401243209838867|      8.00000000|[628, 210, 0, 54]                                                          | | GPS sucess | actual_k=4
       4|[-1.4541444927453995, -3.542967699468136, 1.1501367688179016, 4.3680843114852905, 1.0082701444625854, -1.9350285530090332, 2.5858225375413895, 0.7482899129390717, 0.9089053198695183, -0.4636082500219345, 1.063976839184761, -0.621637150645256, -0.2784688472747803, -0.3003357946872711, -1.9146940112113953, 3.5654751360416412, -0.6829858347773552, -2.121881663799286, 1.0877884551882744, -1.9178574085235596, -0.5222591832280159, 0.392733670771122]| 12.1350336074829102|     16.00000000|[836, 281, 0, 72]                                                          | | GPS sucess | actual_k=4
       5|[-6.103747859597206, 0.2001257911324501, -1.0706669688224792, 8.083837389945984, 2.2863844633102417, -0.8949803113937378, -1.777239367365837, 1.643217533826828, -3.3844663575291634, -2.7798950523138046, 2.2336525470018387, 0.823101356625557, 3.688478946685791, -2.2123447954654694, 3.5330598950386047, 5.133780390024185, 1.531607337296009, -1.4897521138191223, 1.3418164178729057, -7.865123510360718, -3.254714675247669, 2.3007392659783363]| 12.1269359588623047|     32.00000000|[1046, 350, 0, 90]                                                         | | GPS sucess | actual_k=4
       6|[-14.030380740761757, -5.984402559697628, 3.9337413907051086, 14.142914652824402, -3.3566900491714478, 13.577805638313293, -6.928213641047478, 5.153766840696335, -11.420738406479359, -9.085983976721764, 2.9030243307352066, 2.7117255479097366, 12.991976261138916, 8.809376090765, 2.692599356174469, 7.592925935983658, 1.7897193506360054, -0.0457983613014221, 6.9925937578082085, -4.452138662338257, -15.203597731888294, 6.140545345842838]| 12.1234312057495117|     64.00000000|[1255, 420, 0, 108]                                                        | | GPS sucess | actual_k=4
       7|[-23.33866836130619, -15.47640886157751, 24.20481950044632, 18.394524931907654, 16.750295042991638, 18.071399331092834, 23.198260739445686, -13.10109880566597, -12.673526473343372, -2.607569918036461, -1.816574439406395, 11.451439216732979, 5.855081081390381, -12.899963051080704, 19.9351664185524, 16.182695299386978, 7.297491796314716, 20.194283425807953, -6.441050536930561, -1.0165374279022217, -4.324908919632435, 12.081768967211246]| 12.0741691589355469|    128.00000000|[1465, 489, 0, 126]                                                        | | GPS sucess | actual_k=4
       8|[-31.7730822712183, -52.74709977954626, 21.288749754428864, 27.606035590171814, -2.496601700782776, 27.927938103675842, 14.610689595341682, -10.277446776628494, -54.133414931595325, 9.32051445543766, -23.3071578592062, 73.28646881878376, 40.13832998275757, -5.735178619623184, 5.415798246860504, -28.451475232839584, 8.687055952847004, 30.424189507961273, 28.72899340838194, 3.173818349838257, 10.781010918319225, -41.47914793342352]| 12.0498771667480469|    256.00000000|[1673, 560, 0, 144]                                                        | | GPS sucess | actual_k=4
       9|[-31.7730822712183, -52.74709977954626, 21.288749754428864, 27.606035590171814, -2.496601700782776, 27.927938103675842, 14.610689595341682, -10.277446776628494, -54.133414931595325, 9.32051445543766, -23.3071578592062, 73.28646881878376, 40.13832998275757, -5.735178619623184, 5.415798246860504, -28.451475232839584, 8.687055952847004, 30.424189507961273, 28.72899340838194, 3.173818349838257, 10.781010918319225, -41.47914793342352]| 12.0498771667480469|    128.00000000|[1882, 630, 0, 162]                                                        |  | used quadratic model with 280 points | actual_k=4
      10|[-41.098788753151894, -82.78863420337439, -4.81400865316391, 41.55013692378998, 19.851497054100037, 43.31153452396393, 2.510999158024788, -63.626079589128494, -51.55749125033617, -28.43661902844906, 21.336499825119972, 76.25030453503132, 61.31218671798706, 14.019109100103378, -50.77732461690903, 2.1483687460422516, -0.8330074474215508, 14.343157708644867, 43.25770377367735, 10.367295980453491, -27.83084363490343, -32.33615496009588]| 11.9981174468994141|    256.00000000|[2092, 699, 0, 180]                                                        | | GPS sucess | actual_k=4
      11|[-155.47646667063236, -140.0808590874076, 19.900131285190582, 131.76317250728607, -35.65945494174957, -43.39022481441498, 28.912414029240608, -28.248958617448807, -67.96455759555101, -126.07996009290218, 25.839827194809914, 53.02157910168171, 93.14088582992554, -46.41471353173256, -104.63698953390121, 18.449092775583267, -39.888049714267254, -27.61494928598404, 47.87480353564024, 26.740194082260132, -50.57816381007433, 33.58903882652521]| 11.8966350555419922|    512.00000000|[2301, 769, 0, 198]                                                        | | GPS sucess | actual_k=4
      12|[-182.38543654978275, -52.537318132817745, -34.04868310689926, 155.39383733272552, -9.237875580787659, -65.04493367671967, 137.52590890228748, 27.22658535838127, -49.67112726718187, -110.93798469007015, 188.79809440672398, 101.39092953503132, -134.87609720230103, -140.1993433535099, -163.2923430800438, 249.45435705780983, -81.97171365469694, -190.93529230356216, 46.571672432124615, 218.70995116233826, -110.599873252213, -99.45631029456854]| 11.6949224472045898|   1024.00000000|[2509, 840, 0, 216]                                                        | | GPS sucess | actual_k=4
      13|[-182.38543654978275, -52.537318132817745, -34.04868310689926, 155.39383733272552, -9.237875580787659, -65.04493367671967, 137.52590890228748, 27.22658535838127, -49.67112726718187, -110.93798469007015, 188.79809440672398, 101.39092953503132, -134.87609720230103, -140.1993433535099, -163.2923430800438, 249.45435705780983, -81.97171365469694, -190.93529230356216, 46.571672432124615, 218.70995116233826, -110.599873252213, -99.45631029456854]| 11.6949224472045898|    512.00000000|[2718, 910, 0, 234]                                                        |  | used quadratic model with 280 points | actual_k=4
