k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2264535427093506, -0.1507677137851715, 0.2765819132328033, 0.3472232520580292, -0.1569239348173141, 0.1446094214916229, -0.2106930762529373, 0.2439674437046051, 0.2148453593254089, -0.0864237248897552, -0.0583462454378605, -0.1453081518411636, -0.1792280822992325, -0.227662518620491, 0.2583757042884827, 0.1637926697731018, 0.4663691520690918, 0.1235683560371399, 0.2138165831565857, 0.1569401919841766, 0.1122697219252586, 0.089837521314621]| 14.0737276077270508|      2.00000000|[65, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[0.9260206818580627, 0.6416837275028229, 0.8403954803943634, 0.8944731652736664, -0.3334021121263504, -0.2044229209423065, -0.6081155091524124, 1.2192007005214691, -0.1884820759296417, 0.1242077052593231, 0.2210832498967648, -0.1897132024168968, -0.240852277725935, -0.0028636753559113, 0.014169454574585, -0.4896910786628723, 0.593658909201622, 0.0107637047767639, 0.1896609682589769, 0.4162868857383728, 0.3790962025523186, 0.0050042420625687]| 12.6672582626342773|      4.00000000|[129, 0, 0, 2]                                                             | | GPS sucess | actual_k=0
       3|[0.5313172936439514, 0.9841514229774475, 0.396977573633194, 2.5358628928661346, 1.0667088478803635, -0.1889409394934773, -0.2683425098657608, 1.2334906291216612, 0.9930011928081512, 0.5400581061840057, -1.1490036584436893, 0.6589505448937416, -0.9682840518653393, 1.2352199256420135, 1.1632832288742065, -1.2304697036743164, 0.6304252929985523, -0.3889830410480499, 0.087745213881135, 0.8833723366260529, -0.2715854123234749, -1.3549329489469528]| 12.1444988250732422|      8.00000000|[193, 0, 0, 3]                                                             | | GPS sucess | actual_k=0
       4|[-1.5990652441978455, -1.0275763869285583, -0.3258369266986847, 4.531827062368393, 3.891078755259514, 2.040951075963676, -1.062679186463356, 2.4379634093493223, 0.2718999087810516, -1.551372081041336, -5.18635955825448, 4.1182868257164955, -0.5106886141002178, 1.1228232234716415, 1.999674677848816, -0.3525275588035583, 0.1940117664635181, 0.2123918831348419, 0.7199350241571665, 0.9207551442086697, -0.0650363340973854, -1.1894937455654144]| 12.1364755630493164|     16.00000000|[257, 0, 0, 4]                                                             | | GPS sucess | actual_k=0
       5|[-1.5990652441978455, -1.0275763869285583, -0.3258369266986847, 4.531827062368393, 3.891078755259514, 2.040951075963676, -1.062679186463356, 2.4379634093493223, 0.2718999087810516, -1.551372081041336, -5.18635955825448, 4.1182868257164955, -0.5106886141002178, 1.1228232234716415, 1.999674677848816, -0.3525275588035583, 0.1940117664635181, 0.2123918831348419, 0.7199350241571665, 0.9207551442086697, -0.0650363340973854, -1.1894937455654144]| 12.1364755630493164|      8.00000000|[321, 0, 0, 5]                                                             |  | used linear model with 65 points | actual_k=0
       6|[-1.5990652441978455, -1.0275763869285583, -0.3258369266986847, 4.531827062368393, 3.891078755259514, 2.040951075963676, -1.062679186463356, 2.4379634093493223, 0.2718999087810516, -1.551372081041336, -5.18635955825448, 4.1182868257164955, -0.5106886141002178, 1.1228232234716415, 1.999674677848816, -0.3525275588035583, 0.1940117664635181, 0.2123918831348419, 0.7199350241571665, 0.9207551442086697, -0.0650363340973854, -1.1894937455654144]| 12.1364755630493164|      4.00000000|[385, 0, 0, 6]                                                             |  | used linear model with 65 points | actual_k=0
       7|[-1.3526687026023865, -2.518662989139557, -0.3803540244698524, 4.459317065775394, 2.5957003086805344, 1.8150032637640834, -0.9721807166934013, 2.9490481447428465, -0.1896321475505829, 0.3841492831707001, -6.4640615321695805, 4.407107003033161, -0.3721669279038906, 1.4219840615987778, 2.037069860845804, -1.0764923095703125, 0.2073128120973706, 1.5113238394260406, 1.3486504796892405, 1.8982081972062588, 1.3121914491057396, -0.5075800120830536]| 12.1360044479370117|      8.00000000|[449, 0, 0, 7]                                                             | | GPS sucess | actual_k=0
       8|[-2.491271436214447, -3.8283273577690125, 0.2624014243483543, 5.280896760523319, -0.5949434787034988, 1.4482692060992122, -2.3033029958605766, 1.0544341634958982, -1.8577768504619598, 4.7059266269207, -3.7653642036020756, 5.668444640934467, -1.2765943966805935, 0.9929734915494919, 1.7048976756632328, -1.6268870830535889, -0.0699631674215198, -0.6400516927242279, 1.3113025594502687, -0.6347200311720371, 2.2906108126044273, 0.120629757642746]| 12.1328086853027344|     16.00000000|[513, 0, 0, 8]                                                             | | GPS sucess | actual_k=0
       9|[-4.855506122112274, -8.313473880290985, 3.496704898774624, 6.959758140146732, -1.556866779923439, 5.557004290632904, -3.905903212726116, 1.9587960671633482, 1.9637332260608673, -2.4113095104694366, -6.9268725253641605, 5.592513129115105, 1.3625884093344212, 4.392269536852837, -0.1273038052022457, -2.5032368898391724, -8.320864389650524, -1.406065970659256, 1.187660338357091, 4.011238869279623, 4.996624015271664, 0.6943755447864532]| 12.1234474182128906|     32.00000000|[577, 0, 0, 9]                                                             | | GPS sucess | actual_k=0
      10|[-4.855506122112274, -8.313473880290985, 3.496704898774624, 6.959758140146732, -1.556866779923439, 5.557004290632904, -3.905903212726116, 1.9587960671633482, 1.9637332260608673, -2.4113095104694366, -6.9268725253641605, 5.592513129115105, 1.3625884093344212, 4.392269536852837, -0.1273038052022457, -2.5032368898391724, -8.320864389650524, -1.406065970659256, 1.187660338357091, 4.011238869279623, 4.996624015271664, 0.6943755447864532]| 12.1234474182128906|     16.00000000|[641, 0, 0, 10]                                                            |  | used linear model with 65 points | actual_k=0
      11|[-10.086210906505585, -7.157190382480621, 5.2183873280882835, 10.791629411280155, -0.4005487114191055, 5.5330472169443965, -3.9565436094999313, 8.651743931695819, -1.143593043088913, -3.4447331726551056, -1.0059602595865726, 0.3490577191114426, -1.2563235722482204, 3.9096967428922653, 1.3514771796762943, -6.0954519510269165, -2.6191994650289416, -2.444996267557144, 0.8996497709304094, 3.312381263822317, 2.1374781355261803, 5.7666745483875275]| 12.1176586151123047|     32.00000000|[705, 0, 0, 11]                                                            | | GPS sucess | actual_k=0
