k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0]                                                                    | 17.1523467319888496|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.280174255371094, 10.195839568972588]                                         | 15.2193880081176758|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[8.804079502820969, 9.907947942614555]                                          | 14.2540416717529297|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[8.804079502820969, 9.907947942614555]                                          | 14.2540416717529297|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[8.804079502820969, 9.907947942614555]                                          | 14.2540416717529297|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[8.804079502820969, 9.907947942614555]                                          | 14.2540416717529297|      0.50000000|[23, 0, 2, 7]                                                              |  | used linear model with 5 points | actual_k=0
       6|[8.804079502820969, 9.907947942614555]                                          | 14.2540416717529297|      0.25000000|[27, 0, 3, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[8.804079502820969, 9.907947942614555]                                          | 14.2540416717529297|      0.12500000|[32, 0, 4, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[8.877872101962566, 9.881403485313058]                                          | 14.2519235610961914|      0.25000000|[37, 0, 4, 12]                                                             | | GPS sucess | actual_k=0
       9|[8.877872101962566, 9.881403485313058]                                          | 14.2519235610961914|      0.12500000|[41, 0, 5, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[8.937814068049192, 9.802722895517945]                                          | 14.2426271438598633|      0.25000000|[46, 0, 5, 15]                                                             | | GPS sucess | actual_k=0
      11|[8.937814068049192, 9.802722895517945]                                          | 14.2426271438598633|      0.12500000|[50, 0, 6, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[8.937273051589727, 9.738307835534215]                                          | 14.2393636703491211|      0.25000000|[55, 0, 6, 18]                                                             | | GPS sucess | actual_k=0
      13|[9.048210505396128, 9.570193426683545]                                          | 14.2322044372558594|      0.50000000|[59, 0, 6, 19]                                                             | | GPS sucess | actual_k=0
      14|[9.048210505396128, 9.570193426683545]                                          | 14.2322044372558594|      0.25000000|[63, 0, 7, 21]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
