k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-500.0, -700.0]                                                                |  6.5525197919342713|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-500.57146352529526, -699.179372549057]                                        |  6.5516452789306641|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-500.5540489554405, -697.1794484853745]                                        |  6.5484890937805176|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-498.79173666238785, -693.5885912179947]                                       |  6.5433368682861328|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[-496.3097887635231, -685.9833341836929]                                        |  6.5323100090026855|     16.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[-485.88467413187027, -673.8459135293961]                                       |  6.5144963264465332|     32.00000000|[21, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[-475.5852709412575, -643.5486818552017]                                        |  6.4688630104064941|     64.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       7|[-454.02039819955826, -583.2912698984146]                                       |  6.3705124855041504|    128.00000000|[29, 0, 0, 7]                                                              | | GPS sucess | actual_k=0
       8|[-481.67039972543716, -458.3133646249771]                                       |  6.2267770767211914|    256.00000000|[33, 0, 0, 8]                                                              | | GPS sucess | actual_k=0
       9|[-229.63106256723404, -503.1705194711685]                                       |  6.2232823371887207|    512.00000000|[37, 0, 0, 9]                                                              | | GPS sucess | actual_k=0
      10|[-229.63106256723404, -503.1705194711685]                                       |  6.2232823371887207|    256.00000000|[41, 0, 0, 10]                                                             |  | used linear model with 5 points | actual_k=0
      11|[-24.255894720554352, -350.3404108285904]                                       |  5.8617587089538574|    512.00000000|[45, 0, 0, 11]                                                             | | GPS sucess | actual_k=0
      12|[-24.255894720554352, -350.3404108285904]                                       |  5.8617587089538574|    256.00000000|[49, 0, 0, 12]                                                             |  | used linear model with 5 points | actual_k=0
      13|[-61.41944223642349, -97.05229437351227]                                        |  4.5858092308044434|    512.00000000|[53, 0, 0, 13]                                                             | | GPS sucess | actual_k=0
      14|[-61.41944223642349, -97.05229437351227]                                        |  4.5858092308044434|    256.00000000|[57, 0, 0, 14]                                                             |  | used linear model with 5 points | actual_k=0
      15|[-61.41944223642349, -97.05229437351227]                                        |  4.5858092308044434|    128.00000000|[61, 0, 0, 15]                                                             |  | used linear model with 5 points | actual_k=0
      16|[-5.735535681247711, 18.200917601585388]                                        |  3.4235014915466309|    256.00000000|[65, 0, 0, 16]                                                             | | GPS sucess | actual_k=0
      17|[-5.735535681247711, 18.200917601585388]                                        |  3.4235014915466309|    128.00000000|[69, 0, 0, 17]                                                             |  | used linear model with 5 points | actual_k=0
      18|[-5.735535681247711, 18.200917601585388]                                        |  3.4235014915466309|     64.00000000|[73, 0, 0, 18]                                                             |  | used linear model with 5 points | actual_k=0
      19|[-5.735535681247711, 18.200917601585388]                                        |  3.4235014915466309|     32.00000000|[77, 0, 0, 19]                                                             |  | used linear model with 5 points | actual_k=0
      20|[-5.735535681247711, 18.200917601585388]                                        |  3.4235014915466309|     16.00000000|[81, 0, 0, 20]                                                             |  | used linear model with 5 points | actual_k=0
