k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.53580006957054, 149.73634892702103, -99.89544851332903, 0.8890993520617485, 1.2316290736198425]|86266.9218750000000000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[47.89939925074577, 150.17279362678528, -100.39367166906595, 0.6478395685553551, 1.927801787853241]|80918.1562500000000000|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[46.96703947636065, 151.10078823777684, -99.51447837620347, 4.210568461707334, 1.0314127870478762]|78273.1328125000000000|      8.00000000|[15, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
       4|[45.46415186973986, 153.92902529450902, -97.68819003372758, 6.650290522864561, 5.0936729379573]|74514.0546875000000000|     16.00000000|[19, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       5|[35.21513892265734, 155.52171015950688, -103.6469722297725, 2.935415301612119, 6.703452176658167]|45728.6132812500000000|     32.00000000|[23, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       6|[11.611316214527456, 153.1211276075507, -106.1167843845424, 2.7449185290844245, 13.480833596793666]|7201.6367187500000000|     64.00000000|[27, 0, 0, 7]                                                              | | GPS sucess | actual_k=0
       7|[5.357059966053335, 117.76570463391789, -74.25559358864396, 22.98117036013911, 14.606447524634852]|3024.1430664062500000|    128.00000000|[31, 0, 0, 8]                                                              | | GPS sucess | actual_k=0
       8|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|    256.00000000|[37, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|    128.00000000|[45, 0, 0, 13]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|     64.00000000|[53, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|     32.00000000|[61, 0, 0, 19]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|     16.00000000|[69, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|      8.00000000|[77, 0, 0, 25]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|      4.00000000|[83, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
      15|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|      2.00000000|[89, 0, 0, 31]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
      16|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|      1.00000000|[95, 0, 0, 34]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
      17|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|      0.50000000|[101, 0, 0, 37]                                                            |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
      18|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|      0.25000000|[107, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
      19|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|      0.12500000|[113, 0, 0, 43]                                                            |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
      20|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|      0.06250000|[119, 0, 0, 46]                                                            |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
      21|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|      0.03125000|[125, 0, 0, 49]                                                            |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
      22|[56.06456144692388, 169.18787675079838, -2.6605388882663448, -41.77653077256151, -28.394689609250257]|-100000002004087734272.0000000000000000|      0.01562500|[131, 0, 0, 52]                                                            |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
