k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.02, 4000.0, 250.0]                                                           |1693607809.4361455440521240|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0709326346218586, 4000.6687127947807, 249.25822591781616]                    |251183136.0000000000000000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.0709326346218586, 4000.6687127947807, 249.25822591781616]                    |251183136.0000000000000000|      1.00000000|[11, 0, 0, 3]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.0709326346218586, 4000.6687127947807, 249.25822591781616]                    |251183136.0000000000000000|      0.50000000|[17, 0, 0, 5]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.0709326346218586, 4000.6687127947807, 249.25822591781616]                    |251183136.0000000000000000|      0.25000000|[23, 0, 0, 7]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.0709326346218586, 4000.6687127947807, 249.25822591781616]                    |251183136.0000000000000000|      0.12500000|[29, 0, 0, 9]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.0709326346218586, 4000.6687127947807, 249.25822591781616]                    |251183136.0000000000000000|      0.06250000|[35, 0, 0, 11]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.0709326346218586, 4000.6687127947807, 249.25822591781616]                    |251183136.0000000000000000|      0.03125000|[41, 0, 0, 13]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.0567546183988452, 4000.678395980969, 249.23211495764554]                     |7825346.5000000000000000|      0.06250000|[45, 0, 0, 14]                                                             | | GPS sucess | actual_k=0
       9|[0.0567546183988452, 4000.678395980969, 249.23211495764554]                     |7825346.5000000000000000|      0.03125000|[51, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.0567546183988452, 4000.678395980969, 249.23211495764554]                     |7825346.5000000000000000|      0.01562500|[57, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.0567546183988452, 4000.678395980969, 249.23211495764554]                     |7825346.5000000000000000|      0.00781250|[63, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.0567546183988452, 4000.678395980969, 249.23211495764554]                     |7825346.5000000000000000|      0.00390625|[69, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[0.0567546183988452, 4000.678395980969, 249.23211495764554]                     |7825346.5000000000000000|      0.00195312|[75, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.0567546183988452, 4000.678395980969, 249.23211495764554]                     |7825346.5000000000000000|      0.00097656|[81, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[0.0567546183988452, 4000.678395980969, 249.23211495764554]                     |7825346.5000000000000000|      0.00048828|[87, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[0.0567546183988452, 4000.678395980969, 249.23211495764554]                     |7825346.5000000000000000|      0.00024414|[93, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
