k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      0.50000000|[106, 7, 0, 7]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      0.25000000|[211, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      0.12500000|[316, 21, 0, 21]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-0.0274932744740833, -0.0301330950009614, -0.0401564809718021, -0.0271972444692993, -0.0515847370696356, -0.0562427734693992, -0.0823937378118824, -0.0581556904972604, -0.0866912091923411, -0.0908074923806214, -0.0726604368039982, -0.0820156484116116, -0.1065544280354589, -0.1216512659500298, -0.125060361565671, -0.1420673998716585, -0.1322798716620389, -0.1534876043909605, -0.1527044304124739, -0.1530409889632082, -0.1670469421416903, -0.1710657925231434, -0.1847293985469969, -0.1658991143421504, -0.184797074716927, -0.1875495952876425, -0.1904064455579898, -0.2123469831898928, -0.2169703426527563, -0.2470715538710761, -0.2203997284054677, -0.2264225379457531, -0.2208637444220626, -0.2316203293943346, -0.2473972742813379, -0.2457291401418233, -0.2261894808881326, -0.2296195015658464, -0.2316433481149111, -0.2510942824498778, -0.2271776660909313, -0.2231773141067067, -0.2599889497406923, -0.2596100931341919, -0.2418798369106478, -0.2324520010892754, -0.2486682671060116, -0.2369741848282053, -0.2270547863150622, -0.2529842368137301, -0.2444938159357966, -0.2287857554907586, -0.2525095063805117, -0.2353999098176864, -0.2753283843789701, -0.2486040065048835, -0.2405537878449234, -0.2447571285785319, -0.2457271556596795, -0.2251552469660896, -0.2322678536490565, -0.2230219013266001, -0.2370331915442672, -0.2465712770618839, -0.2122918489815975, -0.2181988065498621, -0.2326133763039053, -0.2114972699584582, -0.2290570613821802, -0.2157315899498682, -0.2113644149266589, -0.1958709652292315, -0.1752354363456488, -0.2030750575054368, -0.1917714765035687, -0.1831427944837301, -0.1841874852624956, -0.180004511347297, -0.1700637792763818, -0.1706124980457509, -0.1432629512959337, -0.1684065335061188, -0.1555695480668361, -0.1481643367343429, -0.1259027417461686, -0.1292039763532793, -0.1086713764286545, -0.1227988655809968, -0.0858820415307084, -0.1072458223873393, -0.0755703831106746, -0.0877385675748343, -0.068812496671926, -0.0586443276370953, -0.0509752500656541, -0.0523143836033633, -0.0279315457532549, -0.0550824861266502, -0.015514245619157, -0.0445873445659269]| 99.9788284301757812|      0.25000000|[361, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       5|[-0.0274932744740833, -0.0301330950009614, -0.0401564809718021, -0.0271972444692993, -0.0515847370696356, -0.0562427734693992, -0.0823937378118824, -0.0581556904972604, -0.0866912091923411, -0.0908074923806214, -0.0726604368039982, -0.0820156484116116, -0.1065544280354589, -0.1216512659500298, -0.125060361565671, -0.1420673998716585, -0.1322798716620389, -0.1534876043909605, -0.1527044304124739, -0.1530409889632082, -0.1670469421416903, -0.1710657925231434, -0.1847293985469969, -0.1658991143421504, -0.184797074716927, -0.1875495952876425, -0.1904064455579898, -0.2123469831898928, -0.2169703426527563, -0.2470715538710761, -0.2203997284054677, -0.2264225379457531, -0.2208637444220626, -0.2316203293943346, -0.2473972742813379, -0.2457291401418233, -0.2261894808881326, -0.2296195015658464, -0.2316433481149111, -0.2510942824498778, -0.2271776660909313, -0.2231773141067067, -0.2599889497406923, -0.2596100931341919, -0.2418798369106478, -0.2324520010892754, -0.2486682671060116, -0.2369741848282053, -0.2270547863150622, -0.2529842368137301, -0.2444938159357966, -0.2287857554907586, -0.2525095063805117, -0.2353999098176864, -0.2753283843789701, -0.2486040065048835, -0.2405537878449234, -0.2447571285785319, -0.2457271556596795, -0.2251552469660896, -0.2322678536490565, -0.2230219013266001, -0.2370331915442672, -0.2465712770618839, -0.2122918489815975, -0.2181988065498621, -0.2326133763039053, -0.2114972699584582, -0.2290570613821802, -0.2157315899498682, -0.2113644149266589, -0.1958709652292315, -0.1752354363456488, -0.2030750575054368, -0.1917714765035687, -0.1831427944837301, -0.1841874852624956, -0.180004511347297, -0.1700637792763818, -0.1706124980457509, -0.1432629512959337, -0.1684065335061188, -0.1555695480668361, -0.1481643367343429, -0.1259027417461686, -0.1292039763532793, -0.1086713764286545, -0.1227988655809968, -0.0858820415307084, -0.1072458223873393, -0.0755703831106746, -0.0877385675748343, -0.068812496671926, -0.0586443276370953, -0.0509752500656541, -0.0523143836033633, -0.0279315457532549, -0.0550824861266502, -0.015514245619157, -0.0445873445659269]| 99.9788284301757812|      0.12500000|[466, 31, 0, 31]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.0459670542567362, -0.0259749315577537, -0.0217185049542077, -0.0429099955449247, -0.0305406355035594, -0.047658587965976, -0.0843138063320037, -0.0603258301881215, -0.0773680462343151, -0.0975059224307858, -0.0805323188626783, -0.0851298721246669, -0.1220590992961734, -0.1193115347466377, -0.1137775897398806, -0.1421286138418429, -0.1401871151075545, -0.1470412088559385, -0.1433460224829343, -0.140520797703526, -0.1778321064532185, -0.1673238704333134, -0.1753263094856174, -0.1553567570016953, -0.1748921704258933, -0.1946374881403661, -0.1842899999160251, -0.2107851823570326, -0.2108943629766587, -0.2367654255703497, -0.2028947923213165, -0.2054377038856802, -0.1943835670046651, -0.2442277744033874, -0.2628737013223321, -0.2601369052620912, -0.2337800192445857, -0.21574209857479, -0.2237616163886819, -0.2226871241197949, -0.218037440963592, -0.2242411312873998, -0.2650783980399513, -0.2665186621534797, -0.2448944400746948, -0.2362648270950173, -0.2520274444886745, -0.2402249099298849, -0.2396057503352548, -0.2388761703666509, -0.2492957253750623, -0.228023951319852, -0.2607061285137667, -0.260360375546923, -0.2703991049360935, -0.2600096747262977, -0.23797818476401, -0.2172872849525095, -0.2399033199291268, -0.2197937029977697, -0.224654581708557, -0.2223118453960601, -0.2364775370804433, -0.2265655796774073, -0.2264034470038796, -0.2092048782291562, -0.2120514036709011, -0.2207339670660117, -0.2208901400571522, -0.2213721446573655, -0.2010765954964268, -0.1533925565647665, -0.1668315111205101, -0.1911395952615818, -0.1805395269506751, -0.1877394422901957, -0.1801303461042467, -0.1808919468007752, -0.1689912613309506, -0.1730299488164866, -0.1617240948938942, -0.1482615456547375, -0.1478401346133466, -0.1548570652277056, -0.1180526395972185, -0.1213158548228657, -0.1003666184312609, -0.1282716234345644, -0.0912915514055887, -0.1101193457809852, -0.0853216461852514, -0.0752799246301407, -0.0914267354556432, -0.0723766724805425, -0.0402746666077073, -0.0341978740614941, -0.046092201847806, -0.0681773592942246, -0.0030805118280441, -0.0324298028662194]| 99.9757614135742188|      0.25000000|[496, 33, 0, 33]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       7|[-0.0459670542567362, -0.0259749315577537, -0.0217185049542077, -0.0429099955449247, -0.0305406355035594, -0.047658587965976, -0.0843138063320037, -0.0603258301881215, -0.0773680462343151, -0.0975059224307858, -0.0805323188626783, -0.0851298721246669, -0.1220590992961734, -0.1193115347466377, -0.1137775897398806, -0.1421286138418429, -0.1401871151075545, -0.1470412088559385, -0.1433460224829343, -0.140520797703526, -0.1778321064532185, -0.1673238704333134, -0.1753263094856174, -0.1553567570016953, -0.1748921704258933, -0.1946374881403661, -0.1842899999160251, -0.2107851823570326, -0.2108943629766587, -0.2367654255703497, -0.2028947923213165, -0.2054377038856802, -0.1943835670046651, -0.2442277744033874, -0.2628737013223321, -0.2601369052620912, -0.2337800192445857, -0.21574209857479, -0.2237616163886819, -0.2226871241197949, -0.218037440963592, -0.2242411312873998, -0.2650783980399513, -0.2665186621534797, -0.2448944400746948, -0.2362648270950173, -0.2520274444886745, -0.2402249099298849, -0.2396057503352548, -0.2388761703666509, -0.2492957253750623, -0.228023951319852, -0.2607061285137667, -0.260360375546923, -0.2703991049360935, -0.2600096747262977, -0.23797818476401, -0.2172872849525095, -0.2399033199291268, -0.2197937029977697, -0.224654581708557, -0.2223118453960601, -0.2364775370804433, -0.2265655796774073, -0.2264034470038796, -0.2092048782291562, -0.2120514036709011, -0.2207339670660117, -0.2208901400571522, -0.2213721446573655, -0.2010765954964268, -0.1533925565647665, -0.1668315111205101, -0.1911395952615818, -0.1805395269506751, -0.1877394422901957, -0.1801303461042467, -0.1808919468007752, -0.1689912613309506, -0.1730299488164866, -0.1617240948938942, -0.1482615456547375, -0.1478401346133466, -0.1548570652277056, -0.1180526395972185, -0.1213158548228657, -0.1003666184312609, -0.1282716234345644, -0.0912915514055887, -0.1101193457809852, -0.0853216461852514, -0.0752799246301407, -0.0914267354556432, -0.0723766724805425, -0.0402746666077073, -0.0341978740614941, -0.046092201847806, -0.0681773592942246, -0.0030805118280441, -0.0324298028662194]| 99.9757614135742188|      0.12500000|[602, 40, 1, 41]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 62 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 77 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 92 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.063703755551516, -0.0190301317620069, -0.0247812689040639, -0.042821318938387, -0.0426319610995343, -0.0488893840665477, -0.0834971312543455, -0.0652368799229225, -0.0722788647589738, -0.1075776061058366, -0.0613690902912633, -0.0834390414385373, -0.1434123384897321, -0.1282961544982102, -0.1166976387497252, -0.1694073202732317, -0.1500121640757505, -0.1420794527979012, -0.1502286169156161, -0.1301580021494246, -0.187813164059856, -0.1981615180501766, -0.1731067209898265, -0.1524840720311972, -0.168466672838123, -0.1741454280303931, -0.18962166659049, -0.2072614062821612, -0.199781799664605, -0.2386129633868519, -0.2083718850158076, -0.1960434409683404, -0.1886167016729855, -0.2262348476418794, -0.2544805319416076, -0.2852058235051418, -0.2491635589659555, -0.222157626354399, -0.2118059127799902, -0.2139416028128033, -0.2368345442791838, -0.2237660453648829, -0.2676867606252574, -0.2467441227573129, -0.222888297190202, -0.2497252741754507, -0.2313577737131418, -0.2311493679493203, -0.243389412440234, -0.2258208849277556, -0.2583145563300908, -0.2513502141515399, -0.2704165288790598, -0.2842671652669815, -0.2764045057278578, -0.2738077672182224, -0.2449368840835217, -0.2290982098103644, -0.230734382126812, -0.2238587793526608, -0.2236893335554777, -0.231858516458768, -0.2282309150321249, -0.223295486791466, -0.2242132638542289, -0.2158495374391526, -0.2165739810647011, -0.2104970611782887, -0.2215332085160372, -0.24152372440993, -0.2003314724769849, -0.1401198557334725, -0.1681168370891482, -0.1947316256396404, -0.1982500338667212, -0.2108180813504546, -0.1985895078477684, -0.1796364924216413, -0.1735924316398386, -0.1879910713516558, -0.1700346988030887, -0.1502206439249004, -0.1662445327268358, -0.1576755970501188, -0.1107968413914852, -0.1011034056894696, -0.1120328669837621, -0.1385140483398645, -0.1004190146196881, -0.1078324533966945, -0.0850845803085337, -0.0651936890398616, -0.0959922812790683, -0.0921719617436718, -0.0250842626992161, -0.0488193823692491, -0.0651801106373215, -0.0643092527744212, -0.0182279100540072, -0.0538280752315511]| 99.9494018554687500|      0.25000000|[692, 46, 1, 47]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       9|[-0.063703755551516, -0.0190301317620069, -0.0247812689040639, -0.042821318938387, -0.0426319610995343, -0.0488893840665477, -0.0834971312543455, -0.0652368799229225, -0.0722788647589738, -0.1075776061058366, -0.0613690902912633, -0.0834390414385373, -0.1434123384897321, -0.1282961544982102, -0.1166976387497252, -0.1694073202732317, -0.1500121640757505, -0.1420794527979012, -0.1502286169156161, -0.1301580021494246, -0.187813164059856, -0.1981615180501766, -0.1731067209898265, -0.1524840720311972, -0.168466672838123, -0.1741454280303931, -0.18962166659049, -0.2072614062821612, -0.199781799664605, -0.2386129633868519, -0.2083718850158076, -0.1960434409683404, -0.1886167016729855, -0.2262348476418794, -0.2544805319416076, -0.2852058235051418, -0.2491635589659555, -0.222157626354399, -0.2118059127799902, -0.2139416028128033, -0.2368345442791838, -0.2237660453648829, -0.2676867606252574, -0.2467441227573129, -0.222888297190202, -0.2497252741754507, -0.2313577737131418, -0.2311493679493203, -0.243389412440234, -0.2258208849277556, -0.2583145563300908, -0.2513502141515399, -0.2704165288790598, -0.2842671652669815, -0.2764045057278578, -0.2738077672182224, -0.2449368840835217, -0.2290982098103644, -0.230734382126812, -0.2238587793526608, -0.2236893335554777, -0.231858516458768, -0.2282309150321249, -0.223295486791466, -0.2242132638542289, -0.2158495374391526, -0.2165739810647011, -0.2104970611782887, -0.2215332085160372, -0.24152372440993, -0.2003314724769849, -0.1401198557334725, -0.1681168370891482, -0.1947316256396404, -0.1982500338667212, -0.2108180813504546, -0.1985895078477684, -0.1796364924216413, -0.1735924316398386, -0.1879910713516558, -0.1700346988030887, -0.1502206439249004, -0.1662445327268358, -0.1576755970501188, -0.1107968413914852, -0.1011034056894696, -0.1120328669837621, -0.1385140483398645, -0.1004190146196881, -0.1078324533966945, -0.0850845803085337, -0.0651936890398616, -0.0959922812790683, -0.0921719617436718, -0.0250842626992161, -0.0488193823692491, -0.0651801106373215, -0.0643092527744212, -0.0182279100540072, -0.0538280752315511]| 99.9494018554687500|      0.12500000|[797, 53, 1, 54]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.0742433729409565, -0.0318090956556588, -0.009458088198755, -0.0198705802699452, -0.0609599181187442, -0.0674083218181985, -0.0670704916229549, -0.0582991917063555, -0.0748738216543103, -0.1119143296979689, -0.0351399192088859, -0.0796666481038803, -0.1598372831140368, -0.1327577796234694, -0.1102183931391901, -0.158983654406976, -0.155529018190581, -0.1461420648732598, -0.157090971380445, -0.130412218811567, -0.1830711265549446, -0.1964963934969209, -0.1703302854134472, -0.1611372489796254, -0.1725751418400719, -0.170534142790935, -0.1921762217812172, -0.2100036283267781, -0.2029392095039371, -0.2456705710264328, -0.2222815294630747, -0.1994088612390515, -0.192363195858165, -0.2357663604983628, -0.2591485567758531, -0.2703349330889369, -0.2731929368138654, -0.2288135680717256, -0.2247958491764698, -0.2161674742435133, -0.2338724600249338, -0.222957155561872, -0.2861113255977773, -0.257939112773833, -0.2322925392289288, -0.2479038709002067, -0.2380516090833844, -0.2374429292588963, -0.246950802072757, -0.2369939916577399, -0.2515034031864465, -0.2683485126177455, -0.2643802556752696, -0.2877666775948164, -0.2724226821605568, -0.2526174033044479, -0.254468920343292, -0.2429724761069895, -0.2231295177008548, -0.1989069935498196, -0.2293395050998805, -0.23920864320581, -0.217116215266085, -0.2275041465446694, -0.2410051309464807, -0.1999618169287891, -0.2150253168860019, -0.2256680134834864, -0.2126549662915823, -0.2230903770655315, -0.2172552781757373, -0.1457041674050275, -0.1631406106066078, -0.1867625712461701, -0.2249387586229621, -0.2257291723055928, -0.2150689851341072, -0.1842252221235776, -0.1833518540314916, -0.1884620228422256, -0.1784911040553069, -0.1655831236488904, -0.1793477263302918, -0.1682045023673061, -0.1135122164330743, -0.1025435225922829, -0.1277988636336234, -0.1354594602380603, -0.0844505819697181, -0.1232223335621522, -0.0894315773199867, -0.054675588927185, -0.1230812866152337, -0.0940807498519387, -0.0506735332164462, -0.0650236743238857, -0.0974977229575062, -0.0637028276678958, -0.0201038568179101, -0.0798233520998944]| 99.9454727172851562|      0.25000000|[842, 56, 1, 57]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
