k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |2117.3170600156249748|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0380256175994873, 4.726860284805298]                                         |1395.8325195312500000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[0.4989514946937561, 2.78069806098938]                                          | 18.1370182037353516|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[0.4989514946937561, 2.78069806098938]                                          | 18.1370182037353516|      2.00000000|[11, 3, 1, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.4989514946937561, 2.78069806098938]                                          | 18.1370182037353516|      1.00000000|[15, 5, 2, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.4989514946937561, 2.78069806098938]                                          | 18.1370182037353516|      0.50000000|[20, 6, 3, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.1730331778526306, 2.401518374681473]                                         |  2.7329041957855225|      1.00000000|[24, 7, 3, 12]                                                             | | GPS sucess | actual_k=1
       7|[0.1730331778526306, 2.401518374681473]                                         |  2.7329041957855225|      0.50000000|[28, 8, 4, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.4855639040470123, 2.011230558156967]                                         |  1.8262983560562134|      1.00000000|[32, 9, 4, 16]                                                             | | GPS sucess | actual_k=1
       9|[0.1271264553070068, 1.0776767432689667]                                        |  0.0829265266656876|      2.00000000|[35, 10, 4, 17]                                                            | | GPS sucess | actual_k=1
      10|[0.1271264553070068, 1.0776767432689667]                                        |  0.0829265266656876|      1.00000000|[39, 11, 5, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
