k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.36544805765152, 149.66181674599648, -100.45389947295189, 1.0898917391896248, 2.5098894834518433]|85575.2343750000000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[47.909367859363556, 150.30814197659492, -101.48347362875938, 1.0029167085886002, 2.7685942947864532]|80745.1484375000000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[45.04037410020828, 150.481501609087, -100.46897801756859, 2.94331993162632, 1.1434079706668854]|72005.9375000000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[40.011219799518585, 152.50470688939095, -102.55260428786278, 3.583449676632881, 6.110327392816544]|57586.2656250000000000|     16.00000000|[61, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       5|[29.74024087190628, 151.81684026122093, -100.36869558691978, 0.535564735531807, 1.5767485201358795]|33626.2539062500000000|     32.00000000|[76, 5, 0, 5]                                                              | | GPS sucess | actual_k=1
       6|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|     64.00000000|[91, 6, 0, 6]                                                              | | GPS sucess | actual_k=1
       7|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|     32.00000000|[121, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|     16.00000000|[151, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      8.00000000|[181, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      4.00000000|[210, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      11|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      2.00000000|[239, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      12|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      1.00000000|[268, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      13|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.50000000|[297, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      14|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.25000000|[326, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      15|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.12500000|[355, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      16|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.06250000|[384, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      17|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.03125000|[413, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      18|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.01562500|[442, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      19|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.00781250|[471, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      20|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.00390625|[500, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      21|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.00195312|[529, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      22|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.00097656|[558, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      23|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.00048828|[587, 40, 0, 40]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      24|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.00024414|[616, 42, 0, 42]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      25|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.00012207|[645, 44, 0, 44]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      26|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.00006104|[674, 46, 0, 46]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      27|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.00003052|[703, 48, 0, 48]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      28|[39.251169979572296, 160.19367322325706, -88.05455908179283, -18.191262885928154, -8.607411712408066]|-100000002004087734272.0000000000000000|      0.00001526|[732, 50, 0, 50]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
