k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9341647252440453, 1.1034225076436996, 1.1868469566106796, 0.6918934285640717, 0.8994680643081665, 0.8061301112174988, 0.9255438148975372, 0.5652574002742767, 0.9842644911259413, 0.6621399521827698, 0.7686032503843307, 0.6821156144142151, 0.8699544668197632, 0.863540530204773, 1.1394546627998352, 1.3647434413433075, 0.7737133949995041, 0.9193960502743721, 0.8771092742681503, 1.2283922135829926, 0.9172440096735954, 0.8448731154203415]|  1.3757127523422241|      2.00000000|[26, 1, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[0.4601603373885155, 0.7474283128976822, 1.502818837761879, 1.052440583705902, 0.7204566448926926, 0.8939977437257767, 1.0394691228866577, -0.573657900094986, 0.9262342695146799, 0.7887889593839645, 0.140218123793602, 0.1967521011829376, 0.9595029801130295, -0.0980201959609985, 0.858312338590622, 1.55480295419693, 0.5393014699220657, 0.4770480468869209, 0.6535042971372604, 1.4779034703969955, 0.8516380488872528, 0.7810865640640259]|  1.2332990169525146|      4.00000000|[49, 4, 0, 2]                                                              | | GPS sucess | actual_k=4
       3|[-0.750819243490696, -0.4806885570287704, 0.8584294468164444, 1.0354420468211174, -0.4363429099321365, 1.0583903342485428, 0.4853857755661011, -1.0674231350421906, 1.491643512621522, 0.5468373149633408, -0.8252217322587967, -1.9616203010082245, 0.5041120201349258, -0.5734856426715851, -0.4295611679553986, 1.123455435037613, 0.1387537568807602, 0.0549839809536934, -0.2022193223237991, 0.6317254155874252, 0.4438662827014923, 0.0785407423973083]|  0.7731454372406006|      8.00000000|[73, 6, 0, 3]                                                              | | GPS sucess | actual_k=4
       4|[-1.5285918489098549, -2.086066111922264, -2.542157158255577, -1.6675861552357674, -1.3054742366075516, 0.6018205732107162, 1.4154463410377502, 0.8469426333904266, -1.1916433926671743, 0.3361560106277466, 0.956866905093193, -2.4705918729305267, 1.1642635613679886, -0.6241850405931473, 0.3330948650836945, 4.672802358865738, -1.2484764009714127, 1.1437965705990791, 1.047012373805046, 1.5186914056539536, 2.4652014076709747, 1.6952165961265564]|  0.6951848268508911|     16.00000000|[96, 9, 0, 4]                                                              | | GPS sucess | actual_k=4
       5|[-1.5285918489098549, -2.086066111922264, -2.542157158255577, -1.6675861552357674, -1.3054742366075516, 0.6018205732107162, 1.4154463410377502, 0.8469426333904266, -1.1916433926671743, 0.3361560106277466, 0.956866905093193, -2.4705918729305267, 1.1642635613679886, -0.6241850405931473, 0.3330948650836945, 4.672802358865738, -1.2484764009714127, 1.1437965705990791, 1.047012373805046, 1.5186914056539536, 2.4652014076709747, 1.6952165961265564]|  0.6951848268508911|      8.00000000|[122, 9, 0, 5]                                                             |  | used linear model with 27 points | actual_k=4
       6|[-0.6256115213036537, -2.3371958285570145, -5.174693092703819, 0.6584350392222404, -1.4776564985513687, 1.8547109216451645, -2.5149309039115906, -1.4335878193378448, -1.812645172700286, -0.0321949124336243, 0.6187554746866226, -3.6978940665721893, -0.1370786875486374, 0.4603478163480759, 0.1619456261396408, 7.001632839441299, 0.6537080854177475, -1.6238742992281914, -0.0727521926164627, 0.8809498995542526, 3.425058037042618, 3.7466301321983337]|  0.6641615629196167|     16.00000000|[146, 11, 0, 6]                                                            | | GPS sucess | actual_k=4
       7|[-0.6256115213036537, -2.3371958285570145, -5.174693092703819, 0.6584350392222404, -1.4776564985513687, 1.8547109216451645, -2.5149309039115906, -1.4335878193378448, -1.812645172700286, -0.0321949124336243, 0.6187554746866226, -3.6978940665721893, -0.1370786875486374, 0.4603478163480759, 0.1619456261396408, 7.001632839441299, 0.6537080854177475, -1.6238742992281914, -0.0727521926164627, 0.8809498995542526, 3.425058037042618, 3.7466301321983337]|  0.6641615629196167|      8.00000000|[170, 13, 0, 7]                                                            |  | used linear model with 27 points | actual_k=4
       8|[-2.3947663083672523, -0.5213925391435623, -7.589834436774254, -0.3216901496052742, -2.3217090517282486, 0.8151873201131821, -1.2180728316307068, 0.1063682734966278, -0.6055984254926443, 0.0649234429001808, 1.7432811409235, -8.048517674207687, 1.2607839852571487, 2.11057548224926, -2.2397222071886063, 6.751021236181259, -2.3909908682107925, -1.2425771281123161, 1.2147211283445358, 0.0499778240919113, 2.6692682206630707, 4.403281271457672]|  0.5955290794372559|     16.00000000|[193, 16, 0, 8]                                                            | | GPS sucess | actual_k=4
       9|[-2.3947663083672523, -0.5213925391435623, -7.589834436774254, -0.3216901496052742, -2.3217090517282486, 0.8151873201131821, -1.2180728316307068, 0.1063682734966278, -0.6055984254926443, 0.0649234429001808, 1.7432811409235, -8.048517674207687, 1.2607839852571487, 2.11057548224926, -2.2397222071886063, 6.751021236181259, -2.3909908682107925, -1.2425771281123161, 1.2147211283445358, 0.0499778240919113, 2.6692682206630707, 4.403281271457672]|  0.5955290794372559|      8.00000000|[216, 19, 0, 9]                                                            |  | used linear model with 27 points | actual_k=4
      10|[-2.3947663083672523, -0.5213925391435623, -7.589834436774254, -0.3216901496052742, -2.3217090517282486, 0.8151873201131821, -1.2180728316307068, 0.1063682734966278, -0.6055984254926443, 0.0649234429001808, 1.7432811409235, -8.048517674207687, 1.2607839852571487, 2.11057548224926, -2.2397222071886063, 6.751021236181259, -2.3909908682107925, -1.2425771281123161, 1.2147211283445358, 0.0499778240919113, 2.6692682206630707, 4.403281271457672]|  0.5955290794372559|      4.00000000|[240, 21, 0, 10]                                                           |  | used linear model with 27 points | actual_k=4
      11|[-3.0114415660500526, 0.3900304883718491, -6.541757330298424, -0.4225281700491905, -2.0426753610372543, -0.1892738491296768, -0.8671708703041077, 0.1390950605273247, -0.7556929793208838, -0.900467537343502, 0.0917294174432755, -7.871089980006218, -0.2535238713026047, 2.822436735033989, -2.6902640908956528, 7.654411286115646, -1.960439756512642, -2.680502586066723, -0.0373857766389847, -0.9370603114366531, 2.708007078617811, 4.777810364961624]|  0.5354086160659790|      8.00000000|[263, 24, 0, 11]                                                           | | GPS sucess | actual_k=4
      12|[-3.0114415660500526, 0.3900304883718491, -6.541757330298424, -0.4225281700491905, -2.0426753610372543, -0.1892738491296768, -0.8671708703041077, 0.1390950605273247, -0.7556929793208838, -0.900467537343502, 0.0917294174432755, -7.871089980006218, -0.2535238713026047, 2.822436735033989, -2.6902640908956528, 7.654411286115646, -1.960439756512642, -2.680502586066723, -0.0373857766389847, -0.9370603114366531, 2.708007078617811, 4.777810364961624]|  0.5354086160659790|      4.00000000|[289, 24, 0, 12]                                                           |  | used linear model with 27 points | actual_k=4
      13|[-2.248380996286869, 0.539235457777977, -6.602942328900099, -0.2266890928149223, -0.9217938035726547, -0.0444416105747223, -1.0201751589775085, -1.296610601246357, -1.156295320019126, -0.1153626069426537, -1.0812991708517075, -6.696085020899773, -0.2100031077861786, 3.8178613036870956, -1.878077432513237, 5.950093120336533, -1.5993282049894333, -1.7370769307017326, 0.6096028536558151, 0.4324413985013962, 2.267367821186781, 4.1517073810100555]|  0.5257197618484497|      8.00000000|[313, 26, 0, 13]                                                           | | GPS sucess | actual_k=4
      14|[-2.248380996286869, 0.539235457777977, -6.602942328900099, -0.2266890928149223, -0.9217938035726547, -0.0444416105747223, -1.0201751589775085, -1.296610601246357, -1.156295320019126, -0.1153626069426537, -1.0812991708517075, -6.696085020899773, -0.2100031077861786, 3.8178613036870956, -1.878077432513237, 5.950093120336533, -1.5993282049894333, -1.7370769307017326, 0.6096028536558151, 0.4324413985013962, 2.267367821186781, 4.1517073810100555]|  0.5257197618484497|      4.00000000|[336, 29, 0, 14]                                                           |  | used linear model with 27 points | actual_k=4
      15|[-1.840204395353794, 1.2491469830274582, -5.405541758984327, 0.2294904068112373, -0.8144948333501816, -0.7637276947498322, -0.2605659961700439, -0.3830328062176704, -1.1675808569416404, -0.1167328968876973, 0.6447206884622574, -7.47198198735714, 0.9104922115802765, 3.6052737087011337, -1.427766427397728, 6.131260722875595, -1.4871786236763, -3.947287730872631, 0.5959812346845865, 1.473970577120781, 1.7599880509078503, 4.775747984647751]|  0.5160616040229797|      8.00000000|[360, 31, 0, 15]                                                           | | GPS sucess | actual_k=4
      16|[-1.840204395353794, 1.2491469830274582, -5.405541758984327, 0.2294904068112373, -0.8144948333501816, -0.7637276947498322, -0.2605659961700439, -0.3830328062176704, -1.1675808569416404, -0.1167328968876973, 0.6447206884622574, -7.47198198735714, 0.9104922115802765, 3.6052737087011337, -1.427766427397728, 6.131260722875595, -1.4871786236763, -3.947287730872631, 0.5959812346845865, 1.473970577120781, 1.7599880509078503, 4.775747984647751]|  0.5160616040229797|      4.00000000|[386, 31, 0, 16]                                                           |  | used linear model with 27 points | actual_k=4
      17|[-1.9314232990145683, 0.2689307779073715, -3.9169452004134655, -0.3178828284144402, -1.0592465847730637, -0.3032820820808411, 0.049164891242981, 0.4521331116557121, 0.3235328057780862, -1.3418623820180073, -0.234288677573204, -8.04562209546566, 0.0236544907093048, 4.67271600663662, -0.0701434463262558, 5.440466433763504, -2.1609432697296143, -3.233948640525341, 1.1094176713377237, 2.432801529765129, 1.2849910371005535, 4.8546643778681755]|  0.4889712035655975|      8.00000000|[412, 31, 0, 17]                                                           | | GPS sucess | actual_k=4
      18|[-1.9314232990145683, 0.2689307779073715, -3.9169452004134655, -0.3178828284144402, -1.0592465847730637, -0.3032820820808411, 0.049164891242981, 0.4521331116557121, 0.3235328057780862, -1.3418623820180073, -0.234288677573204, -8.04562209546566, 0.0236544907093048, 4.67271600663662, -0.0701434463262558, 5.440466433763504, -2.1609432697296143, -3.233948640525341, 1.1094176713377237, 2.432801529765129, 1.2849910371005535, 4.8546643778681755]|  0.4889712035655975|      4.00000000|[436, 33, 0, 18]                                                           |  | used linear model with 27 points | actual_k=4
      19|[-1.5758758708834648, -0.1041829437017441, -2.7711633257567883, -1.0287762805819511, -0.5313517898321152, 0.0225009024143219, -1.9792674779891968, 0.5207313522696495, -0.3033914705738425, 0.3777591570978984, 0.2654426246881485, -8.004244603216648, 0.3174222409725189, 3.72628878057003, -0.1487182453274727, 6.616152197122574, -3.0472726225852966, -4.8081566616892815, 0.9807659480720758, 2.601078048348427, 1.6116644851863384, 4.6970784440636635]|  0.4474630951881409|      8.00000000|[460, 35, 0, 19]                                                           | | GPS sucess | actual_k=4
      20|[-1.5758758708834648, -0.1041829437017441, -2.7711633257567883, -1.0287762805819511, -0.5313517898321152, 0.0225009024143219, -1.9792674779891968, 0.5207313522696495, -0.3033914705738425, 0.3777591570978984, 0.2654426246881485, -8.004244603216648, 0.3174222409725189, 3.72628878057003, -0.1487182453274727, 6.616152197122574, -3.0472726225852966, -4.8081566616892815, 0.9807659480720758, 2.601078048348427, 1.6116644851863384, 4.6970784440636635]|  0.4474630951881409|      4.00000000|[485, 36, 0, 20]                                                           |  | used linear model with 27 points | actual_k=4
      21|[-1.5758758708834648, -0.1041829437017441, -2.7711633257567883, -1.0287762805819511, -0.5313517898321152, 0.0225009024143219, -1.9792674779891968, 0.5207313522696495, -0.3033914705738425, 0.3777591570978984, 0.2654426246881485, -8.004244603216648, 0.3174222409725189, 3.72628878057003, -0.1487182453274727, 6.616152197122574, -3.0472726225852966, -4.8081566616892815, 0.9807659480720758, 2.601078048348427, 1.6116644851863384, 4.6970784440636635]|  0.4474630951881409|      2.00000000|[508, 39, 0, 21]                                                           |  | used linear model with 27 points | actual_k=4
      22|[-1.90074010938406, 0.5328315049409866, -3.2881692461669445, -0.7208974286913872, 0.3504467755556107, 0.1116466149687767, -2.746156632900238, 0.1273877546191216, 0.1035460093989968, -0.0519775167340413, -0.2245415598154068, -7.89537637680769, 0.6066910326480865, 2.9904467314481735, 0.1526516899466515, 6.849321126937866, -3.2226122468709946, -4.80513145099394, 0.6663528773933649, 2.404555007815361, 1.834871333092451, 4.784521862864494]|  0.4378580749034882|      4.00000000|[532, 41, 0, 22]                                                           | | GPS sucess | actual_k=4
      23|[-1.90074010938406, 0.5328315049409866, -3.2881692461669445, -0.7208974286913872, 0.3504467755556107, 0.1116466149687767, -2.746156632900238, 0.1273877546191216, 0.1035460093989968, -0.0519775167340413, -0.2245415598154068, -7.89537637680769, 0.6066910326480865, 2.9904467314481735, 0.1526516899466515, 6.849321126937866, -3.2226122468709946, -4.80513145099394, 0.6663528773933649, 2.404555007815361, 1.834871333092451, 4.784521862864494]|  0.4378580749034882|      2.00000000|[556, 43, 0, 23]                                                           |  | used linear model with 27 points | actual_k=4
      24|[-0.8206592425704002, 0.570250391960144, -2.620678585022688, -0.2834668084979057, 0.3669280596077442, 0.2118010744452477, -2.9986866116523743, 0.4132429286837578, 0.3626146176829934, -0.0195110529894009, 0.1368519514799118, -7.932803131639957, 0.2865428030490875, 2.528253361582756, -0.3515771999955177, 7.255645036697388, -3.376819834113121, -5.5754338062833995, 0.4552784506231546, 2.1715504974126816, 2.069010015577078, 5.361495241522789]|  0.4315730929374695|      4.00000000|[580, 45, 0, 24]                                                           | | GPS sucess | actual_k=4
