k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[500.0, 0.0001]                                                                 |11603.0164118767152104|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      1.00000000|[7, 2, 0, 2]                                                               |  | used linear model with 5 points | actual_k=1
       3|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.50000000|[10, 3, 0, 3]                                                              |  | used linear model with 5 points | actual_k=1
       4|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.25000000|[13, 4, 0, 4]                                                              |  | used linear model with 5 points | actual_k=1
       5|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.12500000|[16, 5, 0, 5]                                                              |  | used linear model with 5 points | actual_k=1
       6|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.06250000|[19, 6, 0, 6]                                                              |  | used linear model with 5 points | actual_k=1
       7|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.03125000|[22, 7, 0, 7]                                                              |  | used linear model with 5 points | actual_k=1
       8|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.01562500|[25, 8, 0, 8]                                                              |  | used linear model with 5 points | actual_k=1
       9|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.00781250|[28, 9, 0, 9]                                                              |  | used linear model with 5 points | actual_k=1
      10|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.00390625|[31, 10, 0, 10]                                                            |  | used linear model with 5 points | actual_k=1
      11|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.00195312|[34, 11, 0, 11]                                                            |  | used linear model with 5 points | actual_k=1
      12|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.00097656|[37, 12, 0, 12]                                                            |  | used linear model with 5 points | actual_k=1
      13|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.00048828|[40, 13, 0, 13]                                                            |  | used linear model with 5 points | actual_k=1
      14|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.00024414|[43, 14, 0, 14]                                                            |  | used linear model with 5 points | actual_k=1
      15|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.00012207|[46, 15, 0, 15]                                                            |  | used linear model with 5 points | actual_k=1
      16|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.00006104|[49, 16, 0, 16]                                                            |  | used linear model with 5 points | actual_k=1
      17|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.00003052|[52, 17, 0, 17]                                                            |  | used linear model with 5 points | actual_k=1
      18|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.00001526|[55, 18, 0, 18]                                                            |  | used linear model with 5 points | actual_k=1
      19|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.00000763|[58, 19, 0, 19]                                                            |  | used linear model with 5 points | actual_k=1
      20|[499.7913885861635, -0.8499271439552307]                                        |-100000002004087734272.0000000000000000|      0.00000381|[61, 20, 0, 20]                                                            |  | used linear model with 5 points | actual_k=1
