k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0]|24876.8647026020043995|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2712907686829567, 0.9312790557742119, -1.0970190435647964, 1.1727188378572464, -1.2492303669452667, 1.254969835281372, -1.1354218244552612, 1.0827438309788704, -1.1421121701598167, 0.9875145554542542, -1.1576421864330768, 0.9812172446399927, -1.0291798084974288, 0.9508732259273529, -1.1545981176197528, 1.0071268267929554, -1.0419058918952941, 1.031280990689993, -1.326677080988884, 0.8382366001605988, -1.292674471437931, 1.036513939499855, -1.1620135836303234, 1.0238668955862522, -1.4594976425170898, 1.0294882021844387, -1.0614054918289184, 0.8543081134557724, -1.2769119188189506, 1.0143693909049034, -1.194216535706073, 0.9245707094669342, -1.1968265742063522, 1.1241767406463623, -1.1528439976274967, 0.9773881956934929, -1.122159619629383, 1.0122561734169722, -1.2914875492453575, 0.9605039358139038, -1.2377082079648971, 1.0652458891272545, -1.1895763993263244, 0.8957462459802628, -1.0562205582857132, 1.013080546632409, -1.0880474343895912, 0.8683275282382965, -1.1571009501814842, 1.1400115489959717, -1.1343260005116462, 0.914754644036293, -1.2840654969215393, 1.0023392816074193, -1.111649078130722, 0.9485253803431988, -1.1426755607128143, 0.9876551143825054, -1.3460978835821151, 0.8712480962276459, -1.4343330234289169, 0.8911892995238304, -0.9748921513557434, 0.9121223241090775, -1.2500282868742942, 1.0417690314352512, -1.1427343904972076, 0.9041200429201126, -1.0477241694927215, 1.1011368781328201, -1.1667293056845665, 0.9140102863311768, -1.1312091246247291, 1.078077033162117, -1.2325869470834732, 1.0196085907518864, -1.2080720093101263, 0.933137483894825, -1.2371503084897995, 1.0747011601924896, -1.116400447487831, 0.9853035807609558, -1.1410063177347183, 0.9786667618900537, -1.3521916389465332, 0.7004837989807129, -1.2091599561274051, 0.8773473054170609, -1.1578678347170352, 1.058690868318081, -1.194978342205286, 1.1738337874412537, -1.2529648773372173, 0.9748478308320045, -1.227103029191494, 0.8094208836555481, -1.0950648307800293, 1.0315873473882675, -1.1681595340371131, 1.045588232576847]|24758.9589843750000000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[-1.2339825771526638, 0.8490348843897144, -1.0032479648220847, 1.093685085199471, -1.0249728929661808, 1.1548473794208074, -0.9322292727666907, 0.7644529158249935, -1.0812442683377967, 0.8375624551115937, -1.3687664630535736, 1.2284841348363267, -0.9456480559329814, 0.9242290527905309, -1.0572192274339491, 0.3382621333234357, -1.027442222865915, 0.7763447956349738, -1.4123880604645982, 0.8340536936731565, -1.8380910949894895, 0.7135828747693478, -1.1766091068586564, 0.7943935782600025, -1.2006114961728338, 0.5773928228108656, -1.0660842629913754, 0.6672862719522354, -1.1339536690262586, 0.9300004348268789, -1.2622923272452773, 1.004857768030134, -1.1293048957087775, 0.6487189729964777, -1.1455006434118473, 0.8761586674690593, -1.142063297289779, 1.1343748615985079, -1.3198514788212428, 0.8682507070482859, -1.535191399894443, 1.0097116682608138, -1.0357909528677802, 0.7092409430326327, -1.198936930219475, 1.2023159856145629, -1.3736989494238534, 0.6621349624433261, -1.2324450455199463, 1.0329822032676748, -1.362847170287584, 0.8100440527244497, -1.1346860341430722, 0.8232789141294934, -1.0091607923255632, 0.8495962393704608, -1.1071030914889133, 1.0976375148285604, -1.4673468952168602, 0.6035107899865251, -0.9553237101435245, 0.7014592287310465, -1.093163708080853, 1.1867328578002134, -0.9941303027803403, 1.1512438009064974, -0.913244369939161, 0.9385830841527253, -1.25224800867433, 0.7455633493845923, -1.1667363928000944, 0.554027501867133, -0.9812025248414904, 0.8658801464649138, -1.1767028686694088, 0.8728773668951273, -0.9389013798898352, 0.6634490154292167, -1.2177275753517414, 1.0012072257712603, -0.9964316568210657, 0.9675125271099213, -1.1865530698590707, 0.864909963290777, -1.406900894727514, 0.7894133056515025, -1.053155760371572, 0.918832601494708, -0.9054926055955503, 1.0575120087982488, -1.1154900014796987, 1.0772747676580148, -1.1320617357161389, 0.819576253275355, -1.1075747534307938, 0.9718051771520675, -0.881550319837766, 0.8574763965115002, -1.3432046401759086, 1.3546143195600195]|22159.6621093750000000|      4.00000000|[67, 10, 0, 5]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 41 points | iterate success | actual_k=2
       3|[-1.2339825771526638, 0.8490348843897144, -1.0032479648220847, 1.093685085199471, -1.0249728929661808, 1.1548473794208074, -0.9322292727666907, 0.7644529158249935, -1.0812442683377967, 0.8375624551115937, -1.3687664630535736, 1.2284841348363267, -0.9456480559329814, 0.9242290527905309, -1.0572192274339491, 0.3382621333234357, -1.027442222865915, 0.7763447956349738, -1.4123880604645982, 0.8340536936731565, -1.8380910949894895, 0.7135828747693478, -1.1766091068586564, 0.7943935782600025, -1.2006114961728338, 0.5773928228108656, -1.0660842629913754, 0.6672862719522354, -1.1339536690262586, 0.9300004348268789, -1.2622923272452773, 1.004857768030134, -1.1293048957087775, 0.6487189729964777, -1.1455006434118473, 0.8761586674690593, -1.142063297289779, 1.1343748615985079, -1.3198514788212428, 0.8682507070482859, -1.535191399894443, 1.0097116682608138, -1.0357909528677802, 0.7092409430326327, -1.198936930219475, 1.2023159856145629, -1.3736989494238534, 0.6621349624433261, -1.2324450455199463, 1.0329822032676748, -1.362847170287584, 0.8100440527244497, -1.1346860341430722, 0.8232789141294934, -1.0091607923255632, 0.8495962393704608, -1.1071030914889133, 1.0976375148285604, -1.4673468952168602, 0.6035107899865251, -0.9553237101435245, 0.7014592287310465, -1.093163708080853, 1.1867328578002134, -0.9941303027803403, 1.1512438009064974, -0.913244369939161, 0.9385830841527253, -1.25224800867433, 0.7455633493845923, -1.1667363928000944, 0.554027501867133, -0.9812025248414904, 0.8658801464649138, -1.1767028686694088, 0.8728773668951273, -0.9389013798898352, 0.6634490154292167, -1.2177275753517414, 1.0012072257712603, -0.9964316568210657, 0.9675125271099213, -1.1865530698590707, 0.864909963290777, -1.406900894727514, 0.7894133056515025, -1.053155760371572, 0.918832601494708, -0.9054926055955503, 1.0575120087982488, -1.1154900014796987, 1.0772747676580148, -1.1320617357161389, 0.819576253275355, -1.1075747534307938, 0.9718051771520675, -0.881550319837766, 0.8574763965115002, -1.3432046401759086, 1.3546143195600195]|22159.6621093750000000|      2.00000000|[179, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 101 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[-1.1192582484663407, 1.257047774856443, -1.1231057179473032, 0.9311328335913509, -0.8762037220332565, 1.2122276292625163, -1.1784791085075355, 0.9417378597957656, -0.9571430873543714, 1.0441527484494628, -1.0958191453131312, 1.5627317555912419, -1.0714354103172472, 0.7919422921167516, -0.8604563708545797, 0.5096949055030744, -0.8977958830939161, 1.011223744451098, -1.4246436147076975, 0.8515254182974619, -1.574119768585545, 0.7930058394189263, -0.9323226743540652, 0.9974733609936637, -1.1145025776306712, 0.3877228599821048, -1.1349425329340537, 0.6983646208508224, -0.8490403277661908, 0.8861098458901755, -1.124813346450213, 1.073961091548975, -1.1078064091711206, 0.4817607954904071, -1.122144273423922, 1.241952068944992, -0.5219849514126396, 1.0257309157989078, -1.185179041017423, 0.6993427067186673, -1.2025408963292648, 0.8339806775053606, -1.202690423079513, 0.4910428911025519, -1.376018538025261, 1.1096973311942206, -1.3074205776127723, 0.8575736064576538, -0.8879674454928508, 0.98249145193553, -1.2933065187374653, 0.7582511943533122, -0.7532599091445327, 0.5638926289032704, -0.751803883766294, 0.7048593655259968, -1.210863051428575, 0.8968809130249841, -1.250108733823298, 0.6418884481556077, -0.9256267108690039, 0.5673920422950656, -0.7832833794727996, 0.9240904567499593, -0.9044918506924751, 1.5663304578864365, -0.980945344305844, 0.893697065012701, -1.189503722428977, 0.7617903323230921, -1.171090216972554, 0.8669117040216917, -0.8149900589229915, 1.1003397820996534, -1.1186832072176316, 0.8155283839923706, -0.5796502123713614, 0.6244216305775342, -1.3699175849441185, 0.8709152017491251, -1.131204383256156, 0.9149346053532393, -1.2787910634639559, 0.5898047868004056, -1.2829202458406368, 0.6038495600953333, -0.7485225119398391, 0.4807848839916229, -0.7252666964383672, 1.0198588280919951, -1.186359586502046, 1.0879388944661197, -1.3102382223889915, 0.5319736735353362, -1.2845096505275115, 1.0502230623307032, -0.7831396263188468, 1.1619846775258744, -1.2457960192884205, 1.3077776414868405]|21312.2363281250000000|      4.00000000|[218, 34, 0, 17]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       5|[-1.1192582484663407, 1.257047774856443, -1.1231057179473032, 0.9311328335913509, -0.8762037220332565, 1.2122276292625163, -1.1784791085075355, 0.9417378597957656, -0.9571430873543714, 1.0441527484494628, -1.0958191453131312, 1.5627317555912419, -1.0714354103172472, 0.7919422921167516, -0.8604563708545797, 0.5096949055030744, -0.8977958830939161, 1.011223744451098, -1.4246436147076975, 0.8515254182974619, -1.574119768585545, 0.7930058394189263, -0.9323226743540652, 0.9974733609936637, -1.1145025776306712, 0.3877228599821048, -1.1349425329340537, 0.6983646208508224, -0.8490403277661908, 0.8861098458901755, -1.124813346450213, 1.073961091548975, -1.1078064091711206, 0.4817607954904071, -1.122144273423922, 1.241952068944992, -0.5219849514126396, 1.0257309157989078, -1.185179041017423, 0.6993427067186673, -1.2025408963292648, 0.8339806775053606, -1.202690423079513, 0.4910428911025519, -1.376018538025261, 1.1096973311942206, -1.3074205776127723, 0.8575736064576538, -0.8879674454928508, 0.98249145193553, -1.2933065187374653, 0.7582511943533122, -0.7532599091445327, 0.5638926289032704, -0.751803883766294, 0.7048593655259968, -1.210863051428575, 0.8968809130249841, -1.250108733823298, 0.6418884481556077, -0.9256267108690039, 0.5673920422950656, -0.7832833794727996, 0.9240904567499593, -0.9044918506924751, 1.5663304578864365, -0.980945344305844, 0.893697065012701, -1.189503722428977, 0.7617903323230921, -1.171090216972554, 0.8669117040216917, -0.8149900589229915, 1.1003397820996534, -1.1186832072176316, 0.8155283839923706, -0.5796502123713614, 0.6244216305775342, -1.3699175849441185, 0.8709152017491251, -1.131204383256156, 0.9149346053532393, -1.2787910634639559, 0.5898047868004056, -1.2829202458406368, 0.6038495600953333, -0.7485225119398391, 0.4807848839916229, -0.7252666964383672, 1.0198588280919951, -1.186359586502046, 1.0879388944661197, -1.3102382223889915, 0.5319736735353362, -1.2845096505275115, 1.0502230623307032, -0.7831396263188468, 1.1619846775258744, -1.2457960192884205, 1.3077776414868405]|21312.2363281250000000|      2.00000000|[330, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 63 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 100 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[-1.112753889805165, 1.255544693224455, -1.215806246435614, 0.8689175789148493, -0.8833419712023228, 1.0313416640566635, -1.1454692404727485, 1.002070160240004, -1.0212454718793493, 0.9345576071302011, -1.1289749978285224, 1.5837080347455055, -0.8949864352948826, 0.6885968778569936, -1.2177415270986027, 0.4524484896422715, -0.8067243076719595, 1.1615156743346942, -1.2289246588613312, 0.8691459681582756, -1.753203195084613, 0.5938144027574247, -1.2158218742360796, 0.6654035889727572, -1.0672107104958024, 0.0687162453620826, -1.0869525738211658, 0.4750898420210013, -1.2281053114506073, 0.9267489495219439, -0.7233598460996784, 1.0515537014630103, -0.8639093835502696, 0.8636748305583342, -1.2882369502547477, 1.127289315793743, -0.5787449594190102, 0.6504876090514253, -1.1407538179995804, 0.7582739415345285, -1.2996526037964413, 0.9548992961965602, -1.0613431974188798, 0.155440147497683, -1.3936339890764717, 0.9907027065249097, -1.0292696028262633, 0.7760545855383723, -0.9377410132144504, 1.0873522644619336, -1.1401012346200832, 0.9269718403844279, -0.9676563732961626, 0.5318725046059881, -0.4478264166291923, 0.8239969799599274, -1.4754873160166908, 0.5767142467914581, -1.1544718071823612, 0.5012778736199004, -0.550504715575348, 0.5596357172658324, -1.0123913323830585, 0.9905600222044888, -0.7277117480495178, 1.3316925446302617, -0.8743142270987593, 0.7968862735126114, -1.308104413093472, 0.8444316355333437, -0.8774199302723868, 0.89492164635105, -0.975975479969607, 1.0447768300033702, -0.7903624969457261, 0.7835618185739439, -0.31922410431051, 0.4454521596163084, -1.6377461267615891, 1.2980104532056196, -1.1289080423885367, 1.108856330631177, -0.7563599131716364, 0.7555202901172233, -1.1023511750132058, 0.8716623922545972, -0.4001846509929766, 0.3413821356965189, -0.7500560990428045, 0.8531648848951356, -0.8980239914583493, 1.2498869943457895, -1.0523859506151187, 0.1918994731650205, -1.2366283467881207, 1.0208458957476887, -0.719483607073252, 1.0609693526790354, -1.2070807927966658, 1.566607123774876]|20052.9902343750000000|      4.00000000|[356, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[-1.7005329238661542, 1.0636944093150227, -1.0204058225454258, 1.1069349156930166, -0.6458549768666739, 0.4939100356783309, -1.6450786745596484, 1.0206565735501336, -0.7772171084381919, 1.4972931601428972, -1.2496475314907303, 1.618681700029724, -0.5676590417893415, 0.7001588298849406, -1.3336173216708693, 0.9946487613185938, -0.2259004604382283, 1.1524419560052677, -0.6682656076036914, 1.0503053213036102, -0.850496308296543, 0.1370201053032175, -1.0062790119738019, 0.7844700260079378, -1.002053319529876, 0.2990810948717488, -0.9388966635408288, 0.5850278586556917, -1.6862538228559962, 0.714385255386148, -1.016723761938692, 1.0003850256906168, -0.7454404055014251, 1.1777827199331854, -1.4856330723194868, 1.094323013721045, -0.4372332712895822, 0.1754135461660357, -1.0992077837679628, 0.1958751864497849, -1.363180098553992, 1.401825237679467, -0.9593755329139229, -0.573555438521606, -1.271538422022242, 1.143461721246438, -0.7944679744263965, 0.0011238052533663, -0.7459289466854421, 0.9199550195566539, -0.4213149426602105, 1.4704220981004306, -0.7335336298106095, 0.237457606468331, -1.0838052400413765, 0.377836098059263, -1.3393244187548776, 0.8284175061092052, -0.7241718279683427, -0.4120493359919575, -0.135010207475141, 0.1600808929016971, -0.9510094723673923, 0.4873565227438733, -0.2340239081469431, 0.8065501945907461, -0.5559974542253387, 1.2710780619916382, -1.4996511279388662, 1.1219823887425813, -0.8473791252999104, 1.3773129142380056, -0.5878753534857992, 0.890309871185137, -0.5465322206148648, 1.1497402471643685, -0.6705844530782754, 0.2314656421386026, -0.6738903994926656, 1.1639059184812994, -1.4374028467062803, 0.4527969000611737, -1.0241288617655133, 0.7566852337977524, -0.9010249398509367, -0.3102177261293892, -0.7383935378586178, -0.2098598411453786, -0.8445071777679262, 0.8877549860152859, -0.3498509452022498, 0.5714830982166491, -0.9796878735415879, 0.2550345144801348, -1.2549532926618965, 1.1435658612165693, -0.6195047297381607, 0.3612621519968287, -1.1027799216743468, 1.6903293447143846]|19961.6464843750000000|      8.00000000|[420, 66, 0, 33]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 41 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       8|[-1.7005329238661542, 1.0636944093150227, -1.0204058225454258, 1.1069349156930166, -0.6458549768666739, 0.4939100356783309, -1.6450786745596484, 1.0206565735501336, -0.7772171084381919, 1.4972931601428972, -1.2496475314907303, 1.618681700029724, -0.5676590417893415, 0.7001588298849406, -1.3336173216708693, 0.9946487613185938, -0.2259004604382283, 1.1524419560052677, -0.6682656076036914, 1.0503053213036102, -0.850496308296543, 0.1370201053032175, -1.0062790119738019, 0.7844700260079378, -1.002053319529876, 0.2990810948717488, -0.9388966635408288, 0.5850278586556917, -1.6862538228559962, 0.714385255386148, -1.016723761938692, 1.0003850256906168, -0.7454404055014251, 1.1777827199331854, -1.4856330723194868, 1.094323013721045, -0.4372332712895822, 0.1754135461660357, -1.0992077837679628, 0.1958751864497849, -1.363180098553992, 1.401825237679467, -0.9593755329139229, -0.573555438521606, -1.271538422022242, 1.143461721246438, -0.7944679744263965, 0.0011238052533663, -0.7459289466854421, 0.9199550195566539, -0.4213149426602105, 1.4704220981004306, -0.7335336298106095, 0.237457606468331, -1.0838052400413765, 0.377836098059263, -1.3393244187548776, 0.8284175061092052, -0.7241718279683427, -0.4120493359919575, -0.135010207475141, 0.1600808929016971, -0.9510094723673923, 0.4873565227438733, -0.2340239081469431, 0.8065501945907461, -0.5559974542253387, 1.2710780619916382, -1.4996511279388662, 1.1219823887425813, -0.8473791252999104, 1.3773129142380056, -0.5878753534857992, 0.890309871185137, -0.5465322206148648, 1.1497402471643685, -0.6705844530782754, 0.2314656421386026, -0.6738903994926656, 1.1639059184812994, -1.4374028467062803, 0.4527969000611737, -1.0241288617655133, 0.7566852337977524, -0.9010249398509367, -0.3102177261293892, -0.7383935378586178, -0.2098598411453786, -0.8445071777679262, 0.8877549860152859, -0.3498509452022498, 0.5714830982166491, -0.9796878735415879, 0.2550345144801348, -1.2549532926618965, 1.1435658612165693, -0.6195047297381607, 0.3612621519968287, -1.1027799216743468, 1.6903293447143846]|19961.6464843750000000|      4.00000000|[533, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 78 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 90 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 102 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[-1.2068318452997566, 1.048981958895908, -0.5133161006156358, 0.7746555593924103, -0.2748382148850094, 0.1198285738910055, -1.425139571170821, 0.7052277595537741, -0.9132929881934947, 1.0564596045743861, -1.8005934067984612, 1.6169223638164258, -0.5287327239168526, 1.0753275214640043, -1.0227006053987717, 0.8705155444011655, -0.170152128784635, 0.5205597395057695, -0.4094472340054767, 0.7016602288588808, -0.4206571540599711, -0.4213968345212698, -1.6093394537411667, 1.4446162278504473, -0.61399523463464, 0.4463543947072925, -1.271678050096027, 0.1131033763590067, -1.5595554119039783, 0.1847195348191936, -0.6445762309130489, 0.6865589423813587, -0.6418222702332688, 0.671997459206243, -1.1631386890579243, 0.323301198220885, 0.1474103334719279, 0.2677424611273991, -0.6921960118965127, 0.9183709427921282, -0.7955548965508835, 0.5238631658711068, -0.9075421196966205, -0.3270047060486625, -0.4241419909608111, 1.4771272336289174, -0.1819328170890212, -0.1375650290095378, -0.9352724903024165, 0.5273528838078938, -0.8300048033812941, 1.5610327023566077, -0.4344233817986948, 0.0612289741245552, -0.8884114602343518, 1.0424583297689995, -1.2697689846731548, 0.9635129779945407, -0.8090704824312785, 0.0789909254778187, 0.0820152997369586, -0.1817643507066476, -0.438071132424399, 1.1480538509613676, -0.7004990960621416, 0.9533970032257444, -0.4162051742072461, 1.2721943669113618, -0.9017810525648184, 0.5715711074726756, -0.5388752229588647, 1.6206582442769182, -0.9489741739589803, 0.7324258696947076, -0.1003374178956375, 0.5874204412878361, -0.2266177270482884, 0.1839464624627156, -0.8450000360242889, 0.7699348965536115, -1.885785354364296, 0.6907708805649406, -1.1505430254786295, 0.3268302588142301, -0.8675029904042176, -0.0934740303229075, -0.6037711156583583, 0.290423019855566, -0.874859354115649, 0.1089904549787142, -0.3749643123514813, 0.2977464953373323, -0.7612067674127001, -0.0170075407195514, -0.8344000716305464, 1.314820331277374, -0.8824227225203878, -0.0032489941911607, -0.3943112794867337, 1.285047364250797]|16829.4941406250000000|      8.00000000|[644, 102, 0, 51]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 63 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 100 points | iterate success | actual_k=2
      10|[-1.2068318452997566, 1.048981958895908, -0.5133161006156358, 0.7746555593924103, -0.2748382148850094, 0.1198285738910055, -1.425139571170821, 0.7052277595537741, -0.9132929881934947, 1.0564596045743861, -1.8005934067984612, 1.6169223638164258, -0.5287327239168526, 1.0753275214640043, -1.0227006053987717, 0.8705155444011655, -0.170152128784635, 0.5205597395057695, -0.4094472340054767, 0.7016602288588808, -0.4206571540599711, -0.4213968345212698, -1.6093394537411667, 1.4446162278504473, -0.61399523463464, 0.4463543947072925, -1.271678050096027, 0.1131033763590067, -1.5595554119039783, 0.1847195348191936, -0.6445762309130489, 0.6865589423813587, -0.6418222702332688, 0.671997459206243, -1.1631386890579243, 0.323301198220885, 0.1474103334719279, 0.2677424611273991, -0.6921960118965127, 0.9183709427921282, -0.7955548965508835, 0.5238631658711068, -0.9075421196966205, -0.3270047060486625, -0.4241419909608111, 1.4771272336289174, -0.1819328170890212, -0.1375650290095378, -0.9352724903024165, 0.5273528838078938, -0.8300048033812941, 1.5610327023566077, -0.4344233817986948, 0.0612289741245552, -0.8884114602343518, 1.0424583297689995, -1.2697689846731548, 0.9635129779945407, -0.8090704824312785, 0.0789909254778187, 0.0820152997369586, -0.1817643507066476, -0.438071132424399, 1.1480538509613676, -0.7004990960621416, 0.9533970032257444, -0.4162051742072461, 1.2721943669113618, -0.9017810525648184, 0.5715711074726756, -0.5388752229588647, 1.6206582442769182, -0.9489741739589803, 0.7324258696947076, -0.1003374178956375, 0.5874204412878361, -0.2266177270482884, 0.1839464624627156, -0.8450000360242889, 0.7699348965536115, -1.885785354364296, 0.6907708805649406, -1.1505430254786295, 0.3268302588142301, -0.8675029904042176, -0.0934740303229075, -0.6037711156583583, 0.290423019855566, -0.874859354115649, 0.1089904549787142, -0.3749643123514813, 0.2977464953373323, -0.7612067674127001, -0.0170075407195514, -0.8344000716305464, 1.314820331277374, -0.8824227225203878, -0.0032489941911607, -0.3943112794867337, 1.285047364250797]|16829.4941406250000000|      4.00000000|[758, 120, 0, 60]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 77 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 90 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 103 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[-0.9887972508745576, 0.1829754073990945, -0.6009273733987612, 0.6214560567984284, -0.4164294345646922, 0.5683914554999772, -1.7371237483550814, 0.3282657975082389, -0.9231182302173758, 1.0124546429845251, -1.434569477623465, 1.324707231848262, -0.0431712316524027, 0.6776481946238371, -0.2381693992300781, 1.4837766262092278, -0.8451183028757537, 1.0482824284770533, -0.6796832744212126, 0.5986834108194466, 0.1319569123349722, -0.3648976941381624, -1.4984750611692872, 0.6161207992369011, -0.1549370533165029, 0.3309441760369106, -0.5001031981902763, 0.2958650102245275, -1.4586301481215722, 0.335778009707051, -0.6344778581131382, 0.1972572751591824, -0.8739963130737157, 0.990479634316159, -1.1333782608429028, 0.1895110277977399, 0.3382379749836505, -0.0378283886013251, -0.7882795930969909, 1.5784365307611963, -1.127631564107201, 0.7215665693504988, -0.706962713774762, -0.7195666120605468, -0.2161585373049454, 1.2384601104644766, 0.1292918025853901, 0.4877648984716781, -1.1730821840089585, 0.3114870800436282, -1.096920383642279, 1.330904968822067, -0.1103116870238662, 0.2525595183830109, -1.0960192538001816, 0.763348475406525, -1.3296535449077769, 1.0345644444223148, -0.7349232074165368, -0.2204052759753437, 0.2584876176371572, -0.1807071644978993, -1.5304064274391385, 0.3779319187324057, -0.8136559215077759, 0.6746472925565192, -0.1337469001109126, 0.8100989587564866, -1.2295220583908424, 0.3473588625094551, -0.6928579166080967, 0.9045028290373767, -1.1789062900246448, 0.9998922808013314, 0.0106276774132907, 0.5183679582139422, -0.654937278669742, 0.0295078883568866, -1.4349373954268136, 0.5801895226120696, -1.4619255406623328, 1.025332977791205, -0.4804385618976909, 0.1488419371695327, -0.6872506345274413, 0.4504803092119355, -1.4431823788387241, 0.3191577895526716, -0.7279929300419439, 0.2663153077532162, -0.6233841901389923, 0.9312828118161609, 0.1017581331814597, 0.0014114026475469, -1.4224897119646425, 0.5916510439617474, -0.5846391375074252, 0.3631908014379558, -0.0822334848100599, 1.316120178089875]|14486.8056640625000000|      8.00000000|[820, 130, 0, 65]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | iterate success | actual_k=2
