k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  7.9524924420125593|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.8296207189559937, 0.1922327876091003]                                       |  0.9249036312103271|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-0.8296207189559937, 0.1922327876091003]                                       |  0.9249036312103271|      1.00000000|[8, 2, 1, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[-0.1960127353668213, -0.5814213752746582]                                      |  0.8002700209617615|      2.00000000|[12, 3, 1, 5]                                                              | | GPS sucess | actual_k=1
       4|[-0.1960127353668213, -0.5814213752746582]                                      |  0.8002700209617615|      1.00000000|[15, 5, 2, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.7674165964126587, -0.3134592175483704]                                       |  0.6253209114074707|      2.00000000|[19, 6, 2, 9]                                                              | | GPS sucess | actual_k=1
       6|[0.7674165964126587, -0.3134592175483704]                                       |  0.6253209114074707|      1.00000000|[23, 7, 3, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.7674165964126587, -0.3134592175483704]                                       |  0.6253209114074707|      0.50000000|[28, 8, 4, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.2957046329975128, -0.1476647406816483]                                       |  0.0484074950218201|      1.00000000|[32, 9, 4, 16]                                                             | | GPS sucess | actual_k=1
       9|[0.2957046329975128, -0.1476647406816483]                                       |  0.0484074950218201|      0.50000000|[36, 10, 5, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.2957046329975128, -0.1476647406816483]                                       |  0.0484074950218201|      0.25000000|[40, 12, 6, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
