k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-500.0, -700.0]                                                                |  6.5525197919342713|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-500.10016334056854, -699.005028963089]                                        |  6.5510873794555664|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-498.26502788066864, -698.2098703384399]                                       |  6.5500264167785645|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-497.44037652015686, -690.2524871826172]                                       |  6.5388817787170410|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[-495.1413450241089, -682.5899510383606]                                        |  6.5275774002075195|     16.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[-502.8221426010132, -651.5254158973694]                                        |  6.4809951782226562|     32.00000000|[21, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[-455.32236766815186, -608.632860660553]                                        |  6.4132585525512695|     64.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       7|[-435.7363576889038, -482.14022302627563]                                       |  6.1803321838378906|    128.00000000|[29, 0, 0, 7]                                                              | | GPS sucess | actual_k=0
       8|[-345.1895055770874, -391.66774225234985]                                       |  5.9730134010314941|    256.00000000|[33, 0, 0, 8]                                                              | | GPS sucess | actual_k=0
       9|[-186.93355464935303, -190.44381952285767]                                      |  5.2549600601196289|    512.00000000|[37, 0, 0, 9]                                                              | | GPS sucess | actual_k=0
      10|[-186.93355464935303, -190.44381952285767]                                      |  5.2549600601196289|    256.00000000|[41, 0, 0, 10]                                                             |  | used linear model with 5 points | actual_k=0
      11|[-35.41701412200928, 15.902341365814209]                                        |  4.4743494987487793|    512.00000000|[45, 0, 0, 11]                                                             | | GPS sucess | actual_k=0
      12|[-35.41701412200928, 15.902341365814209]                                        |  4.4743494987487793|    256.00000000|[49, 0, 0, 12]                                                             |  | used linear model with 5 points | actual_k=0
      13|[-35.41701412200928, 15.902341365814209]                                        |  4.4743494987487793|    128.00000000|[53, 0, 0, 13]                                                             |  | used linear model with 5 points | actual_k=0
      14|[-35.41701412200928, 15.902341365814209]                                        |  4.4743494987487793|     64.00000000|[57, 0, 0, 14]                                                             |  | used linear model with 5 points | actual_k=0
      15|[21.408974647521973, -13.539249897003174]                                       |  4.0518260002136230|    128.00000000|[61, 0, 0, 15]                                                             | | GPS sucess | actual_k=0
      16|[21.408974647521973, -13.539249897003174]                                       |  4.0518260002136230|     64.00000000|[65, 0, 0, 16]                                                             |  | used linear model with 5 points | actual_k=0
      17|[-34.71045970916748, -44.306265354156494]                                       |  3.8155586719512939|    128.00000000|[69, 0, 0, 17]                                                             | | GPS sucess | actual_k=0
      18|[-34.71045970916748, -44.306265354156494]                                       |  3.8155586719512939|     64.00000000|[73, 0, 0, 18]                                                             |  | used linear model with 5 points | actual_k=0
      19|[-34.71045970916748, -44.306265354156494]                                       |  3.8155586719512939|     32.00000000|[77, 0, 0, 19]                                                             |  | used linear model with 5 points | actual_k=0
      20|[-10.437682151794434, -23.453632831573486]                                      |  3.1998357772827148|     64.00000000|[81, 0, 0, 20]                                                             | | GPS sucess | actual_k=0
