k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.86, 0.72]                                                                    |1475481.7047999855130911|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.86, 0.72]                                                                    |1475481.7047999855130911|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.86, 0.72]                                                                    |1475481.7047999855130911|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.9701445183157921, 0.944428579211235]                                         |746.4754638671875000|      0.50000000|[15, 0, 2, 5]                                                              | | GPS sucess | actual_k=0
       4|[0.9701445183157921, 0.944428579211235]                                         |746.4754638671875000|      0.25000000|[19, 0, 3, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.9701445183157921, 0.944428579211235]                                         |746.4754638671875000|      0.12500000|[24, 0, 4, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.9701445183157921, 0.944428579211235]                                         |746.4754638671875000|      0.06250000|[29, 0, 5, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.9701445183157921, 0.944428579211235]                                         |746.4754638671875000|      0.03125000|[34, 0, 6, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.9701445183157921, 0.944428579211235]                                         |746.4754638671875000|      0.01562500|[39, 0, 7, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.9701445183157921, 0.944428579211235]                                         |746.4754638671875000|      0.00781250|[44, 0, 8, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.9701445183157921, 0.944428579211235]                                         |746.4754638671875000|      0.00390625|[49, 0, 9, 19]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.9732782946806401, 0.9467605816014111]                                        | 27.8353786468505859|      0.00781250|[54, 0, 9, 20]                                                             | | GPS sucess | actual_k=0
