k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |2959.9411880000002384|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0531036853790283, 4.690107375383377]                                         |1972.1547851562500000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[1.3089735507965088, 3.1809954941272736]                                        |540.9653930664062500|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-0.0148135423660278, -0.473844975233078]                                       |138.9362030029296875|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[-0.0148135423660278, -0.473844975233078]                                       |138.9362030029296875|      4.00000000|[17, 0, 1, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.4678031504154205, 1.6929021179676056]                                        | 21.1730861663818359|      8.00000000|[22, 0, 1, 6]                                                              | | GPS sucess | actual_k=0
       6|[0.4678031504154205, 1.6929021179676056]                                        | 21.1730861663818359|      4.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.548703633248806, 1.532629370689392]                                          | 17.5573234558105469|      8.00000000|[31, 0, 2, 9]                                                              | | GPS sucess | actual_k=0
       8|[0.548703633248806, 1.532629370689392]                                          | 17.5573234558105469|      4.00000000|[35, 0, 3, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.548703633248806, 1.532629370689392]                                          | 17.5573234558105469|      2.00000000|[40, 0, 4, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.548703633248806, 1.532629370689392]                                          | 17.5573234558105469|      1.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.5537744606845081, 1.28656005859375]                                          | 17.2121067047119141|      2.00000000|[50, 0, 5, 16]                                                             | | GPS sucess | actual_k=0
      12|[0.5537744606845081, 1.28656005859375]                                          | 17.2121067047119141|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.5537744606845081, 1.28656005859375]                                          | 17.2121067047119141|      0.50000000|[59, 0, 7, 20]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
