k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5489702820777893, 0.1163929924368858, 0.328338623046875, 0.7496638894081116, 0.1525867283344269, 0.4345364570617676, 0.6576316952705383, 0.4257676005363464, -0.1848170608282089, -0.505072295665741, -0.7533788084983826, -0.0325717180967331, 0.4159857630729675, -0.2395432144403458, 0.0127339018508792, -0.188658282160759, 0.1669849455356598, 0.0615657716989517, 0.7095125317573547, -0.0780480951070786, -0.7219283580780029, 0.0546883046627045]| 13.1938056945800781|      2.00000000|[276, 0, 0, 18]                                                            | | GPS sucess | actual_k=0
       2|[1.6258841156959534, 0.5463666543364525, -0.1125781238079071, 1.8142370581626892, 0.4579594135284424, 0.7840487360954285, -0.2680765390396118, 0.7487341165542603, -0.8675616830587387, 0.0664411187171936, -0.629220224916935, 1.0488075762987137, 1.2717311382293701, 1.2000635713338852, -0.9288472877815366, -0.0641544386744499, 0.3320714682340622, -2.1748472303152084, 0.1523698568344116, -1.0162641257047653, -1.055796205997467, 0.4230234026908875]| 12.1462135314941406|      4.00000000|[551, 0, 0, 36]                                                            | | GPS sucess | actual_k=0
       3|[1.061389684677124, -0.0311064496636391, 0.8387478888034821, 2.1573445200920105, 0.7397752404212952, -0.0807402729988098, -0.1878005638718605, -0.7698237895965576, -1.0629008114337921, 1.1546302437782288, 0.5907479748129845, 0.8893686383962631, 1.3376141339540482, 0.5508816093206406, -0.1596286641433835, 0.1657657101750374, 1.4698100537061691, -2.3882365822792053, -0.5845550298690796, 0.2769277840852737, 0.716440737247467, 1.2493274211883545]| 12.1436243057250977|      8.00000000|[826, 0, 0, 54]                                                            | | GPS sucess | actual_k=0
       4|[0.084504246711731, -0.8556384220719337, 2.1470181047916412, 2.81068217754364, 1.1446343958377838, 0.2772717475891113, 0.5339912995696068, 1.0364407300949097, 0.5114273726940155, 1.4755329489707947, -0.2260762229561806, 0.8100821152329445, 0.5468025952577591, 0.3012187629938126, -0.5075246142223477, 0.3476354107260704, 1.3364893198013306, -3.7016389966011047, 0.6986902952194214, -0.4293556660413742, 1.0253993570804596, 1.5160716474056244]| 12.1404905319213867|     16.00000000|[1101, 0, 0, 72]                                                           | | GPS sucess | actual_k=0
       5|[-1.7263766527175903, -3.1578859463334084, -0.8526504933834076, 4.9474345445632935, 0.3106723725795746, 1.214534044265747, 1.34586950391531, 0.1561976671218872, 0.764299750328064, 4.371268212795258, 0.1285872980952263, 2.358272470533848, 0.2100024074316025, 3.608402505517006, -0.8874214934185147, -1.207927443087101, 0.290553092956543, -3.376249760389328, -1.9004355669021606, -0.5109912157058716, 1.134316772222519, 4.023653835058212]| 12.1362514495849609|     32.00000000|[1376, 0, 0, 90]                                                           | | GPS sucess | actual_k=0
       6|[-5.566665053367615, -2.735244996845722, 14.807823330163956, 5.211068093776703, 8.01334723830223, -1.3094866275787354, -6.3971195593476295, 2.0404300689697266, -2.2239497900009155, 9.19976943731308, -1.8787478879094124, 0.9542560949921608, -10.66674567759037, 8.111411824822426, 2.60704695712775, -10.685879446566105, 5.773840427398682, -8.116153687238693, -10.863889813423157, -9.640811085700989, -9.626154571771622, -0.8406216204166412]| 12.1249494552612305|     64.00000000|[1651, 0, 0, 108]                                                          | | GPS sucess | actual_k=0
       7|[-17.327642798423767, -20.8362829759717, -11.935603946447372, 20.12473577260971, 2.915435403585434, -30.648935556411743, -13.561111964285374, -9.851929664611816, -15.480008482933044, 17.269833028316498, -7.17378181964159, 3.449937142431736, 3.8434491008520126, 15.620262876152992, 22.862084264867008, -25.04333470016718, 11.149772644042969, -0.1567506492137909, -26.704376339912415, -14.296093583106995, -9.44525320827961, 8.621709197759628]| 12.0886249542236328|    128.00000000|[1926, 0, 0, 126]                                                          | | GPS sucess | actual_k=0
       8|[-17.327642798423767, -20.8362829759717, -11.935603946447372, 20.12473577260971, 2.915435403585434, -30.648935556411743, -13.561111964285374, -9.851929664611816, -15.480008482933044, 17.269833028316498, -7.17378181964159, 3.449937142431736, 3.8434491008520126, 15.620262876152992, 22.862084264867008, -25.04333470016718, 11.149772644042969, -0.1567506492137909, -26.704376339912415, -14.296093583106995, -9.44525320827961, 8.621709197759628]| 12.0886249542236328|     64.00000000|[2201, 0, 0, 144]                                                          |  | used quadratic model with 276 points | actual_k=0
       9|[-27.002745032310486, -28.471017606556416, -15.840828984975815, 28.661971032619476, -2.0755657255649567, -31.39013707637787, -3.662787951529026, -15.2895188331604, -15.00424274802208, 13.012881696224213, -21.600679822266102, -2.934333525598049, 6.350047335028648, 5.504691854119301, 15.342001314274967, -22.027339436113834, 15.267517566680908, 2.8406985104084015, -37.73610603809357, -14.9935342669487, -11.850203111767769, 2.6587651669979095]| 12.0870695114135742|    128.00000000|[2476, 0, 0, 162]                                                          | | GPS sucess | actual_k=0
      10|[-54.587005972862244, 12.66921829432249, 14.217575937509537, 42.717611253261566, -7.604804903268814, -39.097323298454285, 16.91094060987234, -34.82258462905884, -16.715455144643784, 48.63820594549179, -12.657542653381824, 19.275764741003513, 64.8775741904974, 1.8646381050348282, 18.271283502690494, -51.13308475166559, 52.54089021682739, 24.145387917757034, -91.58226311206818, -7.044749438762665, 18.78400556743145, 9.777926295995712]| 12.0213937759399414|    256.00000000|[2751, 0, 0, 180]                                                          | | GPS sucess | actual_k=0
      11|[-54.587005972862244, 12.66921829432249, 14.217575937509537, 42.717611253261566, -7.604804903268814, -39.097323298454285, 16.91094060987234, -34.82258462905884, -16.715455144643784, 48.63820594549179, -12.657542653381824, 19.275764741003513, 64.8775741904974, 1.8646381050348282, 18.271283502690494, -51.13308475166559, 52.54089021682739, 24.145387917757034, -91.58226311206818, -7.044749438762665, 18.78400556743145, 9.777926295995712]| 12.0213937759399414|    128.00000000|[3026, 0, 0, 198]                                                          |  | used quadratic model with 276 points | actual_k=0
