k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.50000000|[5, 1, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[-1.1493041038513183, 0.5025767087936401]                                       |412.9393005371093750|      1.00000000|[9, 2, 1, 4]                                                               | | GPS sucess | actual_k=1
       3|[-0.515696120262146, -0.2710774540901184]                                       |  4.0911111831665039|      2.00000000|[12, 3, 1, 5]                                                              | | GPS sucess | actual_k=1
       4|[-0.515696120262146, -0.2710774540901184]                                       |  4.0911111831665039|      1.00000000|[15, 5, 2, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.447733211517334, -0.0031152963638306]                                        |  1.1674849987030029|      2.00000000|[19, 6, 2, 9]                                                              | | GPS sucess | actual_k=1
       6|[0.447733211517334, -0.0031152963638306]                                        |  1.1674849987030029|      1.00000000|[23, 7, 3, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.447733211517334, -0.0031152963638306]                                        |  1.1674849987030029|      0.50000000|[28, 8, 4, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.6937008380889893, 0.4322006106376648]                                        |  1.0616285800933838|      1.00000000|[32, 9, 4, 16]                                                             | | GPS sucess | actual_k=1
       9|[0.6937008380889893, 0.4322006106376648]                                        |  1.0616285800933838|      0.50000000|[36, 10, 5, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.6937008380889893, 0.4322006106376648]                                        |  1.0616285800933838|      0.25000000|[40, 12, 6, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
