k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.721861839294434, 1.5313697457313538, 2.0582194067537785, 1.6774395406246185, 0.5897005021572113]|5798.6899414062500000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[19.89513248205185, 2.5104073882102966, 3.4271163679659367, 2.3727371394634247, 0.6158998448401689]|3676.1386718750000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      4.00000000|[74, 5, 0, 5]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      2.00000000|[102, 7, 0, 7]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      1.00000000|[130, 9, 0, 9]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.50000000|[158, 11, 0, 11]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.25000000|[185, 13, 0, 13]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       9|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.12500000|[212, 15, 0, 15]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      10|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.06250000|[239, 17, 0, 17]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      11|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.03125000|[266, 19, 0, 19]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      12|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.01562500|[293, 21, 0, 21]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      13|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00781250|[320, 23, 0, 23]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      14|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00390625|[347, 25, 0, 25]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      15|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00195312|[374, 27, 0, 27]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      16|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00097656|[401, 29, 0, 29]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      17|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00048828|[428, 31, 0, 31]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      18|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00024414|[455, 33, 0, 33]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      19|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00012207|[482, 35, 0, 35]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      20|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00006104|[509, 37, 0, 37]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      21|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00003052|[536, 39, 0, 39]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      22|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00001526|[563, 41, 0, 41]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      23|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000763|[590, 43, 0, 43]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      24|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000381|[617, 45, 0, 45]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      25|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000191|[644, 47, 0, 47]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      26|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000095|[671, 49, 0, 49]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      27|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000048|[698, 51, 0, 51]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
