k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.234354689717293, 2.0671367198228836, 2.081706613302231, 1.2000808119773865, 0.4300403714179993]|5149.0278320312500000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[21.200080171227455, 2.5790417939424515, 2.3105552941560745, 1.9569413661956787, 0.3303068548440933]|4824.5405273437500000|      4.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       3|[19.007201686501503, 2.58366879215464, 3.1668368130922318, 2.0905044972896576, 0.5367723673582077]|3000.9248046875000000|      8.00000000|[43, 6, 0, 3]                                                              | | GPS sucess | actual_k=2
       4|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|     16.00000000|[57, 8, 0, 4]                                                              | | GPS sucess | actual_k=2
       5|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      8.00000000|[85, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      4.00000000|[113, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      2.00000000|[141, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      1.00000000|[169, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      0.50000000|[196, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      10|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      0.25000000|[223, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      11|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      0.12500000|[250, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      12|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      0.06250000|[277, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      0.03125000|[304, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      14|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      0.01562500|[331, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      15|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      0.00781250|[358, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      16|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      0.00390625|[385, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      17|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      0.00195312|[412, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      18|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      0.00097656|[439, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      19|[18.098482564091682, -0.5438403249718249, -1.9244183748960495, 6.3657892644405365, -0.0662235051393509]|-100000002004087734272.0000000000000000|      0.00048828|[466, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
