k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[500.0, 0.0001]                                                                 |11603.0164118767152104|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      1.00000000|[11, 0, 0, 3]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.50000000|[17, 0, 0, 5]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.25000000|[23, 0, 0, 7]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.12500000|[29, 0, 0, 9]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.06250000|[35, 0, 0, 11]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.03125000|[40, 0, 0, 13]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.01562500|[45, 0, 0, 15]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.00781250|[50, 0, 0, 17]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.00390625|[55, 0, 0, 19]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.00195312|[60, 0, 0, 21]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
