k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.738641440868378, 1.8796588703989983, 1.6671944856643677, 2.1813641637563705, 0.5435038924217224]|4436.3852539062500000|      2.00000000|[17, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[19.10193830728531, 2.756475619971752, 1.3012897968292236, 2.7596098631620407, 0.5608008436858654]|3463.4685058593750000|      4.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       3|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      8.00000000|[49, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      4.00000000|[81, 0, 0, 5]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      2.00000000|[113, 0, 0, 7]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      1.00000000|[145, 0, 0, 9]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      0.50000000|[177, 0, 0, 11]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      0.25000000|[208, 0, 0, 13]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       9|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      0.12500000|[239, 0, 0, 15]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      10|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      0.06250000|[270, 0, 0, 17]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      11|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      0.03125000|[301, 0, 0, 19]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      12|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      0.01562500|[332, 0, 0, 21]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      13|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      0.00781250|[363, 0, 0, 23]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      14|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      0.00390625|[394, 0, 0, 25]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      15|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      0.00195312|[425, 0, 0, 27]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      16|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      0.00097656|[456, 0, 0, 29]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      17|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      0.00048828|[487, 0, 0, 31]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      18|[19.459868669509888, -0.3769274428486824, 1.9215102195739746, 2.844693273305893, 0.3863996945321559]|-100000002004087734272.0000000000000000|      0.00024414|[518, 0, 0, 33]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
