k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-506.0, -506.2]                                                                |25614.3346824171749176|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-505.16838079690933, -505.9546417862177]                                       |25559.2597656250000000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-505.2966177761555, -504.5414178043604]                                        |25494.3359375000000000|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-501.85362365841866, -503.4527878433466]                                       |25266.0937500000000000|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[-496.16954639554024, -497.82587524950503]                                      |24701.0625000000000000|     16.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[-501.082815438509, -485.801913228631]                                          |24354.3750000000000000|     32.00000000|[21, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[-478.7190420925617, -470.792635884881]                                         |22541.0800781250000000|     64.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       7|[-433.1606810390949, -458.97290226519107]                                       |19914.2832031250000000|    128.00000000|[29, 0, 0, 7]                                                              | | GPS sucess | actual_k=0
       8|[-385.4672110378742, -377.09751316607]                                          |14539.3867187500000000|    256.00000000|[33, 0, 0, 8]                                                              | | GPS sucess | actual_k=0
       9|[-226.60771396756172, -479.72035404741763]                                      |14074.1337890625000000|    512.00000000|[37, 0, 0, 9]                                                              | | GPS sucess | actual_k=0
      10|[-245.61835125088692, -130.49797245562075]                                      |3868.2319335937500000|   1024.00000000|[41, 0, 0, 10]                                                             | | GPS sucess | actual_k=0
      11|[-245.61835125088692, -130.49797245562075]                                      |3868.2319335937500000|    512.00000000|[45, 0, 0, 11]                                                             |  | used linear model with 5 points | actual_k=0
      12|[-245.61835125088692, -130.49797245562075]                                      |3868.2319335937500000|    256.00000000|[49, 0, 0, 12]                                                             |  | used linear model with 5 points | actual_k=0
      13|[-207.47660472989082, 53.76782039105893]                                        |2297.0305175781250000|    512.00000000|[53, 0, 0, 13]                                                             | | GPS sucess | actual_k=0
      14|[-207.47660472989082, 53.76782039105893]                                        |2297.0305175781250000|    256.00000000|[57, 0, 0, 14]                                                             |  | used linear model with 5 points | actual_k=0
      15|[8.127261847257614, -56.63022038042544]                                         |164.1819458007812500|    512.00000000|[61, 0, 0, 15]                                                             | | GPS sucess | actual_k=0
      16|[8.127261847257614, -56.63022038042544]                                         |164.1819458007812500|    256.00000000|[65, 0, 0, 16]                                                             |  | used linear model with 5 points | actual_k=0
      17|[8.127261847257614, -56.63022038042544]                                         |164.1819458007812500|    128.00000000|[69, 0, 0, 17]                                                             |  | used linear model with 5 points | actual_k=0
      18|[8.127261847257614, -56.63022038042544]                                         |164.1819458007812500|     64.00000000|[73, 0, 0, 18]                                                             |  | used linear model with 5 points | actual_k=0
      19|[-10.79229000210762, -41.784452405571926]                                       | 93.1211090087890625|    128.00000000|[77, 0, 0, 19]                                                             | | GPS sucess | actual_k=0
      20|[-10.79229000210762, -41.784452405571926]                                       | 93.1211090087890625|     64.00000000|[81, 0, 0, 20]                                                             |  | used linear model with 5 points | actual_k=0
