k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.70478603243828, 149.88216074556112, -100.10912279039621, 0.765317901968956, 1.7136799693107605]|86821.7500000000000000|      2.00000000|[17, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[48.35642072558403, 149.6192156895995, -101.39136866480112, 0.3270761221647263, 1.1877898573875427]|82667.8671875000000000|      4.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       3|[43.29135724902153, 148.3551493510604, -105.88231877237558, 0.2703591324388981, 5.259081780910492]|66469.8906250000000000|      8.00000000|[49, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[36.90498849749565, 160.35078533738852, -113.08029869943857, 2.9254175163805485, 1.7293867468833923]|49066.8007812500000000|     16.00000000|[65, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|     32.00000000|[81, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|     16.00000000|[113, 0, 0, 7]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      8.00000000|[145, 0, 0, 9]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      4.00000000|[177, 0, 0, 11]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      2.00000000|[209, 0, 0, 13]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      1.00000000|[241, 0, 0, 15]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.50000000|[273, 0, 0, 17]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.25000000|[305, 0, 0, 19]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.12500000|[337, 0, 0, 21]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.06250000|[368, 0, 0, 23]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      15|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.03125000|[399, 0, 0, 25]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      16|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.01562500|[430, 0, 0, 27]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      17|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.00781250|[461, 0, 0, 29]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      18|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.00390625|[492, 0, 0, 31]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      19|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.00195312|[523, 0, 0, 33]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      20|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.00097656|[554, 0, 0, 35]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      21|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.00048828|[585, 0, 0, 37]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      22|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.00024414|[616, 0, 0, 39]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      23|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.00012207|[647, 0, 0, 41]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      24|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.00006104|[678, 0, 0, 43]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      25|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.00003052|[709, 0, 0, 45]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      26|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.00001526|[740, 0, 0, 47]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      27|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.00000763|[771, 0, 0, 49]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      28|[35.502614825963974, 158.24722488969564, -114.67047253996134, -12.219873812049627, -2.47773414850235]|-100000002004087734272.0000000000000000|      0.00000381|[802, 0, 0, 51]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
