k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.70667412877083, 149.68877786397934, -100.36268353462219, 1.019761472940445, 2.827750563621521]|86733.6796875000000000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[49.07942113280296, 148.68100768327713, -98.99067890644073, 1.5890643298625946, 3.447791337966919]|84723.7656250000000000|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[47.72010084986687, 145.74144583940506, -100.90946841239929, 0.4232707917690277, 4.133645296096802]|79593.7890625000000000|      8.00000000|[10, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[42.17432874288903, 148.5097913519651, -100.92696717433034, 4.350089477922861, 0.9460970752914601]|63151.3437500000000000|     16.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       5|[37.15630477514611, 140.44762990634743, -108.412028343001, -2.3722272640204984, -7.09164649312895]|-100000002004087734272.0000000000000000|     32.00000000|[20, 7, 0, 7]                                                              | | GPS sucess | actual_k=1
       6|[37.15630477514611, 140.44762990634743, -108.412028343001, -2.3722272640204984, -7.09164649312895]|-100000002004087734272.0000000000000000|     16.00000000|[29, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[37.15630477514611, 140.44762990634743, -108.412028343001, -2.3722272640204984, -7.09164649312895]|-100000002004087734272.0000000000000000|      8.00000000|[37, 15, 0, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[37.15630477514611, 140.44762990634743, -108.412028343001, -2.3722272640204984, -7.09164649312895]|-100000002004087734272.0000000000000000|      4.00000000|[45, 19, 0, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[37.15630477514611, 140.44762990634743, -108.412028343001, -2.3722272640204984, -7.09164649312895]|-100000002004087734272.0000000000000000|      2.00000000|[53, 23, 0, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[37.15630477514611, 140.44762990634743, -108.412028343001, -2.3722272640204984, -7.09164649312895]|-100000002004087734272.0000000000000000|      1.00000000|[62, 27, 0, 27]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[37.15630477514611, 140.44762990634743, -108.412028343001, -2.3722272640204984, -7.09164649312895]|-100000002004087734272.0000000000000000|      0.50000000|[71, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[37.15630477514611, 140.44762990634743, -108.412028343001, -2.3722272640204984, -7.09164649312895]|-100000002004087734272.0000000000000000|      0.25000000|[79, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[37.15630477514611, 140.44762990634743, -108.412028343001, -2.3722272640204984, -7.09164649312895]|-100000002004087734272.0000000000000000|      0.12500000|[87, 40, 0, 40]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[37.15630477514611, 140.44762990634743, -108.412028343001, -2.3722272640204984, -7.09164649312895]|-100000002004087734272.0000000000000000|      0.06250000|[92, 44, 0, 44]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      15|[37.15630477514611, 140.44762990634743, -108.412028343001, -2.3722272640204984, -7.09164649312895]|-100000002004087734272.0000000000000000|      0.03125000|[98, 48, 0, 48]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
