k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.50000000|[6, 4, 0, 4]                                                               |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.25000000|[10, 9, 0, 9]                                                              |  | trying linear partial model with 4 points | trying linear partial model with 5 points | trying linear partial model with 7 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       3|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.12500000|[15, 13, 0, 13]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=1
       4|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.06250000|[20, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=1
       5|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.03125000|[26, 21, 0, 21]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       6|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.01562500|[31, 25, 0, 25]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=1
       7|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00781250|[37, 29, 0, 29]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       8|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00390625|[42, 33, 0, 33]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=1
       9|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00195312|[47, 37, 0, 37]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      10|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00097656|[53, 41, 0, 41]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
