k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.47784751653671, 150.37437790632248, -99.98536512907594, 1.1081936210393906, 2.283055752515793]|86180.7187500000000000|      2.00000000|[17, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[48.0817808508873, 149.35899037122726, -99.27405051048845, 0.9975084513425827, 2.3818936944007874]|81544.7109375000000000|      4.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       3|[46.35896569490433, 148.5745205283165, -99.38529068883508, 1.8989813178777695, 2.810634136199951]|75903.5234375000000000|      8.00000000|[49, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[42.49882489442825, 151.25709408521652, -102.73530227597803, 4.950802311301231, 1.4153708219528198]|64244.5351562500000000|     16.00000000|[65, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|     32.00000000|[81, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|     16.00000000|[113, 0, 0, 7]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      8.00000000|[145, 0, 0, 9]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      4.00000000|[177, 0, 0, 11]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      2.00000000|[209, 0, 0, 13]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      1.00000000|[240, 0, 0, 15]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      11|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      0.50000000|[271, 0, 0, 17]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      12|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      0.25000000|[302, 0, 0, 19]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      13|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      0.12500000|[333, 0, 0, 21]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      14|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      0.06250000|[364, 0, 0, 23]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      15|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      0.03125000|[395, 0, 0, 25]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      16|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      0.01562500|[426, 0, 0, 27]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      17|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      0.00781250|[457, 0, 0, 29]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      18|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      0.00390625|[488, 0, 0, 31]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      19|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      0.00195312|[519, 0, 0, 33]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      20|[43.43526512384415, 146.35424774885178, -101.12688810285181, -4.273827090859413, -6.4118815660476685]|-100000002004087734272.0000000000000000|      0.00097656|[550, 0, 0, 35]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
