k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-506.0, -506.2]                                                                |25614.3346824171749176|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-505.71107426285744, -505.6849495887756]                                       |25573.6621093750000000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-504.8616747558117, -504.2633599758148]                                        |25458.3535156250000000|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-505.81885877251625, -501.69539923667907]                                      |25377.5703125000000000|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[-503.8524786531925, -498.50167269706725]                                       |25119.3867187500000000|     16.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[-492.9805103838444, -493.7112135410309]                                        |24339.0625000000000000|     32.00000000|[21, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[-490.8869964182377, -476.7777895450592]                                        |23414.3906250000000000|     64.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       7|[-440.9365684092045, -440.538184595108]                                         |19425.0214843750000000|    128.00000000|[29, 0, 0, 7]                                                              | | GPS sucess | actual_k=0
       8|[-398.1292792856693, -345.71961159706115]                                       |13901.5087890625000000|    256.00000000|[33, 0, 0, 8]                                                              | | GPS sucess | actual_k=0
       9|[-349.31711116433144, -221.6266092777252]                                       |8557.0576171875000000|    512.00000000|[37, 0, 0, 9]                                                              | | GPS sucess | actual_k=0
      10|[33.64397892355919, -88.66001076698302]                                         |449.9095458984375000|   1024.00000000|[41, 0, 0, 10]                                                             | | GPS sucess | actual_k=0
      11|[33.64397892355919, -88.66001076698302]                                         |449.9095458984375000|    512.00000000|[45, 0, 0, 11]                                                             |  | used linear model with 5 points | actual_k=0
      12|[43.41342815756798, -20.396964502334583]                                        |115.2131652832031250|   1024.00000000|[49, 0, 0, 12]                                                             | | GPS sucess | actual_k=0
      13|[43.41342815756798, -20.396964502334583]                                        |115.2131652832031250|    512.00000000|[53, 0, 0, 13]                                                             |  | used linear model with 5 points | actual_k=0
      14|[43.41342815756798, -20.396964502334583]                                        |115.2131652832031250|    256.00000000|[57, 0, 0, 14]                                                             |  | used linear model with 5 points | actual_k=0
      15|[43.41342815756798, -20.396964502334583]                                        |115.2131652832031250|    128.00000000|[61, 0, 0, 15]                                                             |  | used linear model with 5 points | actual_k=0
      16|[5.929991573095322, 23.32494025230409]                                          | 29.4557933807373047|    256.00000000|[65, 0, 0, 16]                                                             | | GPS sucess | actual_k=0
      17|[5.929991573095322, 23.32494025230409]                                          | 29.4557933807373047|    128.00000000|[69, 0, 0, 17]                                                             |  | used linear model with 5 points | actual_k=0
      18|[5.929991573095322, 23.32494025230409]                                          | 29.4557933807373047|     64.00000000|[73, 0, 0, 18]                                                             |  | used linear model with 5 points | actual_k=0
      19|[5.024699777364731, -9.374499750137318]                                         |  5.6574168205261230|    128.00000000|[77, 0, 0, 19]                                                             | | GPS sucess | actual_k=0
      20|[5.024699777364731, -9.374499750137318]                                         |  5.6574168205261230|     64.00000000|[81, 0, 0, 20]                                                             |  | used linear model with 5 points | actual_k=0
