k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.164976716041565, 149.69637855887413, -99.73232147097588, 0.9890022054314613, 1.8047065883874893]|85060.5468750000000000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[47.79779803752899, 149.42135846614838, -98.89167210459709, 1.839293159544468, 1.3162735849618912]|80715.3984375000000000|      4.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       3|[44.646817564964294, 147.4336119890213, -98.9591503366828, 1.6355678364634514, 1.682853177189827]|70532.0312500000000000|      8.00000000|[43, 6, 0, 3]                                                              | | GPS sucess | actual_k=2
       4|[39.26496970653534, 148.53727805614471, -98.31902923434973, 6.072956256568432, 5.006921961903572]|55637.6171875000000000|     16.00000000|[57, 8, 0, 4]                                                              | | GPS sucess | actual_k=2
       5|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|     32.00000000|[71, 10, 0, 5]                                                             | | GPS sucess | actual_k=2
       6|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|     16.00000000|[99, 14, 0, 7]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      8.00000000|[127, 18, 0, 9]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      4.00000000|[155, 22, 0, 11]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      2.00000000|[183, 26, 0, 13]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      1.00000000|[211, 30, 0, 15]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.50000000|[239, 34, 0, 17]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.25000000|[266, 38, 0, 19]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.12500000|[293, 42, 0, 21]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      14|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.06250000|[320, 46, 0, 23]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      15|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.03125000|[347, 50, 0, 25]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      16|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.01562500|[374, 54, 0, 27]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      17|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.00781250|[401, 58, 0, 29]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      18|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.00390625|[428, 62, 0, 31]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      19|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.00195312|[455, 66, 0, 33]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      20|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.00097656|[482, 70, 0, 35]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      21|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.00048828|[510, 74, 1, 38]                                                           |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=2
      22|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.00024414|[537, 78, 1, 40]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      23|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.00012207|[564, 82, 1, 42]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      24|[36.49104368686676, 149.35805636644363, -94.14388408511877, -6.4446180537343025, -2.483110710978508]|-100000002004087734272.0000000000000000|      0.00006104|[591, 86, 1, 44]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
