k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8118204474449158, -0.4303163886070251, 0.1366981267929077, -0.1241499334573746, 0.0500223077833652, 0.5973958969116211, -0.0665309205651283, 0.1957527548074722, 0.2100601643323898, -0.1360933184623718, -0.7493019700050354, 0.3265085816383362, 0.8066514730453491, 0.3345632553100586, -0.5580964684486389, 0.3450148403644562, -0.0915606692433357, -0.5874519944190979, -0.5630953311920166, 0.3294865190982819, 0.1242650523781776, 0.033902995288372]| 14.1588020324707031|      2.00000000|[49, 16, 0, 1]                                                             | | GPS sucess | actual_k=16
       2|[1.5304731130599976, -0.5164227709174156, 0.8467053771018982, 1.108986720442772, -0.368226882070303, 0.0752682685852051, 0.4627896174788475, -0.1037186831235886, -0.0379549264907837, -0.0151680484414101, -0.9083802700042725, 0.467273086309433, 0.7689163945615292, 0.0703969597816467, -0.8654545545578003, 0.5294992327690125, -0.3974956944584846, -0.8558016121387482, -0.5156950317323208, 0.1840825378894806, -0.1821705028414726, 0.2074235007166862]| 12.3015518188476562|      4.00000000|[97, 32, 0, 2]                                                             | | GPS sucess | actual_k=16
       3|[1.4748468548059464, 0.0576399937272072, 1.311724990606308, 1.7453356236219406, 0.2340682186186314, -0.2133511602878571, 1.8370728120207787, 0.2875934392213821, -0.6453431844711304, 1.1765400394797325, -0.4802660644054413, 1.323045402765274, 0.9217183254659176, 0.764299750328064, -0.2645321488380432, -1.929514467716217, -0.6235360130667686, -1.3017475306987762, 0.1054543294012547, 0.4333055317401886, -1.5259728357195854, -0.453792579472065]| 12.1446094512939453|      8.00000000|[145, 48, 0, 3]                                                            | | GPS sucess | actual_k=16
       4|[1.4677975117228925, -0.1011369153857231, 1.4350245296955109, 1.8036308623850346, 0.3542079515755177, 2.703871339559555, 3.452549420297146, 0.4836193025112152, 3.986396908760071, 1.4260426983237267, -1.6363352239131927, 2.8227297365665436, 1.8290065787732601, -2.0638900995254517, 2.5310763716697693, -0.2037022709846497, -1.5046701654791832, -1.4791811853647232, 1.1768933571875095, 2.4348643124103546, -0.2298781797289848, 0.198031060397625]| 12.1445245742797852|     16.00000000|[193, 64, 0, 4]                                                            | | GPS sucess | actual_k=16
       5|[1.4677975117228925, -0.1011369153857231, 1.4350245296955109, 1.8036308623850346, 0.3542079515755177, 2.703871339559555, 3.452549420297146, 0.4836193025112152, 3.986396908760071, 1.4260426983237267, -1.6363352239131927, 2.8227297365665436, 1.8290065787732601, -2.0638900995254517, 2.5310763716697693, -0.2037022709846497, -1.5046701654791832, -1.4791811853647232, 1.1768933571875095, 2.4348643124103546, -0.2298781797289848, 0.198031060397625]| 12.1445245742797852|      8.00000000|[252, 85, 0, 6]                                                            |  | used linear model with 65 points | actual_k=16
       6|[1.4527543582953513, -0.4400531575083733, 1.6980156600475311, 1.7383195646107197, 0.6105172224342823, 2.968313992023468, 3.65509744733572, 0.8750801086425781, 3.994719577021897, 1.8908975645899773, -0.4688094556331635, 3.1290650069713593, 5.840319540351629, -2.240791216492653, 3.2735212445259094, 3.0275320410728455, -2.949204944074154, -0.0851105600595474, 4.248326186090708, -2.1373288333415985, -0.72498469799757, -0.0857937708497047]| 12.1440095901489258|     16.00000000|[300, 101, 0, 7]                                                           | | GPS sucess | actual_k=16
       7|[1.4527543582953513, -0.4400531575083733, 1.6980156600475311, 1.7383195646107197, 0.6105172224342823, 2.968313992023468, 3.65509744733572, 0.8750801086425781, 3.994719577021897, 1.8908975645899773, -0.4688094556331635, 3.1290650069713593, 5.840319540351629, -2.240791216492653, 3.2735212445259094, 3.0275320410728455, -2.949204944074154, -0.0851105600595474, 4.248326186090708, -2.1373288333415985, -0.72498469799757, -0.0857937708497047]| 12.1440095901489258|      8.00000000|[358, 123, 0, 9]                                                           |  | used linear model with 65 points | actual_k=16
       8|[1.4527543582953513, -0.4400531575083733, 1.6980156600475311, 1.7383195646107197, 0.6105172224342823, 2.968313992023468, 3.65509744733572, 0.8750801086425781, 3.994719577021897, 1.8908975645899773, -0.4688094556331635, 3.1290650069713593, 5.840319540351629, -2.240791216492653, 3.2735212445259094, 3.0275320410728455, -2.949204944074154, -0.0851105600595474, 4.248326186090708, -2.1373288333415985, -0.72498469799757, -0.0857937708497047]| 12.1440095901489258|      4.00000000|[419, 142, 0, 11]                                                          |  | used linear model with 65 points | actual_k=16
       9|[1.3994686068035662, -1.5943627879023552, 2.3576591312885284, 1.7357957870699465, 1.3327531404793262, 3.1504006683826447, 4.492779217660427, 1.9176582098007202, 4.641918552108109, 2.9455788657069206, 0.2729019820690155, 3.254808485507965, 5.583625879138708, -1.380138710141182, 2.9906877875328064, 2.911885477602482, -3.4299309477210045, 1.4046870321035385, 2.413293842226267, -2.97773215174675, -2.1979724690318108, -0.5274674668908119]| 12.1430654525756836|      8.00000000|[467, 158, 0, 12]                                                          | | GPS sucess | actual_k=16
      10|[1.3994686068035662, -1.5943627879023552, 2.3576591312885284, 1.7357957870699465, 1.3327531404793262, 3.1504006683826447, 4.492779217660427, 1.9176582098007202, 4.641918552108109, 2.9455788657069206, 0.2729019820690155, 3.254808485507965, 5.583625879138708, -1.380138710141182, 2.9906877875328064, 2.911885477602482, -3.4299309477210045, 1.4046870321035385, 2.413293842226267, -2.97773215174675, -2.1979724690318108, -0.5274674668908119]| 12.1430654525756836|      4.00000000|[528, 177, 0, 14]                                                          |  | used linear model with 65 points | actual_k=16
      11|[1.3959439352620393, -1.6737512424588203, 2.41930890083313, 1.7649434064514935, 1.3928230069577694, 4.464826852083206, 5.300517521798611, 2.0156711414456367, 6.95778859872371, 3.0703301951289177, -0.3051325976848602, 4.0046506524086, 6.037270005792379, -2.7942336350679398, 4.388492047786713, 4.001586176455021, -3.8704980239272118, 1.315970204770565, 2.907242212444544, -1.9769527614116669, -1.5499251410365105, -0.2015556469559669]| 12.1427717208862305|      8.00000000|[576, 193, 0, 15]                                                          | | GPS sucess | actual_k=16
