k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0131906021214415, -0.0244913244518429, -0.035595987107683, -0.0465045905525231, -0.0572171357196858, -0.0677336198132033, -0.078054046560366, -0.1346881074742487, -0.0981067205620463, -0.1078389687478864, -0.1173751595863716, -0.1267152874935666, -0.1358593580444067, -0.1448073712578919, -0.1535593233887321, -0.1621152163195722, -0.1704750481777672, -0.1786388226786073, -0.1866065398420925, -0.1943781977855778, -0.2019537928037727, -0.209333332337258, -0.2165168126507433, -0.2235042300389382, -0.2302955882171332, -0.2368908909006184, -0.2432901306588134, -0.2494933149322986, -0.2555004399957839, -0.2613115021139789, -0.2669265087574642, -0.2723454524656591, -0.2775683406891444, -0.2825951696926297, -0.2381567438500673, -0.2920606463643098, -0.2964992902972145, -0.3007418899212804, -0.304788415434185, -0.3086388817370897, -0.3122933037211555, -0.3157516516040602, -0.3190139477275454, -0.3220801846410307, -0.324950362344516, -0.3276244733874206, -0.3301025401214865, -0.3323845327443912, -0.3344704736078764, -0.3363603552613617, -0.3380541702542663, -0.3395519334877516, -0.3408536375112369, -0.3419592823247222, -0.3428688604776268, -0.3435823943216927, -0.3440998540545973, -0.3444212620280825, -0.3445466107915678, -0.3444758928944725, -0.3442091232479578, -0.3437462869308624, -0.3430874063049283, -0.3422324515678329, -0.3411814450713182, -0.3399343793648035, -0.3384912544482888, -0.3368520628811934, -0.3350168269952593, -0.3329855169981639, -0.3307581477910686, -0.3283347342851344, -0.3257152541086197, -0.3228997072715244, -0.319888101224429, -0.3166804508784948, -0.3132767413125607, -0.3096769576354654, -0.30588111475837, -0.3018892126612747, -0.2977012513541794, -0.2933172457482452, -0.2887371809223111, -0.2839610419952158, -0.2789888438481204, -0.2738206013921863, -0.2684562848350909, -0.2628959090579956, -0.2571394889820615, -0.2511870096871273, -0.245038456285032, -0.2386938436729366, -0.2321531718508413, -0.225416440818746, -0.218483680378973, -0.2113548309278777, -0.2040299222657823, -0.196508954394687, -0.1887919422137529, -0.1808788559227575]| 99.6904830932617188|      2.00000000|[17, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[-0.0199658853761245, -0.0346542497995287, -0.0491465536170491, -0.0634427982235694, -0.0775429864150574, -0.09144710980761, -0.1051551795790981, -0.1651768797920158, -0.1319831359041388, -0.1451030252516591, -0.1580268609771149, -0.1707546263206998, -0.1832863380332201, -0.1956219961336759, -0.2010924294475681, -0.2197051235187165, -0.2314525928133014, -0.2430040084758218, -0.2543593705262776, -0.2655186733567333, -0.2764819058113182, -0.287249090231774, -0.2978202154322298, -0.3081952702568146, -0.3183742658713995, -0.3283572134418553, -0.3381440906364402, -0.347734919796896, -0.3571296897473518, -0.3663283893019367, -0.3753310408323924, -0.3841376219769773, -0.3927481550874331, -0.4011626289778889, -0.3628625278728754, -0.4174033879729295, -0.4252296618916435, -0.4328599213038411, -0.4402940768025551, -0.4475321730912691, -0.4545742548634666, -0.4614202327321806, -0.4680701737426364, -0.4745240555430922, -0.480781878133548, -0.4868436191622619, -0.4927093456844596, -0.4983789682931735, -0.5038525540436293, -0.509130080584085, -0.514211525562799, -0.5190969336832548, -0.5237862825937106, -0.5282795722941664, -0.5325767804328804, -0.536677974065078, -0.540583063783792, -0.5442921166442477, -0.5478051102947035, -0.5511220223834175, -0.5542428976238734, -0.5571676912925873, -0.5598964704547849, -0.5624291457034989, -0.5647657840939546, -0.5669063632744105, -0.5688508832448662, -0.5705993216635802, -0.5721517455657777, -0.5735080655544917, -0.5746683263332057, -0.5756325726154032, -0.5764007373258591, -0.5769728204745731, -0.577348844413287, -0.5775288538554846, -0.5775128040776822, -0.5773006503863962, -0.5768924374951101, -0.5762881653838241, -0.5754878340625381, -0.5744914882447357, -0.5732990832069333, -0.5719105742656473, -0.5703260061043612, -0.5685454234365588, -0.5665687368652728, -0.5643959910739869, -0.5620272307861844, -0.559462411279382, -0.5567014878630959, -0.55374450523681, -0.5505914634005239, -0.547242362354238, -0.5436972915049191, -0.539956072039633, -0.536018793363347, -0.531885455478061, -0.5275561030852586, -0.5230306467800726]| 99.2217864990234375|      4.00000000|[49, 0, 0, 3]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
       3|[-0.0335164518854906, -0.0549801004949003, -0.0762476866357811, -0.0973192135656619, -0.1181946878058007, -0.1388740897964235, -0.1593574456165622, -0.2261544244275501, -0.1997359665883238, -0.2196311382592046, -0.2393302637586014, -0.2588333039749661, -0.2781402980108469, -0.2972512458852437, -0.3094969615224963, -0.3348849379170052, -0.35340768208437, -0.3717343800702508, -0.3898650318946476, -0.4077996244990444, -0.4255381318264091, -0.443080606020806, -0.4604270209952028, -0.4775773506925675, -0.4945316211799322, -0.5112898585243291, -0.5278520105916938, -0.5442181295260906, -0.5603881892504874, -0.5763621636778522, -0.592140104982249, -0.6077219609996137, -0.6231077838840106, -0.6382975475484074, -0.6067727064150126, -0.573126706430533, -0.6826904050805016, -0.6970959840689626, -0.7113053995392952, -0.7253187557996279, -0.7391361571480888, -0.7527573949884214, -0.8250918631576144, -0.7794117973472151, -0.792444909711612, -0.8052819107119445, -0.8179229568104056, -0.8303678393907382, -0.842616714915135, -0.8546695312295318, -0.8665262361798645, -0.8781869340742613, -0.8896515727586581, -0.900920152233055, -0.9119926203433876, -0.9228691335518486, -0.9335494832421812, -0.944033825876578, -0.9543221093009748, -0.9644142813613075, -0.9743104463757044, -0.984010500016037, -0.993514598754498, -1.0028225339748307, -1.0119344621392274, -1.0208503310936243, -1.0295701408380211, -1.0380938392283539, -1.0464215827068148, -1.0545531626671474, -1.06248868341748, -1.070228249275941, -1.0777717037603378, -1.0851190468806706, -1.092270330791003, -1.099225659809464, -1.1059849296079252, -1.1125480358882578, -1.1189150829685903, -1.125086070828923, -1.1310609994792555, -1.1368399732377168, -1.1424228877761777, -1.1478096388065104, -1.1530003306168428, -1.157995067525304, -1.1627936409256365, -1.1673961551059693, -1.1718027143944303, -1.1760132144638913, -1.180027551019224, -1.1838458283645565, -1.1874680464998892, -1.1908942054252218, -1.1941245137568113, -1.1971585542631438, -1.1999965355584763, -1.202638457644809, -1.2050844248282702, -1.2073342284947026]| 99.0511779785156250|      8.00000000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
       4|[-0.0335164518854906, -0.0549801004949003, -0.0762476866357811, -0.0973192135656619, -0.1181946878058007, -0.1388740897964235, -0.1593574456165622, -0.2261544244275501, -0.1997359665883238, -0.2196311382592046, -0.2393302637586014, -0.2588333039749661, -0.2781402980108469, -0.2972512458852437, -0.3094969615224963, -0.3348849379170052, -0.35340768208437, -0.3717343800702508, -0.3898650318946476, -0.4077996244990444, -0.4255381318264091, -0.443080606020806, -0.4604270209952028, -0.4775773506925675, -0.4945316211799322, -0.5112898585243291, -0.5278520105916938, -0.5442181295260906, -0.5603881892504874, -0.5763621636778522, -0.592140104982249, -0.6077219609996137, -0.6231077838840106, -0.6382975475484074, -0.6067727064150126, -0.573126706430533, -0.6826904050805016, -0.6970959840689626, -0.7113053995392952, -0.7253187557996279, -0.7391361571480888, -0.7527573949884214, -0.8250918631576144, -0.7794117973472151, -0.792444909711612, -0.8052819107119445, -0.8179229568104056, -0.8303678393907382, -0.842616714915135, -0.8546695312295318, -0.8665262361798645, -0.8781869340742613, -0.8896515727586581, -0.900920152233055, -0.9119926203433876, -0.9228691335518486, -0.9335494832421812, -0.944033825876578, -0.9543221093009748, -0.9644142813613075, -0.9743104463757044, -0.984010500016037, -0.993514598754498, -1.0028225339748307, -1.0119344621392274, -1.0208503310936243, -1.0295701408380211, -1.0380938392283539, -1.0464215827068148, -1.0545531626671474, -1.06248868341748, -1.070228249275941, -1.0777717037603378, -1.0851190468806706, -1.092270330791003, -1.099225659809464, -1.1059849296079252, -1.1125480358882578, -1.1189150829685903, -1.125086070828923, -1.1310609994792555, -1.1368399732377168, -1.1424228877761777, -1.1478096388065104, -1.1530003306168428, -1.157995067525304, -1.1627936409256365, -1.1673961551059693, -1.1718027143944303, -1.1760132144638913, -1.180027551019224, -1.1838458283645565, -1.1874680464998892, -1.1908942054252218, -1.1941245137568113, -1.1971585542631438, -1.1999965355584763, -1.202638457644809, -1.2050844248282702, -1.2073342284947026]| 99.0511779785156250|      4.00000000|[241, 0, 0, 15]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 97 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[-0.0335164518854906, -0.0549801004949003, -0.0762476866357811, -0.0973192135656619, -0.1181946878058007, -0.1388740897964235, -0.1593574456165622, -0.2261544244275501, -0.1997359665883238, -0.2196311382592046, -0.2393302637586014, -0.2588333039749661, -0.2781402980108469, -0.2972512458852437, -0.3094969615224963, -0.3348849379170052, -0.35340768208437, -0.3717343800702508, -0.3898650318946476, -0.4077996244990444, -0.4255381318264091, -0.443080606020806, -0.4604270209952028, -0.4775773506925675, -0.4945316211799322, -0.5112898585243291, -0.5278520105916938, -0.5442181295260906, -0.5603881892504874, -0.5763621636778522, -0.592140104982249, -0.6077219609996137, -0.6231077838840106, -0.6382975475484074, -0.6067727064150126, -0.573126706430533, -0.6826904050805016, -0.6970959840689626, -0.7113053995392952, -0.7253187557996279, -0.7391361571480888, -0.7527573949884214, -0.8250918631576144, -0.7794117973472151, -0.792444909711612, -0.8052819107119445, -0.8179229568104056, -0.8303678393907382, -0.842616714915135, -0.8546695312295318, -0.8665262361798645, -0.8781869340742613, -0.8896515727586581, -0.900920152233055, -0.9119926203433876, -0.9228691335518486, -0.9335494832421812, -0.944033825876578, -0.9543221093009748, -0.9644142813613075, -0.9743104463757044, -0.984010500016037, -0.993514598754498, -1.0028225339748307, -1.0119344621392274, -1.0208503310936243, -1.0295701408380211, -1.0380938392283539, -1.0464215827068148, -1.0545531626671474, -1.06248868341748, -1.070228249275941, -1.0777717037603378, -1.0851190468806706, -1.092270330791003, -1.099225659809464, -1.1059849296079252, -1.1125480358882578, -1.1189150829685903, -1.125086070828923, -1.1310609994792555, -1.1368399732377168, -1.1424228877761777, -1.1478096388065104, -1.1530003306168428, -1.157995067525304, -1.1627936409256365, -1.1673961551059693, -1.1718027143944303, -1.1760132144638913, -1.180027551019224, -1.1838458283645565, -1.1874680464998892, -1.1908942054252218, -1.1941245137568113, -1.1971585542631438, -1.1999965355584763, -1.202638457644809, -1.2050844248282702, -1.2073342284947026]| 99.0511779785156250|      2.00000000|[353, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 97 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[-0.0335164518854906, -0.0549801004949003, -0.0762476866357811, -0.0973192135656619, -0.1181946878058007, -0.1388740897964235, -0.1593574456165622, -0.2261544244275501, -0.1997359665883238, -0.2196311382592046, -0.2393302637586014, -0.2588333039749661, -0.2781402980108469, -0.2972512458852437, -0.3094969615224963, -0.3348849379170052, -0.35340768208437, -0.3717343800702508, -0.3898650318946476, -0.4077996244990444, -0.4255381318264091, -0.443080606020806, -0.4604270209952028, -0.4775773506925675, -0.4945316211799322, -0.5112898585243291, -0.5278520105916938, -0.5442181295260906, -0.5603881892504874, -0.5763621636778522, -0.592140104982249, -0.6077219609996137, -0.6231077838840106, -0.6382975475484074, -0.6067727064150126, -0.573126706430533, -0.6826904050805016, -0.6970959840689626, -0.7113053995392952, -0.7253187557996279, -0.7391361571480888, -0.7527573949884214, -0.8250918631576144, -0.7794117973472151, -0.792444909711612, -0.8052819107119445, -0.8179229568104056, -0.8303678393907382, -0.842616714915135, -0.8546695312295318, -0.8665262361798645, -0.8781869340742613, -0.8896515727586581, -0.900920152233055, -0.9119926203433876, -0.9228691335518486, -0.9335494832421812, -0.944033825876578, -0.9543221093009748, -0.9644142813613075, -0.9743104463757044, -0.984010500016037, -0.993514598754498, -1.0028225339748307, -1.0119344621392274, -1.0208503310936243, -1.0295701408380211, -1.0380938392283539, -1.0464215827068148, -1.0545531626671474, -1.06248868341748, -1.070228249275941, -1.0777717037603378, -1.0851190468806706, -1.092270330791003, -1.099225659809464, -1.1059849296079252, -1.1125480358882578, -1.1189150829685903, -1.125086070828923, -1.1310609994792555, -1.1368399732377168, -1.1424228877761777, -1.1478096388065104, -1.1530003306168428, -1.157995067525304, -1.1627936409256365, -1.1673961551059693, -1.1718027143944303, -1.1760132144638913, -1.180027551019224, -1.1838458283645565, -1.1874680464998892, -1.1908942054252218, -1.1941245137568113, -1.1971585542631438, -1.1999965355584763, -1.202638457644809, -1.2050844248282702, -1.2073342284947026]| 99.0511779785156250|      1.00000000|[465, 0, 0, 29]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 97 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-0.0335164518854906, -0.0549801004949003, -0.0762476866357811, -0.0973192135656619, -0.1181946878058007, -0.1388740897964235, -0.1593574456165622, -0.2261544244275501, -0.1997359665883238, -0.2196311382592046, -0.2393302637586014, -0.2588333039749661, -0.2781402980108469, -0.2972512458852437, -0.3094969615224963, -0.3348849379170052, -0.35340768208437, -0.3717343800702508, -0.3898650318946476, -0.4077996244990444, -0.4255381318264091, -0.443080606020806, -0.4604270209952028, -0.4775773506925675, -0.4945316211799322, -0.5112898585243291, -0.5278520105916938, -0.5442181295260906, -0.5603881892504874, -0.5763621636778522, -0.592140104982249, -0.6077219609996137, -0.6231077838840106, -0.6382975475484074, -0.6067727064150126, -0.573126706430533, -0.6826904050805016, -0.6970959840689626, -0.7113053995392952, -0.7253187557996279, -0.7391361571480888, -0.7527573949884214, -0.8250918631576144, -0.7794117973472151, -0.792444909711612, -0.8052819107119445, -0.8179229568104056, -0.8303678393907382, -0.842616714915135, -0.8546695312295318, -0.8665262361798645, -0.8781869340742613, -0.8896515727586581, -0.900920152233055, -0.9119926203433876, -0.9228691335518486, -0.9335494832421812, -0.944033825876578, -0.9543221093009748, -0.9644142813613075, -0.9743104463757044, -0.984010500016037, -0.993514598754498, -1.0028225339748307, -1.0119344621392274, -1.0208503310936243, -1.0295701408380211, -1.0380938392283539, -1.0464215827068148, -1.0545531626671474, -1.06248868341748, -1.070228249275941, -1.0777717037603378, -1.0851190468806706, -1.092270330791003, -1.099225659809464, -1.1059849296079252, -1.1125480358882578, -1.1189150829685903, -1.125086070828923, -1.1310609994792555, -1.1368399732377168, -1.1424228877761777, -1.1478096388065104, -1.1530003306168428, -1.157995067525304, -1.1627936409256365, -1.1673961551059693, -1.1718027143944303, -1.1760132144638913, -1.180027551019224, -1.1838458283645565, -1.1874680464998892, -1.1908942054252218, -1.1941245137568113, -1.1971585542631438, -1.1999965355584763, -1.202638457644809, -1.2050844248282702, -1.2073342284947026]| 99.0511779785156250|      0.50000000|[577, 0, 0, 36]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 97 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[-0.0338100613970634, -0.0554205147622596, -0.0768349056589269, -0.0980532373154902, -0.1190755163405193, -0.1399017231160323, -0.1605318836628537, -0.2274756672005242, -0.2012040140879805, -0.2212459904855439, -0.2410919208280386, -0.2607417657710859, -0.2801955646500646, -0.2994533171347287, -0.3118458376150793, -0.3373806186198555, -0.3560501676303182, -0.3745236704592969, -0.392801126893961, -0.4108825243414557, -0.4287678362790877, -0.4464571155494131, -0.4639503351340772, -0.4812474694417092, -0.4983485447721718, -0.5152535869596666, -0.5319625438701293, -0.5484754671819627, -0.5647923317494574, -0.5809131110199202, -0.5968378571674149, -0.6125665180278775, -0.628099145289711, -0.6434357137972058, -0.6120576775069089, -0.5785584823655272, -0.6882689858585938, -0.7028213692244913, -0.7171775895379219, -0.7313377506413525, -0.7453019568329113, -0.7590699995163419, -0.8315512720629715, -0.7860180110956702, -0.7991979287688262, -0.8121817341465954, -0.8249695850881544, -0.8375612720459237, -0.8499569524134184, -0.8621565740365744, -0.8741600833643437, -0.8859675861018385, -0.8975790296293332, -0.9089944134811667, -0.9202136869002585, -0.9312370044861562, -0.9420641585539254, -0.9526953064970815, -0.9631303942989149, -0.9733693716680067, -0.9834123410598403, -0.9932591990776095, -1.0029101031248298, -1.012364842722599, -1.021623576195755, -1.0306862495275886, -1.039552863649422, -1.048223367348514, -1.0566979152044116, -1.0649763004735033, -1.0730586256012726, -1.0809449958371702, -1.0886352556303263, -1.0961294031280957, -1.1034274923471874, -1.110529625743085, -1.1174356999189827, -1.1241456115080746, -1.1306594629658437, -1.1369772561349356, -1.1430989891627048, -1.1490247672986027, -1.1547544871458228, -1.1602880425535922, -1.1656255396726838, -1.1707670809585815, -1.1757124587363508, -1.1804617782254427, -1.1850151418913404, -1.1893724472695606, -1.1935335891336525, -1.1974986699250991, -1.2048504764125756, -1.2048406566719603, -1.208217770312309, -1.2113986161274006, -1.1902362451741837, -1.2171721282639392, -1.219764899824837, -0.7146801731377233]| 98.8780975341796875|      1.00000000|[609, 0, 0, 38]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
       9|[-0.0338100613970634, -0.0554205147622596, -0.0768349056589269, -0.0980532373154902, -0.1190755163405193, -0.1399017231160323, -0.1605318836628537, -0.2274756672005242, -0.2012040140879805, -0.2212459904855439, -0.2410919208280386, -0.2607417657710859, -0.2801955646500646, -0.2994533171347287, -0.3118458376150793, -0.3373806186198555, -0.3560501676303182, -0.3745236704592969, -0.392801126893961, -0.4108825243414557, -0.4287678362790877, -0.4464571155494131, -0.4639503351340772, -0.4812474694417092, -0.4983485447721718, -0.5152535869596666, -0.5319625438701293, -0.5484754671819627, -0.5647923317494574, -0.5809131110199202, -0.5968378571674149, -0.6125665180278775, -0.628099145289711, -0.6434357137972058, -0.6120576775069089, -0.5785584823655272, -0.6882689858585938, -0.7028213692244913, -0.7171775895379219, -0.7313377506413525, -0.7453019568329113, -0.7590699995163419, -0.8315512720629715, -0.7860180110956702, -0.7991979287688262, -0.8121817341465954, -0.8249695850881544, -0.8375612720459237, -0.8499569524134184, -0.8621565740365744, -0.8741600833643437, -0.8859675861018385, -0.8975790296293332, -0.9089944134811667, -0.9202136869002585, -0.9312370044861562, -0.9420641585539254, -0.9526953064970815, -0.9631303942989149, -0.9733693716680067, -0.9834123410598403, -0.9932591990776095, -1.0029101031248298, -1.012364842722599, -1.021623576195755, -1.0306862495275886, -1.039552863649422, -1.048223367348514, -1.0566979152044116, -1.0649763004735033, -1.0730586256012726, -1.0809449958371702, -1.0886352556303263, -1.0961294031280957, -1.1034274923471874, -1.110529625743085, -1.1174356999189827, -1.1241456115080746, -1.1306594629658437, -1.1369772561349356, -1.1430989891627048, -1.1490247672986027, -1.1547544871458228, -1.1602880425535922, -1.1656255396726838, -1.1707670809585815, -1.1757124587363508, -1.1804617782254427, -1.1850151418913404, -1.1893724472695606, -1.1935335891336525, -1.1974986699250991, -1.2048504764125756, -1.2048406566719603, -1.208217770312309, -1.2113986161274006, -1.1902362451741837, -1.2171721282639392, -1.219764899824837, -0.7146801731377233]| 98.8780975341796875|      0.50000000|[721, 0, 0, 45]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 97 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[-0.0338100613970634, -0.0554205147622596, -0.0768349056589269, -0.0980532373154902, -0.1190755163405193, -0.1399017231160323, -0.1605318836628537, -0.2274756672005242, -0.2012040140879805, -0.2212459904855439, -0.2410919208280386, -0.2607417657710859, -0.2801955646500646, -0.2994533171347287, -0.3118458376150793, -0.3373806186198555, -0.3560501676303182, -0.3745236704592969, -0.392801126893961, -0.4108825243414557, -0.4287678362790877, -0.4464571155494131, -0.4639503351340772, -0.4812474694417092, -0.4983485447721718, -0.5152535869596666, -0.5319625438701293, -0.5484754671819627, -0.5647923317494574, -0.5809131110199202, -0.5968378571674149, -0.6125665180278775, -0.628099145289711, -0.6434357137972058, -0.6120576775069089, -0.5785584823655272, -0.6882689858585938, -0.7028213692244913, -0.7171775895379219, -0.7313377506413525, -0.7453019568329113, -0.7590699995163419, -0.8315512720629715, -0.7860180110956702, -0.7991979287688262, -0.8121817341465954, -0.8249695850881544, -0.8375612720459237, -0.8499569524134184, -0.8621565740365744, -0.8741600833643437, -0.8859675861018385, -0.8975790296293332, -0.9089944134811667, -0.9202136869002585, -0.9312370044861562, -0.9420641585539254, -0.9526953064970815, -0.9631303942989149, -0.9733693716680067, -0.9834123410598403, -0.9932591990776095, -1.0029101031248298, -1.012364842722599, -1.021623576195755, -1.0306862495275886, -1.039552863649422, -1.048223367348514, -1.0566979152044116, -1.0649763004735033, -1.0730586256012726, -1.0809449958371702, -1.0886352556303263, -1.0961294031280957, -1.1034274923471874, -1.110529625743085, -1.1174356999189827, -1.1241456115080746, -1.1306594629658437, -1.1369772561349356, -1.1430989891627048, -1.1490247672986027, -1.1547544871458228, -1.1602880425535922, -1.1656255396726838, -1.1707670809585815, -1.1757124587363508, -1.1804617782254427, -1.1850151418913404, -1.1893724472695606, -1.1935335891336525, -1.1974986699250991, -1.2048504764125756, -1.2048406566719603, -1.208217770312309, -1.2113986161274006, -1.1902362451741837, -1.2171721282639392, -1.219764899824837, -0.7146801731377233]| 98.8780975341796875|      0.25000000|[833, 0, 0, 52]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 97 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[-0.0346569718038988, -0.0566908804307204, -0.0785287264725976, -0.100170513274371, -0.1216162476774408, -0.1428659093653332, -0.1639195252901952, -0.2312867637402451, -0.205438566005742, -0.2259039975485155, -0.2661639739028753, -0.2662466831244776, -0.2861239371486663, -0.3058051452442017, -0.3186211208697623, -0.3445793570197485, -0.3636723607097599, -0.3825693186839487, -0.4012702307294841, -0.4197750837878501, -0.4380838504050309, -0.4561965852862276, -0.4741132604817631, -0.4918338494689438, -0.5093583794789551, -0.5266868772773212, -0.5438192888673327, -0.5607556677900374, -0.5774959879684034, -0.5940402219184149, -0.6103884236767809, -0.6265405392167923, -0.6424966220894971, -0.6582566462078632, -0.6273020636657924, -0.5942263250666047, -0.7043602823078974, -0.7193361231473114, -0.7341157972089681, -0.748699412060625, -0.7630870757257002, -0.777278572157357, -0.8501833003148579, -0.8050734949584278, -0.8186768682424552, -0.8320841273684506, -0.8452954357835261, -0.8583105764895215, -0.8711297124678875, -0.8837527897019148, -0.8961797527779103, -0.9084107111262764, -0.9204456102646424, -0.9322844497273473, -0.9439271768946652, -0.9553739519540794, -0.9666245597700748, -0.9776791633241021, -0.9885377067368069, -0.9992001378541249, -1.0096665628568298, -1.0199368746228252, -1.0300112361435618, -1.0398894294895573, -1.0495716185735846, -1.0590577475162894, -1.0683478172489942, -1.0774417746963123, -1.0863397800257264, -1.0950416190430443, -1.1035473979190398, -1.0621625738906446, -1.1199709410324812, -1.1278885422784768, -1.1356100852457947, -1.1431356761152087, -1.150465207764623, -1.157598573101941, -1.1645358783079363, -1.1712771252252543, -1.1778223120012496, -1.184171547610664, -1.1903247249314006, -1.1962817340873961, -1.202042684954714, -1.207607683714128, -1.2129765152401235, -1.2181492884774416, -1.2231261096168558, -1.2279068724685924, -1.2324914680809105, -1.2368800026205833, -1.244655262856286, -1.2450688968638968, -1.2488694717030522, -1.25247377126637, -1.2317348540613793, -1.259094190899361, -1.2621104199337752, -0.7574491469948876]| 98.8277664184570312|      0.50000000|[881, 0, 0, 55]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
