k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5497876405715942, -0.244534894824028, 0.2888571619987488, 0.4061757922172546, 0.1622055619955063, -0.0786757841706276, 0.4947263598442078, -0.3398726582527161, 0.1648346930742264, 0.111181415617466, 0.3789696991443634, 0.7334103584289551, 0.5300133228302002, -0.4165365695953369, 0.610404372215271, -0.1837950199842453, 0.020204147323966, 0.0893655717372894, -0.6836167573928833, -0.5332403779029846, 0.8012765645980835, 0.1131535917520523]| 13.6435556411743164|      2.00000000|[49, 16, 0, 1]                                                             | | GPS sucess | actual_k=16
       2|[0.5452183512970805, -0.2513888287357986, 0.2797185834497213, 2.4005594849586487, 0.1484976941719651, -0.0946682970970869, 0.4764492027461529, -0.3604344595223665, 0.1419882476329803, 0.0860503241419792, 0.3396387435495853, 0.7037099804729223, 0.4980282969772816, -0.450806237757206, 0.5738500580191612, -0.2226339764893055, 0.0501348860561848, 0.0459573268890381, -0.7293096482753754, -0.5812179110944271, 0.75101438164711, 0.0606067664921284]| 12.1682834625244141|      4.00000000|[97, 32, 0, 2]                                                             | | GPS sucess | actual_k=16
       3|[0.0476562110707164, -0.0983151900582016, 1.0210681017488241, 2.9222906827926636, 0.9038702184334397, -0.1307451594620943, 1.1521955244243145, -1.0176365245133638, -0.2693093419075012, -0.1917941346764565, 0.085772518068552, 0.4308577086776495, 0.3113750703632832, -0.2123720273375511, 0.53464400395751, 0.1192225031554699, 0.1245397143065929, 0.1723999232053757, -1.017903596162796, -0.5329997763037682, 0.2749938070774078, 0.7801045663654804]| 12.1411504745483398|      8.00000000|[145, 48, 0, 3]                                                            | | GPS sucess | actual_k=16
       4|[-0.4592914851382375, -1.493098686914891, 0.4944975432008505, 3.476380944252014, 0.3188552195206285, 0.9491508137434721, 1.4994015507400036, -1.483175354078412, -0.8732878565788269, -1.7278984561562538, -0.0231798030436039, -0.3721381518989801, 0.2394853122532368, 0.0402956381440163, 0.9755509458482265, 2.0483071617782116, -0.7135049290955067, -0.2093334048986435, -0.6786317229270935, -1.8119298443198204, 1.1552694737911224, 1.5725988633930683]| 12.1397657394409180|     16.00000000|[193, 64, 0, 4]                                                            | | GPS sucess | actual_k=16
       5|[-0.4592914851382375, -1.493098686914891, 0.4944975432008505, 3.476380944252014, 0.3188552195206285, 0.9491508137434721, 1.4994015507400036, -1.483175354078412, -0.8732878565788269, -1.7278984561562538, -0.0231798030436039, -0.3721381518989801, 0.2394853122532368, 0.0402956381440163, 0.9755509458482265, 2.0483071617782116, -0.7135049290955067, -0.2093334048986435, -0.6786317229270935, -1.8119298443198204, 1.1552694737911224, 1.5725988633930683]| 12.1397657394409180|      8.00000000|[252, 85, 0, 6]                                                            |  | used linear model with 65 points | actual_k=16
       6|[-0.4592914851382375, -1.493098686914891, 0.4944975432008505, 3.476380944252014, 0.3188552195206285, 0.9491508137434721, 1.4994015507400036, -1.483175354078412, -0.8732878565788269, -1.7278984561562538, -0.0231798030436039, -0.3721381518989801, 0.2394853122532368, 0.0402956381440163, 0.9755509458482265, 2.0483071617782116, -0.7135049290955067, -0.2093334048986435, -0.6786317229270935, -1.8119298443198204, 1.1552694737911224, 1.5725988633930683]| 12.1397657394409180|      4.00000000|[313, 104, 0, 8]                                                           |  | used linear model with 65 points | actual_k=16
       7|[-0.8590191276744008, -2.085587869863957, 0.4472643751651049, 3.9208559691905975, 0.6009895140305161, 0.6789370905607939, 1.4508479163050652, -1.1781527865678072, -0.3346746563911438, -2.8094426169991493, 0.1510481499135494, -0.1581065896898508, -0.1635155193507671, 0.2208152338862419, 0.5539573691785336, 2.3207689933478832, -1.0872664339840412, 0.1251307278871536, -0.52525195479393, -1.307025097310543, 0.6204541027545929, 1.0803103931248188]| 12.1375217437744141|      8.00000000|[361, 120, 0, 9]                                                           | | GPS sucess | actual_k=16
       8|[-0.8590191276744008, -2.085587869863957, 0.4472643751651049, 3.9208559691905975, 0.6009895140305161, 0.6789370905607939, 1.4508479163050652, -1.1781527865678072, -0.3346746563911438, -2.8094426169991493, 0.1510481499135494, -0.1581065896898508, -0.1635155193507671, 0.2208152338862419, 0.5539573691785336, 2.3207689933478832, -1.0872664339840412, 0.1251307278871536, -0.52525195479393, -1.307025097310543, 0.6204541027545929, 1.0803103931248188]| 12.1375217437744141|      4.00000000|[422, 139, 0, 11]                                                          |  | used linear model with 65 points | actual_k=16
       9|[-1.2841519685462117, -2.7245496618561447, 0.6120392102748156, 4.214868426322937, 0.4906987333670259, 1.0383502673357725, 1.7356894835829735, -1.5261513162404299, -0.4930991679430008, -4.045395351946354, 0.2258618511259556, -0.5259616021066904, -0.4177938215434551, 0.492280624806881, 0.8033869974315166, 2.2029479928314686, -1.3578914292156696, 0.4371293932199478, -1.205810397863388, -1.4514828696846962, 1.1594510972499847, 1.3975643403828144]| 12.1361246109008789|      8.00000000|[470, 155, 0, 12]                                                          | | GPS sucess | actual_k=16
      10|[-1.2841519685462117, -2.7245496618561447, 0.6120392102748156, 4.214868426322937, 0.4906987333670259, 1.0383502673357725, 1.7356894835829735, -1.5261513162404299, -0.4930991679430008, -4.045395351946354, 0.2258618511259556, -0.5259616021066904, -0.4177938215434551, 0.492280624806881, 0.8033869974315166, 2.2029479928314686, -1.3578914292156696, 0.4371293932199478, -1.205810397863388, -1.4514828696846962, 1.1594510972499847, 1.3975643403828144]| 12.1361246109008789|      4.00000000|[531, 174, 0, 14]                                                          |  | used linear model with 65 points | actual_k=16
      11|[-1.2841519685462117, -2.7245496618561447, 0.6120392102748156, 4.214868426322937, 0.4906987333670259, 1.0383502673357725, 1.7356894835829735, -1.5261513162404299, -0.4930991679430008, -4.045395351946354, 0.2258618511259556, -0.5259616021066904, -0.4177938215434551, 0.492280624806881, 0.8033869974315166, 2.2029479928314686, -1.3578914292156696, 0.4371293932199478, -1.205810397863388, -1.4514828696846962, 1.1594510972499847, 1.3975643403828144]| 12.1361246109008789|      2.00000000|[593, 192, 0, 16]                                                          |  | used linear model with 65 points | actual_k=16
      12|[-1.4706717701628804, -2.985148887615651, 0.7471243310719728, 4.388118281960487, 0.5845816591754556, 1.230534104630351, 1.9963280782103539, -1.53943913243711, -0.6376522332429886, -3.85035452991724, 0.0529643632471561, -0.1486562136560678, -0.2304826192557812, 0.5960669815540314, 0.6312648616731167, 2.552218157798052, -1.7678438611328602, 0.2801417261362076, -1.291333168745041, -1.2144619897007942, 1.3792632520198822, 1.4422686882317066]| 12.1352195739746094|      4.00000000|[641, 208, 0, 17]                                                          | | GPS sucess | actual_k=16
