k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0]                                                                      |  1.1352617173483783|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 1.0]                                                                      |  1.1352617173483783|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.0, 1.0]                                                                      |  1.1352617173483783|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.0, 1.0]                                                                      |  1.1352617173483783|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.0, 1.0]                                                                      |  1.1352617173483783|      0.06250000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.0, 1.0]                                                                      |  1.1352617173483783|      0.03125000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.0, 1.0]                                                                      |  1.1352617173483783|      0.01562500|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.0, 1.0]                                                                      |  1.1352617173483783|      0.00781250|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.0, 1.0]                                                                      |  1.1352617173483783|      0.00390625|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.0, 1.0]                                                                      |  1.1352617173483783|      0.00195312|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[4.98685694765e-05, 0.9981955597177148]                                         |  0.3879331946372986|      0.00390625|[40, 10, 9, 19]                                                            | | GPS sucess | actual_k=1
      11|[4.98685694765e-05, 0.9981955597177148]                                         |  0.3879331946372986|      0.00195312|[43, 11, 10, 21]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
