k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 2.0]                                                                      |  2.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5714635252952576, 1.1793725490570068]                                        | -0.4955928921699524|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[0.5714635252952576, 1.1793725490570068]                                        | -0.4955928921699524|      1.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.5714635252952576, 1.1793725490570068]                                        | -0.4955928921699524|      0.50000000|[11, 3, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.0467920303344727, 1.0242508053779602]                                        | -0.9927409887313843|      1.00000000|[15, 4, 2, 6]                                                              | | GPS sucess | actual_k=1
       5|[1.0467920303344727, 1.0242508053779602]                                        | -0.9927409887313843|      0.50000000|[18, 5, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.0467920303344727, 1.0242508053779602]                                        | -0.9927409887313843|      0.25000000|[22, 6, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[1.0467920303344727, 1.0242508053779602]                                        | -0.9927409887313843|      0.12500000|[26, 7, 5, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[1.0467920303344727, 1.0242508053779602]                                        | -0.9927409887313843|      0.06250000|[30, 8, 6, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.9852589890360832, 1.0352022591978312]                                        | -0.9981120824813843|      0.12500000|[34, 9, 6, 15]                                                             | | GPS sucess | actual_k=1
      10|[0.9852589890360832, 1.0352022591978312]                                        | -0.9981120824813843|      0.06250000|[37, 10, 7, 17]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[1.0225710272789001, 0.9850618373602629]                                        | -0.9982370138168335|      0.12500000|[41, 11, 7, 18]                                                            | | GPS sucess | actual_k=1
      12|[1.0225710272789001, 0.9850618373602629]                                        | -0.9982370138168335|      0.06250000|[44, 12, 8, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
