k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 2.0]                                                                      |  2.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1392883311981691, 1.0097481326490572]                                       |  1.4152576534521961|      2.00000000|[5, 1, 1, 3]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[-3.6852253925079834, -0.8412866278261015]                                      |-34.6026153564453125|      4.00000000|[9, 2, 1, 4]                                                               | | GPS sucess | actual_k=1
       3|[-10.461875344442799, 3.4104194955259493]                                       |-1106.8652343750000000|      8.00000000|[12, 3, 1, 5]                                                              | | GPS sucess | actual_k=1
       4|[-17.157539750265553, -0.9677161856263945]                                      |-4994.5122070312500000|     16.00000000|[15, 4, 1, 6]                                                              | | GPS sucess | actual_k=1
       5|[-32.97683467976995, -3.365601031360037]                                        |-35742.3828125000000000|     32.00000000|[18, 5, 1, 7]                                                              | | GPS sucess | actual_k=1
       6|[-94.10292949788519, 15.597539456310862]                                        |-832819.0625000000000000|     64.00000000|[21, 6, 1, 8]                                                              | | GPS sucess | actual_k=1
       7|[-144.25837078206487, -24.157103030261403]                                      |-3001019.0000000000000000|    128.00000000|[24, 7, 1, 9]                                                              | | GPS sucess | actual_k=1
       8|[-200.9617361079926, 90.59797814649642]                                         |-8107332.5000000000000000|    256.00000000|[27, 8, 1, 10]                                                             | | GPS sucess | actual_k=1
       9|[-499.4480642329926, -325.3946976347536]                                        |-124478472.0000000000000000|    512.00000000|[30, 9, 1, 11]                                                             | | GPS sucess | actual_k=1
      10|[-1011.1697214091705, -342.27502869981925]                                      |-1033763973.5664310455322266|   1024.00000000|[34, 10, 2, 14]                                                            |  | used linear model with 5 points | iterate success | actual_k=1
      11|[-2921.2847116435455, 396.483577257212]                                         |-24929800192.0000000000000000|   2048.00000000|[38, 11, 2, 15]                                                            | | GPS sucess | actual_k=1
      12|[-4957.1307809794835, 173.694758897837]                                         |-121812254720.0000000000000000|   4096.00000000|[41, 12, 2, 16]                                                            | | GPS sucess | actual_k=1
      13|[-8926.917306297093, -835.2705246509784]                                        |-711383998122.7385253906250000|   8192.00000000|[45, 13, 3, 19]                                                            |  | used linear model with 5 points | iterate success | actual_k=1
      14|[-9128.421700828343, -9024.792009025978]                                        |-760572411904.0000000000000000|  16384.00000000|[49, 14, 3, 20]                                                            | | GPS sucess | actual_k=1
