k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2111868262290955, 0.0883813723921776, -0.2306648045778275, 0.4091905355453491, -0.1088522374629974, 0.0524099543690681, -0.1903152465820312, 0.3371392488479614, 0.1691189855337143, 0.0423129573464394, 0.252195417881012, 0.1636687219142914, -0.1198293939232826, 0.0954672917723656, -0.0954813733696938, -0.2840315997600555, -0.433623731136322, 0.1099281907081604, 0.0136716738343239, -0.191796287894249, -0.0244953185319901, 0.1551349461078644]| 14.1067180633544922|      2.00000000|[39, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[0.8119146227836609, 0.384808175265789, -0.398792952299118, 1.343338966369629, -0.5892497897148132, 0.4281752184033394, -0.4993461668491364, 0.3561553712934256, 0.2755695134401321, 0.2165597900748253, 0.2264179922640324, 0.2195115201175213, -0.0249416828155518, -0.0142804831266403, -0.525848038494587, -0.1704036295413971, 0.1884043216705322, 0.3762177526950836, 0.0590405948460102, 0.2895597368478775, -0.1849604099988937, 0.1553701657685451]| 12.5731391906738281|      4.00000000|[77, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       3|[1.4391372203826904, 1.4784896299242973, -0.1675407439470291, 1.9188061356544495, -0.1470367312431335, 0.2174215838313103, 0.7337813079357147, 0.2361014094203711, -0.0466057509183884, -0.4128439202904701, -1.0549778006970882, 0.3463024757802486, -0.8530966639518738, 0.4420735388994217, -0.1732136979699135, -1.8187234699726105, 1.7029536962509155, 0.1798863559961319, -0.5416888110339642, 0.3969689086079597, -1.780658170580864, -0.6221710544195957]| 12.1461000442504883|      8.00000000|[115, 0, 0, 3]                                                             | | GPS sucess | actual_k=0
       4|[1.4391372203826904, 1.4784896299242973, -0.1675407439470291, 1.9188061356544495, -0.1470367312431335, 0.2174215838313103, 0.7337813079357147, 0.2361014094203711, -0.0466057509183884, -0.4128439202904701, -1.0549778006970882, 0.3463024757802486, -0.8530966639518738, 0.4420735388994217, -0.1732136979699135, -1.8187234699726105, 1.7029536962509155, 0.1798863559961319, -0.5416888110339642, 0.3969689086079597, -1.780658170580864, -0.6221710544195957]| 12.1461000442504883|      4.00000000|[153, 0, 0, 4]                                                             |  | used linear model with 39 points | actual_k=0
       5|[0.6897810697555542, 2.108073227107525, 0.3432673066854477, 2.400633007287979, -0.3937183171510696, 0.0229553654789925, 0.560161828994751, 1.6901685204356909, 0.5294591337442398, -0.2158187553286552, 1.042646262794733, 1.1433459781110287, -1.0814512073993683, -0.9108596295118332, -0.3344102874398232, -1.6169028282165527, 1.5903282314538956, -0.5561089366674423, -1.4193512313067913, 2.046858496963978, -1.6098876595497131, -0.3856220048037358]| 12.1441802978515625|      8.00000000|[191, 0, 0, 5]                                                             | | GPS sucess | actual_k=0
       6|[0.6897810697555542, 2.108073227107525, 0.3432673066854477, 2.400633007287979, -0.3937183171510696, 0.0229553654789925, 0.560161828994751, 1.6901685204356909, 0.5294591337442398, -0.2158187553286552, 1.042646262794733, 1.1433459781110287, -1.0814512073993683, -0.9108596295118332, -0.3344102874398232, -1.6169028282165527, 1.5903282314538956, -0.5561089366674423, -1.4193512313067913, 2.046858496963978, -1.6098876595497131, -0.3856220048037358]| 12.1441802978515625|      4.00000000|[229, 0, 0, 6]                                                             |  | used linear model with 39 points | actual_k=0
       7|[-0.321890115737915, 0.0484778806567192, -0.0891502052545547, 3.5266700088977814, -1.594522312283516, 1.1682549193501472, -0.6651039123535156, 1.7480365578085184, 0.7608994394540787, -1.1078761145472527, 0.1175306774675846, 0.7720728181302547, -0.9005438387393951, -0.5921733528375626, -1.377829410135746, -1.2207781076431274, 1.8303057551383972, -0.5885137394070625, -1.22632921859622, 2.3733235970139503, -1.6777844354510307, 0.2864766914281063]| 12.1431064605712891|      8.00000000|[267, 0, 0, 7]                                                             | | GPS sucess | actual_k=0
       8|[-0.321890115737915, 0.0484778806567192, -0.0891502052545547, 3.5266700088977814, -1.594522312283516, 1.1682549193501472, -0.6651039123535156, 1.7480365578085184, 0.7608994394540787, -1.1078761145472527, 0.1175306774675846, 0.7720728181302547, -0.9005438387393951, -0.5921733528375626, -1.377829410135746, -1.2207781076431274, 1.8303057551383972, -0.5885137394070625, -1.22632921859622, 2.3733235970139503, -1.6777844354510307, 0.2864766914281063]| 12.1431064605712891|      4.00000000|[305, 0, 0, 8]                                                             |  | used linear model with 39 points | actual_k=0
       9|[-1.4228118658065796, -0.07774967700243, 0.1780026406049728, 4.313307076692581, -1.5784048736095428, 1.872774787247181, -0.6827585250139236, 1.7225713338702917, 1.0931117087602615, -0.8104075416922569, -1.4043901227414608, 0.7840355969965458, -0.5514685213565826, -0.9918528944253922, -2.5041640773415565, -1.1758036352694035, 0.668304979801178, 0.5866701528429985, -0.3868197314441204, 3.0731088891625404, -0.8821020647883415, 0.5277402002247982]| 12.1385726928710938|      8.00000000|[343, 0, 0, 9]                                                             | | GPS sucess | actual_k=0
      10|[-1.4893531426787376, -0.5948910787701607, 0.2613316103816032, 4.32354281283915, -3.8122090995311737, 3.7778578475117683, -2.7400941401720047, 2.2334074582904577, 0.4453986436128616, -2.3403085693717003, -0.1596417687833309, 1.6522463895380497, 0.4263008534908295, -0.3975187689065933, -5.215914823114872, 3.3352904580533504, -0.3612502217292786, -1.7550232484936714, 0.316864836961031, 1.1438483968377113, -0.9487553983926773, 0.0076589781674556]| 12.1369323730468750|     16.00000000|[381, 0, 0, 10]                                                            | | GPS sucess | actual_k=0
      11|[-1.4893531426787376, -0.5948910787701607, 0.2613316103816032, 4.32354281283915, -3.8122090995311737, 3.7778578475117683, -2.7400941401720047, 2.2334074582904577, 0.4453986436128616, -2.3403085693717003, -0.1596417687833309, 1.6522463895380497, 0.4263008534908295, -0.3975187689065933, -5.215914823114872, 3.3352904580533504, -0.3612502217292786, -1.7550232484936714, 0.316864836961031, 1.1438483968377113, -0.9487553983926773, 0.0076589781674556]| 12.1369323730468750|      8.00000000|[419, 0, 0, 11]                                                            |  | used linear model with 39 points | actual_k=0
