k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3053155243396759, 0.2044022530317307, -0.2865954041481018, 0.3210058212280273, 0.0614359863102436, 0.0777925476431847, -0.0057194684632123, 0.3806132674217224, 0.1569733172655106, -0.1382146775722504, -0.108958937227726, 0.1614927798509598, 0.1269319355487823, -0.0926131531596184, -0.2690267562866211, 0.398438572883606, 0.144815132021904, 0.1238501369953156, 0.0425032526254654, 0.1048882082104683, 0.1591113060712814, 0.1786282062530518]| 14.1316442489624023|      2.00000000|[57, 8, 0, 1]                                                              | | GPS sucess | actual_k=8
       2|[1.1699579060077667, 0.3682121783494949, 0.2893664240837097, 0.5943871438503265, 0.5668620355427265, -0.0783831849694252, -0.1847907309420407, 0.1999091953039169, -0.2251272350549698, -0.088621411472559, 0.5045812353491783, -0.0771523416042328, 0.3719113618135452, -0.257390134036541, -0.1705749183893204, 0.7050021588802338, 0.7748795002698898, 0.948041170835495, 0.0501417345367372, 0.6707626059651375, 0.3922034054994583, 0.1931159906089306]| 12.8544731140136719|      4.00000000|[113, 16, 0, 2]                                                            | | GPS sucess | actual_k=8
       3|[1.9878443777561188, -1.127783939242363, 0.7676773965358734, 1.5534842312335968, 0.3637003339827061, 0.6416138634085655, 0.5725400443188846, 0.0326120257377625, -1.4045869261026382, -0.968205664306879, 0.6894990429282188, -1.6007355153560638, -1.514668270945549, -0.0710796788334846, -0.5273448675870895, -0.377361923456192, 0.5017577558755875, 0.7314751595258713, -0.3242894285358489, 1.1686623767018318, 0.8177750259637833, 0.7598937563598156]| 12.1448421478271484|      8.00000000|[169, 24, 0, 3]                                                            | | GPS sucess | actual_k=8
       4|[0.8932243883609772, -1.533759132027626, 3.1306048333644867, 2.117836207151413, 3.093072596937418, -0.7483421340584755, -0.7491896157152951, 1.484337031841278, -0.2831640392541885, -0.3718982078135014, 1.6190610155463219, -3.451251119375229, -0.6161644905805588, -1.9317510798573494, 2.4047330170869827, -1.8253971636295319, -1.062338337302208, -1.0803361684083939, 1.1682821637950838, 1.2642940282821655, 0.2901872545480728, -1.6550394482910633]| 12.1441650390625000|     16.00000000|[225, 32, 0, 4]                                                            | | GPS sucess | actual_k=8
       5|[0.8932243883609772, -1.533759132027626, 3.1306048333644867, 2.117836207151413, 3.093072596937418, -0.7483421340584755, -0.7491896157152951, 1.484337031841278, -0.2831640392541885, -0.3718982078135014, 1.6190610155463219, -3.451251119375229, -0.6161644905805588, -1.9317510798573494, 2.4047330170869827, -1.8253971636295319, -1.062338337302208, -1.0803361684083939, 1.1682821637950838, 1.2642940282821655, 0.2901872545480728, -1.6550394482910633]| 12.1441650390625000|      8.00000000|[281, 40, 0, 5]                                                            |  | used linear model with 65 points | actual_k=8
       6|[0.4140316545963287, -3.3083354383707047, 2.3749187886714935, 2.601828694343567, 0.4541727937757969, -1.6481968536973, -1.1636774544604123, 1.0645147264003754, -1.8150565773248672, -3.8245351649820805, 3.8300447687506676, -6.100872129201889, 0.2330587059259415, -2.571427173912525, 1.0951654464006424, -0.5302903950214386, 0.0791787058115005, -3.0766993314027786, -0.2489336603321135, -0.2081890106201172, 0.5224228948354721, 0.319042544811964]| 12.1398630142211914|     16.00000000|[337, 48, 0, 6]                                                            | | GPS sucess | actual_k=8
       7|[0.4140316545963287, -3.3083354383707047, 2.3749187886714935, 2.601828694343567, 0.4541727937757969, -1.6481968536973, -1.1636774544604123, 1.0645147264003754, -1.8150565773248672, -3.8245351649820805, 3.8300447687506676, -6.100872129201889, 0.2330587059259415, -2.571427173912525, 1.0951654464006424, -0.5302903950214386, 0.0791787058115005, -3.0766993314027786, -0.2489336603321135, -0.2081890106201172, 0.5224228948354721, 0.319042544811964]| 12.1398630142211914|      8.00000000|[393, 56, 0, 7]                                                            |  | used linear model with 65 points | actual_k=8
       8|[0.4140316545963287, -3.3083354383707047, 2.3749187886714935, 2.601828694343567, 0.4541727937757969, -1.6481968536973, -1.1636774544604123, 1.0645147264003754, -1.8150565773248672, -3.8245351649820805, 3.8300447687506676, -6.100872129201889, 0.2330587059259415, -2.571427173912525, 1.0951654464006424, -0.5302903950214386, 0.0791787058115005, -3.0766993314027786, -0.2489336603321135, -0.2081890106201172, 0.5224228948354721, 0.319042544811964]| 12.1398630142211914|      4.00000000|[449, 64, 0, 8]                                                            |  | used linear model with 65 points | actual_k=8
       9|[0.4113471475429833, -3.852469280362129, 2.171323448419571, 2.6896808072924614, 0.8890573121607304, -0.6559984460473061, -0.1822124724276364, 0.0499659478664398, -2.844963923096657, -3.056744012981653, 3.450513981282711, -6.135389056056738, -0.873480424284935, -2.225137807428837, 0.8123404234647751, 0.1369981467723846, -0.4857489913702011, -3.17533940076828, 0.6566901332698762, -0.3440125733613968, 0.782097116112709, 1.9245286993682384]| 12.1391944885253906|      8.00000000|[505, 72, 0, 9]                                                            | | GPS sucess | actual_k=8
      10|[-0.3771426710300148, -5.163725331425667, 1.3862552344799042, 3.6630558893084526, 0.6703815348446369, 1.496706746518612, -0.4157791887409985, -2.0893739759922028, -3.0424675792455673, -4.4664408303797245, 3.215625174343586, -6.788148667663336, 1.262215033173561, -2.7265045419335365, 1.2790201157331467, 0.9676152169704437, -0.4968670224770904, -1.267833650112152, 0.4383761412464082, -0.3585366094484925, -1.0194870084524155, -2.916236776858568]| 12.1390380859375000|     16.00000000|[561, 80, 0, 10]                                                           | | GPS sucess | actual_k=8
      11|[1.0564582315273583, -9.884212449193, 2.8778088986873627, 2.4383236095309258, -0.2953922860324383, 4.663931392133236, -2.678165749181062, 1.5305787026882172, 1.7682376056909561, -4.910722199827433, 6.038168080151081, -4.883190181106329, 2.45306958258152, 0.9881568178534508, -2.441235736012459, 0.2181240618228912, -1.7851314162835479, 1.4759708046913147, 4.428317976649851, 4.233116737566888, -9.309259995818138, -0.3080944009125233]| 12.1371107101440430|     32.00000000|[617, 88, 0, 11]                                                           | | GPS sucess | actual_k=8
