k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1793725104302015, 2.428536507410692]                                         |210.7463407995034004|      2.00000000|[2, 1, 1, 2]                                                               |  | used linear model with 3 points | iterate success | actual_k=1
       2|[1.1619579405754652, 0.4286124437281358]                                        |  0.7729861140251160|      4.00000000|[5, 1, 1, 3]                                                               | | GPS sucess | actual_k=1
       3|[1.1619579405754652, 0.4286124437281358]                                        |  0.7729861140251160|      2.00000000|[7, 1, 2, 5]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       4|[1.1619579405754652, 0.4286124437281358]                                        |  0.7729861140251160|      1.00000000|[9, 2, 3, 7]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       5|[0.4033691496819105, 1.0801821082064378]                                        |  0.4852862060070038|      2.00000000|[12, 2, 3, 8]                                                              | | GPS sucess | actual_k=1
       6|[0.4033691496819105, 1.0801821082064378]                                        |  0.4852862060070038|      1.00000000|[14, 2, 4, 10]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       7|[0.4033691496819105, 1.0801821082064378]                                        |  0.4852862060070038|      0.50000000|[17, 2, 5, 12]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       8|[0.8915641517609205, 1.1881899266669023]                                        |  0.3730175197124481|      1.00000000|[20, 2, 5, 13]                                                             | | GPS sucess | actual_k=1
       9|[0.8915641517609205, 1.1881899266669023]                                        |  0.3730175197124481|      0.50000000|[21, 3, 5, 14]                                                             |  | used linear model with 3 points | actual_k=1
      10|[0.8915641517609205, 1.1881899266669023]                                        |  0.3730175197124481|      0.25000000|[22, 4, 6, 16]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      11|[1.0408123047321882, 0.9876282393166291]                                        |  0.0034706515725702|      0.50000000|[25, 4, 6, 17]                                                             | | GPS sucess | actual_k=1
      12|[1.0408123047321882, 0.9876282393166291]                                        |  0.0034706515725702|      0.25000000|[26, 5, 7, 19]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      13|[1.0408123047321882, 0.9876282393166291]                                        |  0.0034706515725702|      0.12500000|[29, 5, 8, 21]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
