k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.592884302139282, 2.6108590960502625, 2.0902052521705627, 1.63278266787529, 0.5638045191764831]|3613.7907714843750000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      4.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       3|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      2.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      1.00000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.50000000|[108, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.25000000|[135, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.12500000|[160, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       8|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.06250000|[186, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       9|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.03125000|[211, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      10|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.01562500|[237, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      11|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.00781250|[262, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      12|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.00390625|[287, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.00195312|[312, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      14|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.00097656|[337, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      15|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.00048828|[363, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      16|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.00024414|[388, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      17|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.00012207|[415, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      18|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.00006104|[441, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      19|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.00003052|[466, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      20|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.00001526|[492, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      21|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.00000763|[517, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      22|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.00000381|[542, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      23|[21.937381505966187, -0.2571056485176086, 1.264298915863037, -0.6587474644184113, 0.3797556430101394]|-100000002004087734272.0000000000000000|      0.00000191|[567, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
