k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[500.0, 0.0001]                                                                 |11202.6567683362045500|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.50000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.25000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.12500000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.06250000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.03125000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.01562500|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.00781250|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[500.0, 0.0001]                                                                 |11202.6567683362045500|      0.00390625|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[500.00130281131715, 0.0003548971388023]                                        |3181.2150878906250000|      0.00781250|[53, 0, 0, 17]                                                             | | GPS sucess | actual_k=0
      10|[500.00130281131715, 0.0003548971388023]                                        |3181.2150878906250000|      0.00390625|[59, 0, 0, 19]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[500.00130281131715, 0.0003548971388023]                                        |3181.2150878906250000|      0.00195312|[65, 0, 0, 21]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
