k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6023303866386414, 0.0724619701504707, 0.2803813219070435, 0.2636612355709076, 0.1875298619270325, -0.160635381937027, 0.0883800089359283, -0.1559409499168396, 0.1704500019550323, 0.0046425559557974, 0.1538235694169998, 0.1156990751624107, -0.1558124572038651, 0.2896876037120819, 0.276846319437027, -0.0670176595449448, -0.0031730611808598, -0.0895435512065887, 0.2041244357824326, 0.1899023503065109, 0.0408869534730911, -0.1801810562610626]| 13.7526884078979492|      2.00000000|[259, 17, 0, 18]                                                           | | GPS sucess | actual_k=1
       2|[1.5781173706054688, -0.0157278925180435, -0.1574726998806, 0.8666980564594269, -0.0706604719161987, 0.2567850053310394, -0.0431484580039978, -0.1292963139712811, -0.1237107217311859, -0.3315249583683908, -0.5187597721815109, 0.2674961015582085, -0.0531128570437431, 0.1210016012191772, 0.3655207827687263, 0.1270487457513809, 0.0748843695037067, 0.851030021905899, 0.553935781121254, 0.2354016453027725, -0.0246144756674767, 0.1130719184875488]| 12.4829549789428711|      4.00000000|[517, 34, 0, 36]                                                           | | GPS sucess | actual_k=1
       3|[0.953349769115448, -1.1201827675104141, -0.1664791963994503, 2.572465568780899, -0.2669216245412827, 1.1990265548229218, 0.7584109306335449, -0.0455920137465, -0.7046443521976471, 0.6109496452845633, -0.4804629869759083, -0.0014161244034767, -0.3692963644862175, 0.4307941794395447, 0.3684824870433658, 0.3721559047698975, 0.9532969142310321, 0.8579739769920707, 2.884436622262001, -0.0891331881284714, -0.5393957123160362, -0.1860117316246033]| 12.1433010101318359|      8.00000000|[775, 51, 0, 54]                                                           | | GPS sucess | actual_k=1
       4|[-0.4791783690452576, -5.946065679192543, 2.5152148343622684, 3.6145661175251007, -2.235458478331566, 0.385322242975235, 2.704655647277832, 2.85756116732955, -0.8560946434736252, 1.9000870087184012, 0.3331243805587292, -0.1062242463231087, -1.6855996176600456, -0.2513449788093567, 1.4118937419261783, -0.3983532190322876, 0.588857903610915, 1.9668382843956351, 2.1052307039499283, 2.018871381878853, -0.9154089018702507, 0.2037334442138672]| 12.1389837265014648|     16.00000000|[1033, 68, 0, 72]                                                          | | GPS sucess | actual_k=1
       5|[-5.304603040218353, -7.730966940522194, 8.408365163952112, 6.27157261967659, -5.129741296172142, -0.2990783154964447, 0.902214527130127, 0.7795150838792324, 0.5307294875383377, 4.300488362554461, -3.8104222007095814, 0.6510479375720024, -3.7192414328455925, 0.2130019664764404, 2.162579493364319, -1.700775146484375, 8.307865395676345, 2.163638367317617, 3.4666047245264053, 2.867026761174202, -1.3783481940627098, 3.193958282470703]| 12.1247253417968750|     32.00000000|[1291, 85, 0, 90]                                                          | | GPS sucess | actual_k=1
       6|[-10.226044595241547, 2.5591665357351303, -6.266202058643103, 11.986459761857986, -3.3597948402166367, -2.2532406747341156, 3.396394968032837, -2.7940835393965244, 6.633678629994392, 6.621391663793474, 1.5852682404220104, 4.114497654139996, 6.3024613335728645, 1.4664967060089111, 5.338861899217591, 6.667972564697266, 16.853108658920974, 14.128813995979726, 2.6208460479974747, 6.724606946110725, -2.6559440717101097, 3.0189933627843857]| 12.1222352981567383|     64.00000000|[1548, 103, 0, 108]                                                        | | GPS sucess | actual_k=1
       7|[-23.014557778835297, 16.43954811990261, 2.40488139167428, 19.65343764424324, 6.771914258599281, -9.417499154806137, 13.719410181045532, 14.797625597566366, 1.3881084471940994, -2.6290098330937326, -13.064787644892931, 9.443770878016949, 29.104078002274036, 1.0918445885181427, 15.16761346324347, 6.219691634178162, 27.470353379379958, 23.76159407105297, -18.899219259619713, -23.832121416926384, -9.317948542535305, 6.095383629202843]| 12.0972156524658203|    128.00000000|[1806, 120, 0, 126]                                                        | | GPS sucess | actual_k=1
       8|[-74.12562268972397, 6.4864154905080795, -6.212308015674353, 61.42048552632332, 22.49838425219059, -55.189178079366684, -6.940044164657593, 6.208914812654257, 24.191655352711678, 15.838723550084978, 15.712302427738905, 17.0363931581378, 9.427249617874622, 25.65106013417244, 43.11337609752081, 51.16821229457855, 10.149108185898513, 7.977565064094961, -50.363250479102135, 0.4984983950853348, -8.482387326657772, 27.80118463933468]| 12.0309114456176758|    256.00000000|[2064, 137, 0, 144]                                                        | | GPS sucess | actual_k=1
       9|[-117.13478940725327, 43.13763390481472, -8.302232589572668, 93.4827871620655, 35.868765607476234, -46.67387542128563, 67.03445839881897, 19.377815302461386, 77.13004799187183, 62.95519388699904, 108.26373217627406, -83.19378567487001, -52.29079466313124, 11.81900504231453, -10.351940674940124, 65.7144445180893, -101.25494454847649, 15.76588465180248, -50.83461932837963, -37.939341112971306, 51.40236685425043, 98.39842890202999]| 11.8975105285644531|    512.00000000|[2322, 154, 0, 162]                                                        | | GPS sucess | actual_k=1
      10|[-152.07476896047592, 27.371013268828392, -22.93501266464591, 124.6278238594532, -36.583314165472984, -80.45697554945946, 191.81750893592834, 64.30509572848678, -150.96342734992504, 188.96075571561232, -4.587769288569689, 45.46354769915342, 45.81338471919298, 36.673949271440506, 0.8827137516345829, 7.872033476829529, -254.47773812757805, 280.5394747396931, -9.278528019785881, -8.57047514617443, 65.72134325653315, 226.43262384831905]| 11.8197345733642578|   1024.00000000|[2580, 171, 0, 180]                                                        | | GPS sucess | actual_k=1
      11|[-152.07476896047592, 27.371013268828392, -22.93501266464591, 124.6278238594532, -36.583314165472984, -80.45697554945946, 191.81750893592834, 64.30509572848678, -150.96342734992504, 188.96075571561232, -4.587769288569689, 45.46354769915342, 45.81338471919298, 36.673949271440506, 0.8827137516345829, 7.872033476829529, -254.47773812757805, 280.5394747396931, -9.278528019785881, -8.57047514617443, 65.72134325653315, 226.43262384831905]| 11.8197345733642578|    512.00000000|[2838, 188, 0, 198]                                                        |  | used quadratic model with 276 points | actual_k=1
      12|[-152.07476896047592, 27.371013268828392, -22.93501266464591, 124.6278238594532, -36.583314165472984, -80.45697554945946, 191.81750893592834, 64.30509572848678, -150.96342734992504, 188.96075571561232, -4.587769288569689, 45.46354769915342, 45.81338471919298, 36.673949271440506, 0.8827137516345829, 7.872033476829529, -254.47773812757805, 280.5394747396931, -9.278528019785881, -8.57047514617443, 65.72134325653315, 226.43262384831905]| 11.8197345733642578|    256.00000000|[3096, 205, 0, 216]                                                        |  | used quadratic model with 276 points | actual_k=1
      13|[-200.10638517141342, 35.684319123625755, -17.294169273227453, 160.09490683674812, -51.43415378034115, -13.625295251607895, 171.95850014686584, 117.52972036227584, -66.60803489387035, 221.1872533657588, -32.00150944665074, 94.11813830584288, 119.57938355952501, 31.90998700261116, 89.94048352702521, 59.77353036403656, -250.4311716412194, 366.08071924652904, -5.695762202143669, 24.810143902897835, 143.5740883126855, 320.0293645709753]| 11.7644424438476562|    512.00000000|[3353, 223, 0, 234]                                                        | | GPS sucess | actual_k=1
